币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2545.6,0.0243,A,1704927209420,2024-01-11 06:53:29.420,0.0,Open Short,0.0,0x44727eae76754161e7f504071785fb011e00499c506a16175a1124c0fe406539,6756772191,True,0.015464,438252869011533,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2596.5,0.0243,B,1704928303241,2024-01-11 07:11:43.241,-0.0243,Close Short,-1.23687,0xb83a0a85253933916895040717926f01260083dfce5d4cd7e0391fadf88f515b,6758462496,True,0.015773,775041445731010,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,46269.0,0.00238,B,1705019241127,2024-01-12 08:27:21.127,0.0,Open Long,0.0,0x77ef83ec124fc5d1f1af04071bb6f501b3003318ad5e310273ef065ab2234a21,6873464669,True,0.02753,916075787763620,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,46423.36134454,0.00238,A,1705020861028,2024-01-12 08:54:21.028,0.00238,Close Long,0.36738,0x197b8d9283db7228a5b704071bca230132009c5b6ca24b4bd57b0cc41e6a26bc,6875367327,True,0.027621,617016931977935,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,42861.0,0.013,B,1705524533814,2024-01-18 04:48:53.814,0.0,Open Long,0.0,0xd1b466932b2ca3488526040732edff020121002ae6428e89dab4885ae2d9d12e,7378408925,True,0.139298,274697259020586,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,42755.0,0.013,A,1705526831094,2024-01-18 05:27:11.094,0.013,Close Long,-1.378,0xd2bcad64601356b13cd504073307c2011e0092c0eacc2d9c70b9352f2cae2788,7380474612,True,0.138953,284622779815612,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,41609.98219022,0.02639,B,1705767906548,2024-01-21 00:25:06.548,0.0,Open Long,0.0,0xb1b7634242709883fa4604073da49701850072b1ed97ec334f00c28ad569c74f,7611776333,True,0.27452,971139679034303,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,41599.0,0.02639,A,1705769394051,2024-01-21 00:49:54.051,0.02639,Close Long,-0.287651,0x7dbf514280ec21b8e6e504073db563018e005d66bff682b33bceb58e5d34870e,7612870922,True,0.274449,795368576346857,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2480.53194754,0.4041,B,1705844228240,2024-01-21 21:37:08.240,0.0,Open Long,0.0,0xf9a8a1474f188e69ffee0407410e3b02014c00cf45143cbe9025688d9512954a,7666905358,True,0.250595,265855274140616,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2480.9,0.4041,A,1705848879310,2024-01-21 22:54:39.310,0.4041,Close Long,0.149517,0x13163cb99d3ac47abfbb040741433f01b100fb7b95ff86137ed3482480de1278,7670144452,True,0.250632,1043981311984925,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2260.6,0.0885,B,1706093484495,2024-01-24 18:51:24.495,0.0,Open Long,0.0,0x975ee79aba02d417859804074c0f3e02013400817d62bfc1cd79073567f94c96,7984331002,True,0.050015,111659122110909,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2244.2,0.0885,A,1706096545959,2024-01-24 19:42:25.959,0.0885,Close Long,-1.4514,0x51420f461d9cc5cbfb8a04074c316d01090037784a80e2adb49a4ea751908b72,7987785332,True,0.049652,517633032524864,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2223.5,0.1809,A,1706218573015,2024-01-26 05:36:13.015,0.0,Open Short,0.0,0x147db7903056682851b8040751ae6b0201100006fc6b831ef29f41018537beb4,8116754316,True,0.100557,644707955580533,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2216.5,0.1809,B,1706220693139,2024-01-26 06:11:33.139,-0.1809,Close Short,1.2663,0xa3e1465c9ba0a2724f58040751c70102018c00c4f5561b5218e657775894af8a,8118521517,True,0.100241,1040343761919173,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2260.77907391,0.1123,A,1706306179343,2024-01-27 05:56:19.343,0.0,Open Short,0.0,0x6a31c430069fd443f437040755a5ff01190076cecfc34e254b7afc60c0985491,8197030989,True,0.063469,491299646656767,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2268.4,0.1123,B,1706307332683,2024-01-27 06:15:32.683,-0.1123,Close Short,-0.856849,0x406d027bd19838535a7e040755b37902010e00a5a6406bb0c92fc27e72044cb5,8197912777,True,0.063685,247059898511504,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,42315.0,0.00591,B,1706458042832,2024-01-29 00:07:22.832,0.0,Open Long,0.0,0x9327403730c688047a3604075c96c901d000b8d698be63f764952559b6e1679c,8314653188,True,0.06252,913491714387492,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,41874.55499154,0.00591,A,1706479975099,2024-01-29 06:12:55.099,0.00591,Close Long,-2.60303,0x2d9311dc6fbba378c9b004075d94560201cf00ed4f6912d567eec58558f55fbd,8333074771,True,0.061864,804487410058670,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
SOL,97.611,2.08,B,1706816899724,2024-02-02 03:48:19.724,0.0,Open Long,0.0,0x798579cae17d0e7d17ae04076ccb46017c004458d0dc6a7b9ab24a1a8070322c,8647064701,True,0.050757,93643172021647,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
SOL,96.81014423,2.08,A,1706821064959,2024-02-02 04:57:44.959,2.08,Close Long,-1.66578,0x2f9f2faf4876aa92864004076cfb460201140012c48877fa89bdddd0439f4e6a,8650722614,True,0.05034,483066232977773,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2302.0,0.1316,A,1706904149307,2024-02-03 04:02:29.307,0.0,Open Short,0.0,0xe2fcc6cc2466505a90bc040770c1fd014d0042f76e4eeffa6531d311be1c5dda,8717333769,True,0.075735,536778119727065,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2301.69635258,0.1316,B,1706905931278,2024-02-03 04:32:11.278,-0.1316,Close Short,0.03996,0xad9ce18888a0c5da8a34040770d6ce02024b00a33145700e5f6cb8ef5c116591,8718527843,True,0.075724,1048957035300664,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,42988.0,0.02101,B,1707056169856,2024-02-04 22:16:09.856,0.0,Open Long,0.0,0x7c198d68a087a396af4e040777a4ce0111003c1e778c8ef95e741275f315d012,8810246271,True,0.225794,1065776865781624,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,42925.0,0.02101,A,1707059785141,2024-02-04 23:16:25.141,0.02101,Close Long,-1.32363,0xd827dd5379785d33bb60040777cdca0142004f2cd6852baa12b7d2408743c6fd,8812889787,True,0.225463,342123190035649,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2376.9,0.0841,B,1707260825265,2024-02-07 07:07:05.265,0.0,Open Long,0.0,0x011987ce539bcb6c142e040780cfc901a4002d68d97721799c5c6274d5b0884c,8979019902,True,0.049974,281425772710124,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2379.7,0.0841,A,1707266776450,2024-02-07 08:46:16.450,0.0841,Close Long,0.23548,0x31e2fff5e0f46328a07704078113fe01b6005be9157b6dbf790c638599191039,8984416424,True,0.050033,77664535526858,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,44192.0,0.00452,A,1707348699289,2024-02-08 07:31:39.289,0.0,Open Short,0.0,0x4a08d209ab1cba6b4477040784b5230143009acdce999a2cf9da9912610274c8,9064885236,True,0.049936,42093026503360,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
BTC,44549.82743363,0.00452,B,1707352106542,2024-02-08 08:28:26.542,-0.00452,Close Short,-1.61738,0xa0aeb3c24501e50fdfd2040784dc2b01ff00f0722aef433313fc84ba171f382c,9068245770,True,0.050339,689338265318380,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
ETH,2497.8,0.1119,B,1707518379769,2024-02-10 06:39:39.769,0.0,Open Long,0.0,0xd340151b23b60cda953204078c31100174004ba2f8a4b77b144cedd73fca7114,9243836307,True,0.069875,64452027510048,USDC,,0x0072148250026270531b65c38ce436e3141ab40c,,
