币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRUMP,5.7035,2.2,A,1760160073981,2025-10-11 13:21:13.981,-1.1,Open Short,0.0,0xcf9254791c3cacafd10c042d3fe789020426005eb73fcb81735affcbdb30869a,194618769512,True,0.005646,734044786505565,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
HYPE,39.63,0.68,A,1760160074204,2025-10-11 13:21:14.204,0.0,Open Short,0.0,0xb160911f495d0db3b2da042d3fe78c0207790004e4502c8555293c720850e79e,194618773424,True,0.012126,123945891817658,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
DOOD,0.007655,6282.0,B,1760160074919,2025-10-11 13:21:14.919,-6282.0,Close Short,-0.056538,0xe8cd0a3e4bc9dbaeea46042d3fe7970203c10023e6ccfa808c95b5910acdb599,194618785868,True,0.021639,948515987378820,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LINEA,0.018055,10357.0,B,1760160075342,2025-10-11 13:21:15.342,-31788.0,Close Short,-0.372852,0x8877e304fd3effe589f1042d3fe79c02031700ea98321eb72c408e57bc32d9d0,194618793594,True,0.084148,852320435588356,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
NIL,0.23122,58.0,B,1760160075453,2025-10-11 13:21:15.453,-502.0,Close Short,-0.085956,0x40e3d1a4fbc0df0c425d042d3fe79e02025e008a96c3fddee4ac7cf7bac4b8f6,194618796211,True,0.006034,748859260685853,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
HEMI,0.070433,377.0,B,1760160075828,2025-10-11 13:21:15.828,755.0,Open Long,0.0,0x26977a54276944282811042d3fe7a302024f0039c26c62faca6025a6e66d1e12,194618803836,True,0.011948,965814696761520,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LAUNCHCOIN,0.087623,545.0,A,1760160076745,2025-10-11 13:21:16.745,-2008.0,Open Short,0.0,0xda5a58fa89a61520dbd4042d3fe7af0202d700e024a933f27e23044d48a9ef0b,194618817961,True,0.021489,92318560041400,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
HYPER,0.19808,265.0,B,1760160077400,2025-10-11 13:21:17.400,0.0,Open Long,0.0,0xa7a3ee35fcad1103a91d042d3fe7b702035f001b97a02fd54b6c9988bba0eaee,194618829635,True,0.023621,936635730038174,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
STBL,0.12051,154.0,A,1760160077899,2025-10-11 13:21:17.899,-145.0,Open Short,0.0,0xaf27d0ac5a5d4168b0a1042d3fe7be02028f0091f550603a52f07bff19511b53,194618836044,True,0.008351,909523509706965,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
ZEC,222.66,0.74,A,1760160078806,2025-10-11 13:21:18.806,-0.74,Open Short,0.0,0xbddfbcfcb85b4ca6bf59042d3fe7c80201bd00e2535e6b7861a8684f775f2691,194618850269,True,0.074145,135190104306394,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LDO,0.81339,14.3,B,1760160079432,2025-10-11 13:21:19.432,-61.1,Close Short,-0.131846,0x687bdbc49b0640ba69f5042d3fe7d00203f800aa36095f8c0c4487175a0a1aa5,194618860551,True,0.005234,564522533284185,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
ASTER,1.3397,10.0,B,1760160079432,2025-10-11 13:21:19.432,30.0,Open Long,0.0,0xf79cd4bb66c98641f916042d3fe7d002041400a101cca5149b65800e25cd602c,194618860569,True,0.006028,180788658945649,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
WLFI,0.13113,366.0,A,1760160079780,2025-10-11 13:21:19.780,372.0,Close Long,-0.00915,0x100fecf9ace8df631189042d3fe7d40205b200df47ebfe35b3d8984c6becb94d,194618867666,True,0.021597,463566858965091,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
2Z,0.27378,439.0,A,1760160080469,2025-10-11 13:21:20.469,-440.0,Open Short,0.0,0x072a905b4d0bed8d08a4042d3fe7dc0206dc0040e80f0c5faaf33bae0c0fc777,194618881837,True,0.054085,67921461635579,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
0G,2.3271,5.0,B,1760160081181,2025-10-11 13:21:21.181,10.0,Open Long,0.0,0xcb467f82a83ef4adccc0042d3fe7e40201df00684332137f6f0f2ad56732ce98,194618893034,True,0.005235,66561663311633,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
SNX,1.0707,10.7,A,1760160081277,2025-10-11 13:21:21.277,-358.5,Open Short,0.0,0x3e6f3ef5f03b02e93fe8042d3fe7e5019a0056db8b3e21bbe237ea48af3edcd3,194618893310,True,0.005155,67019377888372,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LINEA,0.018055,10356.0,B,1760160081332,2025-10-11 13:21:21.332,-21431.0,Close Short,-0.372816,0xd907966ae78190f5da81042d3fe7e602051200508284afc77cd041bda6856ae0,194618895815,True,0.084139,308639132463990,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
CELO,0.2718,105.0,A,1760160082495,2025-10-11 13:21:22.495,0.0,Open Short,0.0,0xde8a6f4a57bbc6f8e004042d3fe7f4020347002ff2bee5ca82531a9d16bfa0e3,194618916989,True,0.012842,959496712253260,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LAUNCHCOIN,0.087667,258.0,A,1760160082674,2025-10-11 13:21:22.674,-2553.0,Open Short,0.0,0x23b6028673aacb58252f042d3fe7f60204d4006c0eadea2ac77eadd932aea542,194618919606,True,0.010178,485329050171792,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
BSV,20.537,0.49,B,1760160082891,2025-10-11 13:21:22.891,0.98,Open Long,0.0,0x1eaceb5cb55c7b8b2026042d3fe7f90203580042505f9a5dc27596af74505575,194618924138,True,0.004528,213611795904005,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
ASTER,1.3403,10.0,A,1760160082955,2025-10-11 13:21:22.955,40.0,Close Long,-0.003,0x843c5e6c1d43a61d85b6042d3fe7fa02016a0051b846c4ef280509bedc478008,194618925023,True,0.006031,871475911105648,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
BSV,20.514,0.49,A,1760160083156,2025-10-11 13:21:23.156,1.47,Close Long,-0.012544,0xb74ba697952cefaeb8c5042d3fe7fd020249007d30200e805b1451ea5420c999,194618928315,True,0.004523,87819543502939,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
HYPE,39.625,0.68,A,1760160084022,2025-10-11 13:21:24.022,-0.68,Open Short,0.0,0xb4ec4f080c973543b666042d3fe80802026100eda79a541558b4fa5acb9b0f2e,194618942241,True,0.012125,62492262271988,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
ZEC,222.74,0.82,A,1760160084539,2025-10-11 13:21:24.539,-1.48,Open Short,0.0,0xd55911dc16a1d937d6d2042d3fe80e02040c00c1b1a4f8097921bd2ed5a5b322,194618948279,True,0.082191,937822364036112,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
ETC,14.775,0.69,B,1760160084788,2025-10-11 13:21:24.788,-12.31,Close Short,-0.084525,0xefae8fc147f2d62af128042d3fe81002035f00a6e2f5f4fc93773b1406f6b015,194618951956,True,0.004587,1030192743064273,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
HEMI,0.070432,377.0,B,1760160085597,2025-10-11 13:21:25.597,1132.0,Open Long,0.0,0x066026a769ec2c3c07d9042d3fe81c02029a008d04ef4b0eaa28d1fa28e00626,194618962288,True,0.011948,682312233126988,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
WLFI,0.131,6.0,A,1760160085712,2025-10-11 13:21:25.712,6.0,Close Long,-0.00093,0xec5a815e95fd84d4edd4042d3fe81e020279004430f0a3a690232cb154f15ebf,194618963950,True,0.000353,192778409895418,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
2Z,0.2736,445.0,A,1760160086026,2025-10-11 13:21:26.026,-879.0,Open Short,0.0,0xb0d47aeaed5967b0b24e042d3fe82202024b00d0885c8682549d263dac5d419b,194618970698,True,0.054788,972856254261208,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
BLAST,0.001512,6754.0,A,1760160086238,2025-10-11 13:21:26.238,206697.0,Close Long,-0.060786,0xfd23c7a37583e8aefe9d042d3fe82402033c008910870781a0ec72f63487c299,194618974017,True,0.004595,32246138297988,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
STBL,0.12067,154.0,A,1760160087322,2025-10-11 13:21:27.322,-299.0,Open Short,0.0,0x99f0385d0bc363d69b69042d3fe83202057a0042a6c682a83db8e3afcac73dc1,194618993209,True,0.008362,606307116179095,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
LINEA,0.018055252,11075.0,B,1760160087322,2025-10-11 13:21:27.322,-11075.0,Close Short,-0.401491,0x6ec2fed6bd3e988c703c042d3fe8320205a900bc5831b75e128baa297c327277,194618993244,True,0.089982,652341249251716,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
VVV,1.5956,68.82,B,1760160087870,2025-10-11 13:21:27.870,0.0,Open Long,0.0,0xd05eb24ab86bc6b0d1d8042d3fe8390204710030536ee58274275d9d776fa09b,194619003103,True,0.049414,744699647575035,USDC,,0x0080487998658750fc8892cc8ec4c5db64773b7d,,
