币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRUMP,28.99102894,338.6,B,1737213104349,2025-01-18 23:11:44.349,0.0,Open Long,0.0,0x4d7fabb75354f15b6e98041bc53c7b01c6003d3144fbf2e84ae945e7c729ecdc,64038990806,True,3.435726,65333490991059,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,28.95285381,338.6,A,1737213472425,2025-01-18 23:17:52.425,338.6,Close Long,-12.923072,0xbbf141241b42a58432f4041bc5531d0201da0003068067b51097359d3fd5fca4,64040228859,True,3.431197,278599870246949,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,28.955,135.1,B,1737213513837,2025-01-18 23:18:33.837,0.0,Open Long,0.0,0xda6410a69b6021869fec041bc555a10205bf000dc01c45798caee5a51125a26b,64040375532,True,1.369137,892869249036781,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,31.96810456,74.6,B,1737215028424,2025-01-18 23:43:48.424,135.1,Open Long,0.0,0x1db381f2e481b5326599041bc5b30a02011800b38792f4ade22a82ff3fe6d703,64047130485,True,0.834686,963607794850387,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,34.542,62.9,B,1737215907895,2025-01-18 23:58:27.895,209.7,Open Long,0.0,0xec71816b59c87e7b07c3041bc5e93d01c300dca4602b5bce24166bb647676aa2,64051567747,True,0.760442,545574272512273,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,31.491,272.6,A,1737216848709,2025-01-19 00:14:08.709,272.6,Close Long,115.116254,0x4bc96c99b2d2aadde9df041bc62315000030a7225b04140fbd47a7c71f03c4d0,64051632010,True,3.004556,477847577054212,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,31.734,100.0,B,1737216949011,2025-01-19 00:15:49.011,0.0,Open Long,0.0,0x8cb74bba065b35ef8cb2041bc6294a0201650016c5eeb1d6617c763a84ed679b,64058586701,True,1.11069,488290637351958,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,35.088,25.0,B,1737261727249,2025-01-19 12:42:07.249,100.0,Open Long,0.0,0x1c36ec574d051ab15390041bd0ac9a02018a00507ec6c3397ae201cdc8a278c6,64216096212,True,0.30702,215687072055174,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,36.861,25.0,B,1737262517358,2025-01-19 12:55:17.358,125.0,Open Long,0.0,0x7f530be4e46d80489c20041bd0dc460203b700eb63663cbae03a8865865af866,64220390028,True,0.322533,10305778081728,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,53.015,150.0,A,1737322047953,2025-01-20 05:27:27.953,150.0,Close Long,2980.125,0x4ff0eb2ff2f3776d86f5041bdf1ee4000018cb7f123c82d0c9c386800227c3df,64339513875,True,2.783287,1113894240295269,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,52.32,50.0,B,1737322886600,2025-01-20 05:41:26.600,0.0,Open Long,0.0,0xfb5c9df3ad383d73649d041bdf5249020154005f3c31d11d1a8014799c9d1235,64507364116,True,0.9156,312114261921415,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,49.0,50.0,A,1737324226864,2025-01-20 06:03:46.864,50.0,Close Long,-166.0,0x1569cf1c53a5b02cc4a6041bdfa44b02032500f866f1c408647b234e9b377fd8,64518523986,True,0.8575,94439910519781,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,48.004,100.0,B,1737326159781,2025-01-20 06:35:59.781,0.0,Open Long,0.0,0xcc1172592c78c3103303041be01b9501d900def0ef8820421f52a37b8f741892,64530675312,True,1.680139,566537058308172,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,45.227,100.0,A,1737326775185,2025-01-20 06:46:15.185,100.0,Close Long,-277.7,0x264ccd5b42161036d22b041be041610201fd00fa6b0a02a521c542984a9dbabc,64533273602,True,1.582945,707818627445794,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,44.99,100.0,A,1737326804542,2025-01-20 06:46:44.542,0.0,Open Short,0.0,0x2db84a8bc951975edca7041be0433a02022800289d67b687c4700c674bef55b8,64533388928,True,1.57465,643249069076314,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,44.89317,100.0,B,1737327143753,2025-01-20 06:52:23.753,-100.0,Close Short,9.682435,0x9413f071ca9e4dea7a16041be05808000065c745616e2476dcfc3db206dd4d57,64535337478,True,1.57126,679944167891334,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,41.709,50.0,A,1737329750115,2025-01-20 07:35:50.115,0.0,Open Short,0.0,0x9c477e051bd9b219bed8041be0f6c402074c003fa1d5ce1c4e95856b0b43e539,64557105544,True,0.729907,192823958882864,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,43.918,50.0,B,1737330465850,2025-01-20 07:47:45.850,-50.0,Close Short,-110.45,0x39ce5834473ed5ff2ae6041be122550203ae001b8a667f07be98be5c630f10bd,64563531783,True,0.768565,283179803074333,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,44.631,50.0,B,1737330509272,2025-01-20 07:48:29.272,0.0,Open Long,0.0,0x7967fa6ec7b8c2a8a05f041be124f402029b008ce321a3bf90e323a0aafe7d67,64563871199,True,0.781042,959924235060933,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,50.021,50.0,B,1737332765259,2025-01-20 08:26:05.259,50.0,Open Long,0.0,0x403257a2e2e4357c2216041be1ae6d02031d00fd75225708905d7dd831d2eabb,64584348935,True,0.875367,224603756847806,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,50.887,10.0,B,1737332793006,2025-01-20 08:26:33.006,100.0,Open Long,0.0,0x0c003cd222548406b0c9041be1b0260202dd002bfb1f4da5e853cd798fe00ca4,64584608832,True,0.178104,905669854475078,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,52.884,110.0,A,1737365235738,2025-01-20 17:27:15.738,110.0,Close Long,575.7708,0x7737f842fcf75cedbe9f041be991770000790d2e9f428a243117f62aae53a5e3,64745606573,True,2.036034,850176826709712,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,53.256,100.0,B,1737375491482,2025-01-20 20:18:11.482,0.0,Open Long,0.0,0x77fe7abd3fe68b925236041bec148a0203c5006f15c8900825cf58c8e49436ea,64828629349,True,1.863959,473210937769421,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,27.343,50.0,B,1738011104841,2025-01-28 04:51:44.841,100.0,Open Long,0.0,0x93a3427947a7e5c2e69e041ca38ac50202a800f1765cb354c7f0389e018c8f05,67050588862,True,0.478502,1122817113119602,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
TRUMP,23.26582933,150.0,A,1738414924826,2025-02-01 21:02:04.826,150.0,Close Long,-3202.8751,0x2b18d87d2d7e8c1e2623041ceef7090201f500cbb33a588b34fff3fabe93cb48,68223354762,True,1.221453,533096504467122,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
HYPE,27.0566456,100.0,B,1738429246259,2025-02-02 01:00:46.259,0.0,Open Long,0.0,0x39d021b6562a8675fa11041cf1a0f701b600a9384d9cadb8499a1410175b9c48,68262448326,True,0.946981,789830585562934,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,95498.0,0.07245,B,1738574287831,2025-02-03 17:18:07.831,0.0,Open Long,0.0,0x69bc334208251c4112d4041d0cb3030201ca0036776c6fc4af841eecd45d49cc,68937577428,True,2.42159,136501126084762,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
ETH,2587.9,0.7226,B,1738576198663,2025-02-03 17:49:58.663,0.0,Open Long,0.0,0x19b16aa6234a6b5f1c6c041d0d0f2b0202b500dd51cf2c946dabeef0a42df444,68949569845,True,0.654505,245335050761598,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,98477.0,0.03405,B,1738599022224,2025-02-04 00:10:22.224,0.07245,Open Long,0.0,0x788869314833d834c906041d1147130203cb00ecf6097665b9ee36339802d720,69081257270,True,1.173599,949845085159844,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,98221.0,0.02645,B,1738604429607,2025-02-04 01:40:29.607,0.1065,Open Long,0.0,0xebc40e807a63c380c6b4041d124a5f02014a00a8696c00f746cca7d42411cde0,69111929295,True,0.90928,1105533101838327,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,99438.0,0.02104,B,1738607163848,2025-02-04 02:26:03.848,0.13295,Open Long,0.0,0xc3c518de7b77d2733176041d12ce9e02023d005c8d260bb0936d33a2fc0b6cc7,69127748760,True,0.732261,762448424260285,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,101534.0,0.08265,B,1738615082519,2025-02-04 04:38:02.519,0.15399,Open Long,0.0,0x93043854a42954e444bd041d144e9a020508001a1a9d6d0445b04bbfff64f528,69168966958,True,2.937124,78661416019409,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
ETH,2702.9,0.7226,A,1738616403982,2025-02-04 05:00:03.982,0.7226,Close Long,83.099,0x67f8f3c5a673aa2c5ba3041d148e860201fa00e3cc5f29909ba450e04140709f,69175583940,True,0.68359,459386710233094,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
ETH,2806.8,0.7993,B,1738619925860,2025-02-04 05:58:45.860,0.0,Open Long,0.0,0x604f6d46de52e46515ac041d153b320205ad00520b5c4d315667f77863903edc,69191431984,True,0.785216,351551053691594,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
ETH,2828.9,0.5362,B,1738620025991,2025-02-04 06:00:25.991,0.7993,Open Long,0.0,0xed625894ee2a601d6d6b041d153fb901c80070f8ca1e5988789c33ad35e5fff8,69191981042,True,0.530899,18191378011336,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
ETH,2887.8,1.3355,A,1738622610476,2025-02-04 06:43:30.476,1.3355,Close Long,96.329615,0xcfa37cd0ea618b59726e041d15b9d1015d00251200c186ea3f04e7970b6895b7,69206208102,True,1.349829,13301438612785,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
HYPE,25.28,56.51,B,1738627470251,2025-02-04 08:04:30.251,100.0,Open Long,0.0,0x48ae79e3763b23f81a51041d16a1fb02041a00dd9e8b76da70c3f524093e4db6,69222525948,True,0.5,477772810136140,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
BTC,98692.0,0.23664,A,1738654906644,2025-02-04 15:41:46.644,0.23664,Close Long,0.615264,0xa786d23faf63aca864f8041d1bcb7f01cd00894265bc797125129711d167af3d,69310230533,True,8.174064,696734547381368,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
HYPE,25.33389638,28.76,B,1738666078394,2025-02-04 18:47:58.394,156.51,Open Long,0.0,0xd549c734f37464076689041d1de72301cd00ff902ce212a7e0e8d93a3d0b7660,69394902380,True,0.25501,830234330530115,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
HYPE,26.21528418,185.27,A,1738780671353,2025-02-06 02:37:51.353,185.27,Close Long,-5.931571,0x19827fd9598b624d03c6041d334576019600ac3e9130e5fc7db8d52e91d93eae,69907132154,True,1.699915,428641092281983,USDC,,0x016a87c900aef6694c8a2e0a2a143e11aed7d852,,
