币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BSV,26.236,0.76,A,1757922612869,2025-09-15 15:50:12.869,0.0,Open Short,0.0,0x95567d5ad7f63e5496d0042b93cbd002019f004072f95d26391f28ad96fa183f,162823721378,True,0.008972,446070727691619,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
BSV,25.874,0.76,B,1758006545758,2025-09-16 15:09:05.758,-0.76,Close Short,0.27512,0xecfbb9a9bfc6fc51ee75042ba4022d020193008f5aca1b2390c464fc7ecad63c,163877199750,True,0.008848,660424425032750,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007967,12553.0,A,1758107383214,2025-09-17 19:09:43.214,0.0,Open Short,0.0,0x797c5cef86ef998d7af6042bb76e9e01e00074d521e2b85f1d45084245e37378,165124876184,True,0.045004,604167941554638,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007955,12572.0,A,1758107392170,2025-09-17 19:09:52.170,-12553.0,Open Short,0.0,0x6219d1eff65630ef6393042bb76f0c02054900d591594fc105e27d42b55a0ada,165124972055,True,0.045004,612769944920351,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.0079,7538.0,B,1758107449775,2025-09-17 19:10:49.775,-25125.0,Close Short,0.45228,0x1d331c24912765561eac042bb771db020233000a2c2a8428c0fbc777502b3f40,165125712259,True,0.026797,822743978986573,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007917,3517.0,B,1758107500257,2025-09-17 19:11:40.257,-17587.0,Close Short,0.151231,0x5f6f78e7c5c4f5e060e9042bb7746202012a00cd60c814b20338243a84c8cfcb,165126218341,True,0.012529,448865397743236,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007932,14070.0,B,1758107540600,2025-09-17 19:12:20.600,-14070.0,Close Short,0.39396,0x23f4832149ec74c2256e042bb7767202026c0006e4ef9394c7bd2e7408e04eac,165126744647,True,0.050221,849980023739592,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.008044,12445.0,A,1758110800495,2025-09-17 20:06:40.495,0.0,Open Short,0.0,0xfacefb21315cd24ffc48042bb818c90201080006cc5ff1229e97a673f050ac3a,165162443570,True,0.045048,747514415554280,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007994,3734.0,B,1758111553954,2025-09-17 20:19:13.954,-12445.0,Close Short,0.1867,0x07586efff998ccaa08d2042bb83e3a02033700e5949beb7cab211a52b89ca694,165171717065,True,0.013432,772216085452936,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
PUMP,0.007976,1742.0,B,1758111836321,2025-09-17 20:23:56.321,-8711.0,Close Short,0.118456,0xd7971cabdf55ed17d910042bb84c3302045600917a590be97b5fc7fe9e59c702,165175081354,True,0.006252,557270850487635,USDC,,0x03d36afb7e18f09d3ea8f1c5ec3ac7ac8214777c,,
