币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,23.781,0.46,B,1735991835788,2025-01-04 19:57:15.788,0.0,Open Long,0.0,0xf6bdbc3e64f501091a56041aa20ed9018700e14cd756a47b61e8b18144c499af,60610042861,True,0.003828,659199658228181,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,23.779,0.46,B,1735991846895,2025-01-04 19:57:26.895,0.46,Open Long,0.0,0xd7ddb0c03c8055895450041aa20f88017100336eab369a1ea7012dc5bc619914,60610059573,True,0.003828,682966147559677,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,23.766,0.92,A,1735991865127,2025-01-04 19:57:45.127,0.92,Close Long,-0.01288,0xe7d7cfa5462593c99c49041aa210a8014f00ae6c283d41541f5ee4b9e7d89ef4,60610082357,True,0.007652,929451349539423,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,23.362,1.0,B,1736010185508,2025-01-05 01:03:05.508,0.0,Open Long,0.0,0x0552dde1f0e6ac253fe5041aa67a2a01e60013df77a1d0c0a4fe80e7eb6c1e53,60661489309,True,0.008176,244171196007482,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,23.36,1.0,A,1736010230749,2025-01-05 01:03:50.749,1.0,Close Long,-0.002,0x8ebf12585f772dbca636041aa67cf7015800c6091e094437e036dc4090877815,60661582489,True,0.008176,214585593962426,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
BTC,97791.0,0.0002,B,1736010809197,2025-01-05 01:13:29.197,0.0,Open Long,0.0,0x40cadb05818628128587041aa6a0b601a2004e3effbcaa376b6f3495a409aeed,60662946544,True,0.006845,2864369538521,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
BTC,97791.0,0.0002,A,1736010863997,2025-01-05 01:14:23.997,0.0002,Close Long,0.0,0x334326318c87cfe3c231041aa6a418012200a009c18fff98d2de279973d683f5,60662980050,False,0.001955,985687321996436,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.753,0.44,B,1736102848979,2025-01-06 02:47:28.979,0.0,Open Long,0.0,0xe4dfb68bfdddde54347f041abcc7ad019f00b778f248f3798802a0ae0afa1036,60832735203,True,0.003811,89588530758506,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.751,0.44,A,1736102860287,2025-01-06 02:47:40.287,0.44,Close Long,-0.00088,0x032495734fb2f88143c8041abcc86301730032a269232c0f41c314090db7b1c0,60832755905,True,0.003811,512259150356,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.751,0.44,B,1736103081223,2025-01-06 02:51:21.223,0.0,Open Long,0.0,0xf900be9496a64b441a85041abcd6150175009ea3575fee2e99d7fbb51de1579d,60833124412,True,0.003811,267066177798998,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.719,0.44,A,1736103269579,2025-01-06 02:54:29.579,0.44,Close Long,-0.01408,0xf48fe928197721a8c897041abce1c601f1004b48396808515c65c0770dc7b341,60833389549,True,0.003806,1004241126415316,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.504,0.44,A,1736103814350,2025-01-06 03:03:34.350,0.0,Open Short,0.0,0x633af8f6681528e00e5a041abd038c015c005a49b295a6a456b284366975c814,60834227987,True,0.003773,43630157341231,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.546,0.44,B,1736103925275,2025-01-06 03:05:25.275,-0.44,Close Short,-0.01848,0xde42dd17e8556b38b4c1041abd0a7102017a00234800ea0e3b435fe838b08adf,60834397124,True,0.00378,246414085272745,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.55,0.44,A,1736103982582,2025-01-06 03:06:22.582,0.0,Open Short,0.0,0xb00ddf1abb186b7e8274041abd0e0101be00a56783353d108a0f2209edb28944,60834510232,True,0.00378,86029453108376,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.576,0.44,B,1736104009636,2025-01-06 03:06:49.636,-0.44,Close Short,-0.01144,0x43485796f7859249074d041abd0fb0016c007ffc6fb8cea855aeb0d8afea983c,60834573396,True,0.003784,881451223383824,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.56,0.44,A,1736104028905,2025-01-06 03:07:08.905,0.0,Open Short,0.0,0x693e09fcbf6c9274b595041abd10e10202a30095f3dcb4d09c633f2e01cc6669,60834609196,True,0.003782,232476970716647,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
HYPE,24.624,0.44,B,1736104266163,2025-01-06 03:11:06.163,-0.44,Close Short,-0.02816,0x37d47e248fbc8610c884041abd1f9f0201e100ef57f46a64b8bebd728fd971ec,60835007108,True,0.003792,302188807180967,USDC,,0x043fe36e75eb483710c77e03db577521e967266f,,
