币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
PEOPLE,0.038678,25846.0,B,1705007821062,2024-01-12 05:17:01.062,0.0,Open Long,0.0,0x4ba0dcc4a3ccc87be77404071b301501fb00930188a1eeaff50fd30eefb9934e,6863238355,True,0.249917,97546751141741,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,46392.0,0.02156,A,1705007826120,2024-01-12 05:17:06.120,0.0,Open Short,0.0,0x9300ee95fcc009be58ac04071b3021020145003d1cf7105b280fcdecbd76d9d0,6863245097,True,0.250052,504291817090776,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
PEOPLE,0.037988,25846.0,A,1705012226148,2024-01-12 06:30:26.148,25846.0,Close Long,-17.83374,0x92663a02746c5d09f45204071b63450148001e6d8673a0dc402400283726ad25,6867032517,True,0.245459,135777446888830,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,46296.0,0.02156,B,1705012489023,2024-01-12 06:34:49.023,-0.02156,Close Short,2.06976,0x360675c38336fde6bc5104071b665e02028c000f1fac8d7450e0e71a5fe2aa17,6867276037,True,0.249535,776840084376986,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
ETH,2581.91696229,0.5807,A,1705080109460,2024-01-13 01:21:49.460,0.0,Open Short,0.0,0x138d778fa5641942b8c504071e7e6a0169008f25cd73a76736e9b9436d4d9fe1,6952195684,True,0.374829,336516826962453,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,43400.0,0.03456,B,1705080129756,2024-01-13 01:22:09.756,0.0,Open Long,0.0,0x9105fde61889179b202704071e7ea802032101020e623350403b2e16afa8be5a,6952228871,False,-0.029998,554060609336768,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,43808.0,0.03456,A,1705082522018,2024-01-13 02:02:02.018,0.03456,Close Long,14.10048,0x3eb6a4b047af22ea9bfc04071e9a270125004a00f1a91e7378636346578f3e15,6956423312,True,0.3785,365907464789425,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
ETH,2610.59400723,0.5807,B,1705082523195,2024-01-13 02:02:03.195,-0.5807,Close Short,-16.656803,0x2da0be538913ab94218f04071e9a2b02017c0073e5e75ef642cd4cadfbbef74e,6956425163,True,0.378992,1027887353727979,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
WLD,2.98929781,837.2,B,1705082532866,2024-01-13 02:02:12.866,0.0,Open Long,0.0,0x9e507161f6162f3585fd04071e9a4b02022400fa4ef8130257ca8b4e45b52e36,6956440300,True,0.625659,773204989201413,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,43833.0,0.05702,A,1705082539478,2024-01-13 02:02:19.478,0.0,Open Short,0.0,0x10e26ed422c854ee8ae504071e9a64018d00a9e03af8f240e382e82ec2ec7802,6956448500,True,0.624839,607615052977988,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
WLD,2.9085,837.2,A,1705084730442,2024-01-13 02:38:50.442,837.2,Close Long,-67.637388,0x70d84653b20a099414ec04071eb449011f00a2227c9065030f8a83f7a897e406,6959276992,True,0.608749,742316906390438,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
BTC,43506.0,0.05702,B,1705085199183,2024-01-13 02:46:39.183,-0.05702,Close Short,18.64554,0x9692d16ee169823696bd04071eb9b3016000578fd1d8c2f40c00b55b40b1ef32,6959937188,True,0.620178,1014782342227622,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
CRV,0.5499,247.8,A,1705254669555,2024-01-15 01:51:09.555,0.0,Open Short,0.0,0x3453e34f8706716b70d60407268f7401c10028a7d927eff782007dc19ad88620,7122275836,False,-0.002725,44898384201901,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
CRV,0.5499,247.8,A,1705254673770,2024-01-15 01:51:13.770,-247.8,Open Short,0.0,0xedb333d1b2cd15ba20f50407268f82017d00a26e0eff4bc4f019a0d9d32d366a,7122275836,False,-0.002725,452999261496015,USDC,,0x07203653906af2c1c1d374be65cf89815d43070f,,
