币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,37.509,155.41,B,1760578217061,2025-10-16 09:30:17.061,0.0,Open Long,0.0,0x6ca0540b4e9dddcd6e1a042d8f6bf30204aa00f0e990fc9f1068ff5e0d91b7b8,201979088605,True,2.623173,258241088132811,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,110843.0,0.1,B,1760578274936,2025-10-16 09:31:14.936,0.0,Open Long,0.0,0x7b097fc7522224dd7c83042d8f6eb3020e8b00aced2543af1ed22b1a1125fec8,201980235597,True,4.987935,278748225157554,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
ETH,4001.8,1.0,B,1760578414870,2025-10-16 09:33:34.870,0.0,Open Long,0.0,0x64d0598bf998dd34664a042d8f75800204590071949bfc06089904deb89cb71f,201982754349,True,1.80081,467279920744250,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
ETH,4006.4,1.5061,B,1760579851186,2025-10-16 09:57:31.186,1.0,Open Long,0.0,0x5c5a29d8939a31f35dd3042d8fbbb40204f500be2e9d50c50022d52b529e0bde,202006596651,True,2.715317,37321762568646,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
HYPE,36.6705627051,155.41,A,1760630632657,2025-10-17 00:03:52.657,155.41,Close Long,-130.30154,0x7bb234955365db267d2b042d994a4e021278007aee68f9f81f7adfe81269b511,202850608029,True,2.564536,136208410784062,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,106256.0,0.1,A,1760684928541,2025-10-17 15:08:48.541,0.1,Close Long,-458.7,0xf7c553935f35be99f93f042da3861d020bf20078fa38dd6c9b8dfee61e399884,203700212896,True,4.78152,507626949476033,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,"{'liquidatedUser': '0x0be776cb771c263bb9c8cf015f6188ef22e908f5', 'markPx': '106275.0', 'method': 'market'}",
ETH,3771.5,2.5061,A,1760684928541,2025-10-17 15:08:48.541,2.5061,Close Long,-584.071666,0xf7c553935f35be99f93f042da3861d020bf20078fa38dd6c9b8dfee61e399884,203700212897,True,4.25329,651097465558092,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,"{'liquidatedUser': '0x0be776cb771c263bb9c8cf015f6188ef22e908f5', 'markPx': '3774.0', 'method': 'market'}",
BTC,105833.0,0.06458,A,1760686412679,2025-10-17 15:33:32.679,0.0,Open Short,0.0,0x326ddc8da07041fb33e7042da3cc9d0204a600733b7360cdd63687e05f741be5,203729699286,True,3.075612,1104271132743276,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,105251.0,0.06458,B,1760694127681,2025-10-17 17:42:07.681,-0.06458,Close Short,37.58556,0x7228fbede882d88273a2042da53e49020a7300d38385f75415f1a740a786b26d,203876997679,True,3.058698,8543363522125,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
HYPE,35.643,28.06,B,1760702977682,2025-10-17 20:09:37.682,0.0,Open Long,0.0,0x0903adc4f5da9a9b0a7d042da6e7eb02056600aa90ddb96daccc5917b4de7485,204037859061,True,0.450064,671539575968455,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
HYPE,35.641,32.18,B,1760702998551,2025-10-17 20:09:58.551,28.06,Open Long,0.0,0x39076be9a5cb6cdc3a81042da6e8e902044700cf40ce8baedcd0173c64cf46c6,204038160498,True,0.516117,786918637582398,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
HYPE,35.8035375166,60.24,A,1760709396354,2025-10-17 21:56:36.354,60.24,Close Long,9.737044,0xda2f6b56d8e0f87ddba9042da81e83020ac7003c73e4174f7df816a997e4d268,204150385360,True,0.970561,426781750697117,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,111321.0,0.05118,B,1761312362538,2025-10-24 21:26:02.538,0.0,Open Long,0.0,0x225ec5ba0615d9cc23d8042e1b98a8020299009fa118f89ec627710cc519b3b6,211343871790,True,2.563832,927727909933730,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,115113.0,0.05118,A,1761532079997,2025-10-27 10:27:59.997,0.05118,Close Long,194.07456,0x2f5cdc855df55a0530d6042e46245b020308006af8f878d7d32587d81cf933ef,213481605103,True,2.651167,179814796524746,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,115978.0,0.13723,B,1761550079031,2025-10-27 15:27:59.031,0.0,Open Long,0.0,0xf22c6fe8193a5c8ef3a6042e49a45e02078d00cdb43d7b6195f51b3ad83e3679,213677509253,True,7.162047,731201900999277,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
BTC,114146.0,0.13723,A,1761608470774,2025-10-28 07:41:10.774,0.13723,Close Long,-251.40536,0x79f2fc9ca24d549e7b6c042e54ee2b02018500823d4073701dbba7ef61412e89,214376866004,True,7.048914,852651515874843,USDC,,0x0be776cb771c263bb9c8cf015f6188ef22e908f5,,
