币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,67048.0,0.00167,B,1729928052490,2024-10-26 15:34:12.490,0.0,Open Long,0.0,0xebbe9744d160a9e47cee041536dd49013c003eeb893d169d06e75f2dcb38308d,43418722004,True,0.039189,291804988890325,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
ETH,2466.6,0.0454,B,1729928073071,2024-10-26 15:34:33.071,0.0,Open Long,0.0,0x9d29b670682ea98afd86041536de8e013b005050f647c36385feefece6440537,43418741353,True,0.039194,414892823455218,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SOL,168.18,0.66,B,1729928085431,2024-10-26 15:34:45.431,0.0,Open Long,0.0,0x0c4da44984aa78bfe054041536df500140002cbebb61657001ff7088d968e23d,43418750352,True,0.038849,50663689861071,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
TAO,509.81,0.219,B,1729928096566,2024-10-26 15:34:56.566,0.0,Open Long,0.0,0xdb77dc2d9b9b5f8156e0041536e001014800dc0790c28d44ef80586e5eeeffbe,43418756240,True,0.039076,1077175355643144,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SOL,172.26,0.69,B,1730000002447,2024-10-27 11:33:22.447,0.66,Open Long,0.0,0xdc1c3e4e0e083a16fea6041548463202010f00685b146818efec01aa16029a19,43501074221,True,0.0416,192657914055642,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
ETH,2477.3,0.0484,B,1730000010543,2024-10-27 11:33:30.543,0.0454,Open Long,0.0,0x37e97e9c5f46345f873104154846af01720052797b396363c54050ba480d0452,43501086438,True,0.041965,317957361702838,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
TAO,512.51,0.234,B,1730000028312,2024-10-27 11:33:48.312,0.219,Open Long,0.0,0xcdc574917571b13d1b6b04154847c9014c00f08335cd4630a0ac628b1ce71cd4,43501108952,True,0.041974,190959661123218,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
BTC,67166.0,0.00178,B,1730000045997,2024-10-27 11:34:05.997,0.00167,Open Long,0.0,0x6d987e75771d1b20efc204154848de0201260009af6c0eee371b38d0b9c6e701,43501132510,True,0.041844,119727733540442,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
BTC,67250.0,0.00312,B,1730017091832,2024-10-27 16:18:11.832,0.00345,Open Long,0.0,0xc441fa0f42b10725704c04154c680c016100fd6e40edf8311c883b7219cd5b43,43515735141,True,0.073437,332690441824377,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
ETH,2482.5,0.0845,B,1730017103740,2024-10-27 16:18:23.740,0.0938,Open Long,0.0,0xaeeb8a6bc45615225e2e04154c68cb018c00832f9fdcd881ead388ea9ca9498c,43515752253,True,0.073419,373503460149094,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SOL,174.08,1.2,B,1730017109838,2024-10-27 16:18:29.838,1.35,Open Long,0.0,0xe01d545407fa07ef554d04154c692e018c00172841000bcba179090d4700612a,43515760977,True,0.073113,571845015262622,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
TAO,506.12,0.414,B,1730017120100,2024-10-27 16:18:40.100,0.453,Open Long,0.0,0x3c9cc1f6e349655510c404154c69cf016f00e591145c5aa416d1715408145dd7,43515772335,True,0.073336,593033364050046,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SUI,1.7966,246.0,B,1730050909551,2024-10-28 01:41:49.551,0.0,Open Long,0.0,0xa1da30bd57eaeb5c2bc904155488a00155005397f0bc8d96213f08aa226c43a7,43554224658,True,0.154687,865095832109950,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
TAO,502.49,0.596,B,1730313074923,2024-10-31 02:31:14.923,0.867,Open Long,0.0,0x2ecf4aa13d71deb4d78304159406b8020129009a01d7389d97bff2bced27c801,43998438021,True,0.104819,806280035951405,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SUI,2.0301,147.7,B,1730313084438,2024-10-31 02:31:24.438,246.0,Open Long,0.0,0x417d6df5e7bf8a7b3d00041594074f017a002a07e769ed1bc4feefa8d029a874,43998447623,True,0.104946,17783191039756,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
SOL,175.39,1.7,B,1730313094134,2024-10-31 02:31:34.134,2.55,Open Long,0.0,0x813ec54571f7e797a52a04159407ea01d000e133b25362f30f0a091cb3456bc1,43998466803,True,0.104357,489346955888500,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
ETH,2677.3,0.112,B,1730313105431,2024-10-31 02:31:45.431,0.1783,Open Long,0.0,0x12bdfc5553ffcdaa78d904159408a501c000b5f0e3a53b0103f8470cfdc13267,43998481705,True,0.10495,406587084898751,USDC,,0x0ca0e0996da1c93208aa1d70c60bc885d824c501,,
