币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,101616.0,0.0738,B,1750692998018,2025-06-23 23:36:38.018,0.0,Open Long,0.0,0x63fdea0c72efb3b26460042616c0f302021b00c902f3b9d0d1bf046c21d61745,105470457610,True,3.374667,992898352686843,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
HYPE,35.0748604021,213.9,B,1750693016103,2025-06-23 23:36:56.103,0.0,Open Long,0.0,0x5d6668db734b5e0e5cc0042616c1e70202fd00eb6ff50183557f5950d7803faf,105470527326,True,3.376126,907964298033455,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
W,0.05633,53238.6,A,1750693045425,2025-06-23 23:37:25.425,0.0,Open Short,0.0,0xc1fad8d75f10941e1ac8042616c3490202d000c017ad9f8f8d6db1015f2dd6f9,105470673761,True,1.349518,1049609280738159,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
IP,3.0815,973.1,A,1750693067850,2025-06-23 23:37:47.850,0.0,Open Short,0.0,0xd1329691d462ab3c8614042616c461020228006bdd5db43fe2a0dcf152246f20,105470764759,True,1.349373,451669864585653,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
SEI,0.20316,14779.0,A,1750693090356,2025-06-23 23:38:10.356,0.0,Open Short,0.0,0xeb8f3af8a142fd21be40042616c565018e0029523110e417b4bc5eecf3f17945,105470873088,True,1.351125,829684133504470,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
RESOLV,0.2057437647,14580.0,A,1750693111622,2025-06-23 23:38:31.622,0.0,Open Short,0.0,0x028212705c8b5f0ca587042616c68e0204e5003e99d3a2e64f6498c3ed431a65,105470961127,True,1.349884,255582993037071,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
MOVE,0.1500956178,18785.0,A,1750693160767,2025-06-23 23:39:20.767,0.0,Open Short,0.0,0x05828241c5359eb5b5c4042616c8e10203bd006519913457a3dfbf170992fedb,105471193553,True,1.268794,577495696439409,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
RESOLV,0.2053306433,14580.0,B,1750696648238,2025-06-24 00:37:28.238,-14580.0,Close Short,6.01216,0xa398ff65774d75f99ff604261773d402037400b6641374a623d9a8915b0a8bb3,105490835632,True,1.347171,1122744403024951,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
STRK,0.1017661702,29136.8,A,1750696684325,2025-06-24 00:38:04.325,0.0,Open Short,0.0,0xb9faa7ae202c7d38ce8404261775960204e4002fa79a409b5a0a0a5bd4899373,105491147902,True,1.33431,8780978161433,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
VIRTUAL,1.6918237195,1243.7,A,1750720088182,2025-06-24 07:08:08.182,0.0,Open Short,0.0,0xbee7e66005697e4d721d04261bf2d002017900681d876395766decda33d2d5ee,105629267137,True,0.946853,289950392105332,USDC,,0x114333246e4d6c33ab9120800bea4fb887f431eb,,
