币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ARB,0.94186,124.4,B,1693233161197,2023-08-28 22:32:41.197,0.0,Open Long,0.0,0xe04e460d440e4a00045604044b37c5011100c12a57f71b6c9c43de8bc77582a6,1227740730,True,0.029291,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
ARB,0.98769,124.4,A,1693319867615,2023-08-29 22:37:47.615,124.4,Close Long,5.701252,0x3c7ab5bb114e1a522724040451233f018f00402c314122bf009a0c6bc921dc09,1238346476,True,0.030717,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
ATOM,7.2224,30.13,A,1693416790854,2023-08-31 01:33:10.854,0.0,Open Short,0.0,0x2bb258931c46a69d10e0040457bc02010f00a31ffcfa021b435fa594dadebb84,1259064957,True,0.054402,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
ATOM,6.9002,30.13,B,1693502333671,2023-09-01 01:18:53.671,-30.13,Close Short,9.707886,0x2c9a9d3696514c34829b04045d8feb018f0080baf784f0ecc0a52cf035e41583,1272329976,True,0.051975,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
kPEPE,0.000774,510962.0,A,1693588481546,2023-09-02 01:14:41.546,0.0,Open Short,0.0,0x257f80612a68f97079ca0404636f830201030002ec41e7d399b91e47e39f03f7,1288800386,True,0.098871,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
kPEPE,0.000793,510962.0,B,1693667508443,2023-09-02 23:11:48.443,-510962.0,Close Short,-9.708278,0xb8d9bacf6fd0ebddfdc2040468dd7701130049a7008d5a37f7556265249ef4f1,1301885619,True,0.101298,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
RLB,0.15332,1095.0,B,1694044651319,2023-09-07 07:57:31.319,0.0,Open Long,0.0,0xdf6b5ca48bc047131ba20404829d8a010500c80d124a8c458e83ba015db9995c,1347827442,True,0.041971,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
RLB,0.15179,1095.0,A,1694098546417,2023-09-07 22:55:46.417,1095.0,Close Long,-1.67535,0xabb395737fa5027b630b0404864aab010b00ddf2390d53f4d1b5c0237d14bd43,1353711657,True,0.041552,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
RLB,0.15676,560.0,B,1694134098198,2023-09-08 08:48:18.198,0.0,Open Long,0.0,0xf2c68622c5ca4b614e0f040488b43c0107002e554c046c066d0acba3241e92b8,1358537597,True,0.021946,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
APT,5.6301,34.79,B,1694134124026,2023-09-08 08:48:44.026,0.0,Open Long,0.0,0xdaa922be7787360fb056040488b4b1011600651a064eac9a69a8ce2cbf0eb6cb,1358542511,True,0.048967,0,USDC,,0x17ce949c35e14259203504f5f0af0d942b881590,,
