币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,203.29,4.91,B,1758948585415,2025-09-27 12:49:45.415,0.0,Open Long,0.0,0x356e1cc026d1722936e7042c589df602017f00a5c1d490fbd936c812e5d54c13,176969286997,True,0.449169,1015300478672776,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,203.61,2.56,B,1758948966759,2025-09-27 12:56:06.759,4.91,Open Long,0.0,0xa964ef41a1e2f2c4aade042c58b0d10201d100273ce611964d2d9a9460e6ccaf,176973650535,True,0.234558,702628924678018,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,202.56,1.35,B,1758956285792,2025-09-27 14:58:05.792,7.47,Open Long,0.0,0xb8d55fd3f3c1d677ba4f042c5a1d5e02011e00b98ec4f5495c9e0b26b2c5b062,177063539307,True,0.123055,684416693665215,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,201.42,8.82,A,1758960343273,2025-09-27 16:05:43.273,8.82,Close Long,-16.326702,0x5b75bf310cb873565cef042c5ae6530204fc0016a7bb9228ff3e6a83cbbc4d40,177089963491,True,0.799435,126880563167178,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,203.7,5.15,A,1759009783364,2025-09-28 05:49:43.364,0.0,Open Short,0.0,0x22a037bb6b3732902419042c6477c60202a500a1063a5162c668e30e2a3b0c7a,177742146544,True,0.472074,682403233577742,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,204.77,5.15,B,1759011817576,2025-09-28 06:23:37.576,-5.15,Close Short,-5.5105,0x9dc64314c72312a59f3f042c64dd4102011500fa62263177418eee678626ec90,177767372033,True,0.474554,701648530239841,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,204.33,4.95,A,1759012486022,2025-09-28 06:34:46.022,0.0,Open Short,0.0,0x113c61ee7edb216c12b6042c64ff7f02039200d419de403eb5050d413ddefb56,177776824768,True,0.455145,685213418268720,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,204.18,4.95,B,1759014235073,2025-09-28 07:03:55.073,-4.95,Close Short,0.7425,0x6a8f922afebc0da46c09042c655632020381001099bf2c760e583d7dbdbfe78f,177800821371,True,0.45481,1071611375133418,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,203.3301212121,4.95,A,1759015457208,2025-09-28 07:24:17.208,0.0,Open Short,0.0,0x6b16d6459b2f39fe6c90042c65930b0201e3002b362258d00edf81985a2313e9,177818463515,True,0.452917,1028253808508012,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,201.12,4.95,B,1759023856998,2025-09-28 09:44:16.998,-4.95,Close Short,10.939995,0x78c14dc725530ab37a3b042c67302902056800acc05629851c89f919e456e49e,177944260416,True,0.447994,508533758760899,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,201.04,4.95,B,1759024355927,2025-09-28 09:52:35.927,0.0,Open Long,0.0,0x983f4efdb777738499b9042c67494502024e00e3527a92563c07fa50767b4d6f,177951682086,True,0.447816,1007844803093800,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,203.71,4.95,A,1759078136429,2025-09-29 00:48:56.429,4.95,Close Long,13.2165,0xe3ebae53bf131afce565042c71b7520201d700395a1639ce87b459a67e16f4e7,178656638855,True,0.453764,971435885661666,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,203.79,4.98,A,1759078167818,2025-09-29 00:49:27.818,0.0,Open Short,0.0,0x723f23d125e0b0b973b8042c71b8f102037100b6c0e3cf8b1607cf23e4e48aa4,178657021604,True,0.456692,158759885720696,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,210.89,4.98,B,1759103523962,2025-09-29 07:52:03.962,-4.98,Close Short,-35.358,0x3fb8dda3cc1f2b754132042c76add8010900f58967124a47e38188f68b13055f,178910866724,True,0.472604,1105676337665977,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,209.5,4.09,A,1759112129252,2025-09-29 10:15:29.252,0.0,Open Short,0.0,0xf56664bb990ad4cef6e0042c785d4802018000a1340df3a1992f100e580eaeb9,179111051411,True,0.385584,697794154851758,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,210.58,4.09,B,1759112653377,2025-09-29 10:24:13.377,-4.09,Close Short,-4.4172,0x0a446583d29d53630bbe042c78775502028000696d907235ae0d10d691912d4d,179118688749,True,0.387572,696307900972812,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,210.1,4.0,A,1759113275342,2025-09-29 10:34:35.342,0.0,Open Short,0.0,0xcc64810bb20b6f86cdde042c78966502113f00f14d0e8e58702d2c5e710f4971,179128415345,True,0.378179,1043936020896542,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,211.14,4.0,B,1759155314557,2025-09-29 22:15:14.557,-4.0,Close Short,-4.16,0xf12ee35e8e4a92daf2a8042c80c40a0202aa0044294db1ad94f78eb14d4e6cc5,179210445984,True,0.380052,809927393940696,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,212.66,4.38,A,1759176118789,2025-09-30 04:01:58.789,0.0,Open Short,0.0,0x517f440d75649f5152f9042c84cb5d02020d00f31067be23f547ef603468793b,180039709029,True,0.419152,581733200616165,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,210.25,4.38,B,1759209654332,2025-09-30 13:20:54.332,-4.38,Close Short,10.5558,0xc7f0a295b49bc814c96a042c8b4328020141007b4f9ee6e66bb94de8739fa1ff,180483893933,True,0.414402,106943543895251,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,210.15,4.82,B,1759209669539,2025-09-30 13:21:09.539,0.0,Open Long,0.0,0xb51e78a9b2f8373bb698042c8b43e20202f5008f4dfb560d58e723fc71fc1126,180484195244,True,0.455815,239729228295451,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,205.98,4.82,A,1759225826249,2025-09-30 17:50:26.249,4.82,Close Long,-20.0994,0x9f6dae31223d8f63a0e7042c8e60d5010a00c616bd30ae3543365983e131694e,180653775784,True,0.44677,249121423773721,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,206.79,3.11,A,1759233175828,2025-09-30 19:52:55.828,0.0,Open Short,0.0,0xc36157e03668369ec4db042c8fcc9d02025d00c5d16b5570672a0332f56c1089,180806484676,True,0.289402,147738185960851,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,205.94,3.11,B,1759237619298,2025-09-30 21:06:59.298,-3.11,Close Short,2.6435,0x64d1d0752d771b3c664b042c90a82902073a005ac87a3a0e089a7bc7ec7af527,180867500473,True,0.288213,734312723227820,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,206.09,4.09,B,1759237804635,2025-09-30 21:10:04.635,0.0,Open Long,0.0,0xcba0d9a683eba7b2cd1a042c90b107020563008c1eeec6846f6984f942ef819d,180870503984,True,0.379308,571048296457675,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,205.84,4.09,A,1759245728406,2025-09-30 23:22:08.406,4.09,Close Long,-1.0225,0x1d9782f8a631426b1f11042c9235e102040e00de4134613dc1602e4b65351c55,180919620619,True,0.378848,905272852246973,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,209.42,3.73,A,1759267825051,2025-10-01 05:30:25.051,0.0,Open Short,0.0,0x3c4551b664ad74643dbf042c9678a90201a5009bffa09336e00dfd0923a14e4e,181348615663,True,0.351511,149988562374987,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,209.9947184987,3.73,B,1759303936444,2025-10-01 15:32:16.444,-3.73,Close Short,-2.1437,0x229ca1f00a9079c12416042c9d68c702034600d5a5939893c6654d42c99453ab,181683287283,True,0.352473,1042861168918166,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,211.57,3.52,A,1759307369009,2025-10-01 16:29:29.009,0.0,Open Short,0.0,0xe5eb886c526d5b9ee765042c9e12690208210051ed607a7089b433bf11613589,181911817935,True,0.335126,519283124331662,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,212.23,3.52,B,1759307431867,2025-10-01 16:30:31.867,-3.52,Close Short,-2.3232,0x256baf4cd7bf24d326e5042c9e158f0000a6c73272b243a5c9345a9f96b2febd,181912319830,True,0.336172,822584581791987,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,214.98,3.05,A,1759308314420,2025-10-01 16:45:14.420,0.0,Open Short,0.0,0xe8b0ff431e0e23e1ea2a042c9e40a60208fa0028b90142b38c79aa95dd01fdcc,181930142064,True,0.29506,1078780587303086,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,215.73,3.05,B,1759308567205,2025-10-01 16:49:27.205,-3.05,Close Short,-2.2875,0xa4cfe108f0e6a262a649042c9e4d27011300f8ee8be9c13448988c5bafea7c4d,181930595558,True,0.296089,625751787673049,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,216.24,1.47,A,1759309441749,2025-10-01 17:04:01.749,0.0,Open Short,0.0,0x4cf76f510845b6e74e71042c9e77d2020a620036a348d5b9f0c01aa3c74990d1,181951699087,True,0.143042,1019213046173119,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,216.4457664234,1.37,A,1759310093863,2025-10-01 17:14:53.863,-1.47,Open Short,0.0,0xc6ebb416d28da2fac865042c9e97bd0207cf00fc6d80c1cc6ab45f6991817ce5,181963474394,True,0.133437,794615864081375,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,218.87,2.84,B,1759321290617,2025-10-01 20:21:30.617,-2.84,Close Short,-7.187472,0xc7bde5397307dbc5c937042ca0be04020374001f0e0afa976b86908c320bb5b0,181987135021,True,0.279715,479916056936001,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,219.99,2.15,A,1759361746059,2025-10-02 07:35:46.059,0.0,Open Short,0.0,0xa61adfcf86ea832aa794042ca87f5702018300b521eda1fc49e38b2245ee5d15,182710359105,True,0.21284,1079148234304107,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,226.47,2.15,B,1759382931830,2025-10-02 13:28:51.830,-2.15,Close Short,-13.932,0x60009cdb38064f6a617a042cac935302077900c0d3096e3c03c9482df70a2955,183031438542,True,0.219109,361656486163162,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,"{'liquidatedUser': '0x1a3fb67af7d0c6bf56e5008d529b9c5086992535', 'markPx': '225.77', 'method': 'market'}",
SOL,225.52,0.85,A,1759383325113,2025-10-02 13:35:25.113,0.0,Open Short,0.0,0x3be3b00acc4d9c593d5d042caca69e0201a600f06740bb2bdfac5b5d8b417643,183038387031,True,0.086261,388420585219421,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,224.33,0.08,A,1759389647911,2025-10-02 15:20:47.911,-0.85,Open Short,0.0,0xe941b7217cdfae34eabb042cadde0602018f000717d2cd068d0a62743bd3881f,183124361181,True,0.008075,658406554553488,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,223.61,0.93,B,1759390290983,2025-10-02 15:31:30.983,-0.93,Close Short,1.681068,0x69b73f53ef217c0b6b30042cadfd7e0203a400398a249add0d7feaa6ae2555f6,183132731930,True,0.09358,729245092003968,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,223.6,0.98,B,1759390300293,2025-10-02 15:31:40.293,0.0,Open Long,0.0,0xd3f61b6cda2919e2d56f042cadfdf602017c0052752c38b477bec6bf992cf3cd,183132847185,True,0.098607,190890966622042,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,224.82,0.98,A,1759400795671,2025-10-02 18:26:35.671,0.98,Close Long,1.1956,0xd8915a4e22ac79cbda0b042cb0007102039d0033bdaf989d7c5a05a0e1a053b6,183269054937,True,0.099145,988890574040165,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,224.82,1.05,A,1759400801366,2025-10-02 18:26:41.366,0.0,Open Short,0.0,0xfb7200e1b75ad4f5fceb042cb000b50203cc00c7525df3c89f3aac34765eaee0,183269124647,True,0.106227,941693239328674,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,230.58,1.05,B,1759428280394,2025-10-03 02:04:40.394,-1.05,Close Short,-6.048,0x4db1e7f6fca21aad4f2b042cb53ab202053800dc97a5397ff17a9349bba5f497,183712328176,True,0.108949,795233638519008,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,"{'liquidatedUser': '0x1a3fb67af7d0c6bf56e5008d529b9c5086992535', 'markPx': '230.58', 'method': 'market'}",
SOL,232.62,0.45,A,1759444567598,2025-10-03 06:36:07.598,0.0,Open Short,0.0,0x383fecc8cb08268139b9042cb859400203c800ae660b4553dc08981b8a0c006b,183952977967,True,0.047105,244751914794279,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,229.27,0.45,B,1759475740191,2025-10-03 15:15:40.191,-0.45,Close Short,1.5075,0xeeba2e786de60958f033042cbe434202029c005e08e9282a9282d9cb2ce9e343,184401485661,True,0.046427,669275418158077,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
SOL,229.38,0.64,B,1759475775410,2025-10-03 15:16:15.410,0.0,Open Long,0.0,0x69bba2d7d95fa73d6b35042cbe450902024800bd7452c60f0d844e2a98538128,184402058422,True,0.066061,92813445011681,USDC,,0x1a3fb67af7d0c6bf56e5008d529b9c5086992535,,
