币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,207.39,482.25,A,1757286810985,2025-09-08 07:13:30.985,0.0,Open Short,0.0,0xd3a7336997a4d1ffd520042b19ac200202c2004f32a7f0d1776fdebc56a8abea,155896086587,True,45.006219,1022440099781559,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.45,482.09,A,1757286892476,2025-09-08 07:14:52.476,-482.25,Open Short,0.0,0x3c49f59a4608a6643dc3042b19b02b020121007fe10bc536e012a0ed050c804e,155896787698,True,45.004305,198107241228514,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.44,482.13,A,1757287921163,2025-09-08 07:32:01.163,-964.34,Open Short,0.0,0x82633552a3da0be283dc042b19e21202044300383edd2ab4262be0a562dde5cd,155908394203,True,45.005869,128423250618082,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,1.74,A,1757287946664,2025-09-08 07:32:26.664,-1446.47,Open Short,0.0,0x5cc3ee065efc1fd55e3d042b19e3470205fc00ebf9ff3ea7008c99591dfff9c0,155908629420,False,0.054165,152366511381648,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,4.46,A,1757287946870,2025-09-08 07:32:26.870,-1448.21,Open Short,0.0,0x1172a07f2c9609f812ec042b19e34902025c0064c79928cab53b4bd1eb99e3e2,155908629420,False,0.138837,37976254814968,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,0.05,A,1757287948202,2025-09-08 07:32:28.202,-1452.67,Open Short,0.0,0x0cda02acf3cecc2b0e53042b19e35602014600928ec1eafdb0a2adffb2c2a615,155908629420,False,0.001556,1041096081621436,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,1.89,A,1757287950015,2025-09-08 07:32:30.015,-1452.72,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155908629420,False,0.058834,138405053685674,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,4.62,A,1757287950717,2025-09-08 07:32:30.717,-1454.61,Open Short,0.0,0x0958976a62e0d57a0ad2042b19e371020341004ffde3f44cad2142bd21e4af64,155908629420,False,0.143818,831577469002284,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,2.55,A,1757287950821,2025-09-08 07:32:30.821,-1459.23,Open Short,0.0,0x21bb8114e46942882335042b19e37202015400fa7f6c615ac5842c67a36d1c72,155908629420,False,0.07938,980261103052924,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,8.65,A,1757287951919,2025-09-08 07:32:31.919,-1461.78,Open Short,0.0,0x25631e16a08ad0e426dc042b19e37e02032a00fc3b8defb6c92bc9695f8eaace,155908629420,False,0.26927,288061423858720,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,0.54,A,1757287952037,2025-09-08 07:32:32.037,-1470.43,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155908629420,False,0.016809,1010094803227773,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,0.08,A,1757287952347,2025-09-08 07:32:32.347,-1470.97,Open Short,0.0,0xf26d4cdd19ad479bf3e7042b19e38502022900c2b4a0666e9635f82fd8a12186,155908629420,False,0.00249,505273513509983,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,2.01,A,1757288070077,2025-09-08 07:34:30.077,-1471.05,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155908629420,False,0.06257,157265867522125,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,0.01,A,1757288070278,2025-09-08 07:34:30.278,-1473.06,Open Short,0.0,0x7dffe90494cc4cce7f79042b19e9410204ff00ea2fcf6ba021c8945753c026b9,155908629420,False,0.000311,606077577991620,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,101.19,A,1757288070395,2025-09-08 07:34:30.395,-1473.07,Open Short,0.0,0x17937cdc6d77ca04190d042b19e9420201fd00c2087ae8d6bb5c282f2c7ba3ee,155908629420,False,3.149994,992244599343048,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,10.91,A,1757288071495,2025-09-08 07:34:31.495,-1574.26,Open Short,0.0,0xeaf478d088a3df0eec6e042b19e94e0201ec00b623a6fde08ebd242347a7b8f9,155908629420,False,0.339622,334163303300906,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.53,343.15,A,1757288071562,2025-09-08 07:34:31.562,-1585.17,Open Short,0.0,0xb6d89a4daddd4db8b852042b19e94f0206f2003348d06c8a5aa145a06cd127a3,155908629420,False,10.682087,665266871657886,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,38.6,A,1757288156450,2025-09-08 07:35:56.450,-1928.32,Open Short,0.0,0xd3c1236ecd433b5ad53a042b19ed7e0201d6005468465a2c7789cec18c471545,155910996981,False,1.200498,431300778908722,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,73.46,A,1757288156614,2025-09-08 07:35:56.614,-1966.92,Open Short,0.0,0x0a4e63164bab66ec0bc8042b19ed8002012200fbe6ae85beae170e690aaf40d6,155910996981,False,2.284679,362366840507302,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,5.0,A,1757288158267,2025-09-08 07:35:58.267,-2040.38,Open Short,0.0,0x1c4699a53d3d50951dc0042b19ed93020104008ad8306f67c00f44f7fc312a7f,155910996981,False,0.155505,869544579164916,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,1.7,A,1757288160053,2025-09-08 07:36:00.053,-2045.38,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155910996981,False,0.052871,90977406474757,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,0.9,A,1757288160510,2025-09-08 07:36:00.510,-2047.08,Open Short,0.0,0x32b35984b512a6e6342d042b19edad020130006a5015c5b8d67c04d7741680d0,155910996981,False,0.02799,383815703528491,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,0.9,A,1757288160570,2025-09-08 07:36:00.570,-2047.98,Open Short,0.0,0x58586b63b2b933bf59d2042b19edae02025500494dbc5291fc2116b671bd0da9,155910996981,False,0.02799,170555205922228,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,20.42,A,1757288161808,2025-09-08 07:36:01.808,-2048.88,Open Short,0.0,0xa52860078501b2d0a6a2042b19edbd02073700ed2004d1a248f10b5a44058cbb,155910996981,False,0.635082,114090617847358,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,0.54,A,1757288162133,2025-09-08 07:36:02.133,-2069.3,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155910996981,False,0.016794,494546199219985,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,1.5,A,1757288164548,2025-09-08 07:36:04.548,-2069.84,Open Short,0.0,0x901a2c59463bc0569193042b19edde02035d003ee13edf2833e2d7ac053f9a41,155910996981,False,0.04665,754032473125680,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.34,339.27,A,1757288166293,2025-09-08 07:36:06.293,-2071.34,Open Short,0.0,0xfd46b53d5df7f748fec0042b19edf002065f0022f8fb161ba10f60901cfbd133,155910996981,False,10.551636,158277345762265,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.04,212.12,A,1757288810541,2025-09-08 07:46:50.541,-2410.61,Open Short,0.0,0x0d3d5f608d71be6d0eb7042b1a0d6f02085c00462874dd3fb1060ab34c759857,155917258945,False,6.587598,965701505055673,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.04,0.09,A,1757288813045,2025-09-08 07:46:53.045,-2622.73,Open Short,0.0,0xe7f5464895c7b4f6e96f042b1a0d8f020189002e30cad3c88bbdf19b54cb8ee1,155917258945,False,0.002795,866007768079860,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.04,28.83,A,1757288813102,2025-09-08 07:46:53.102,-2622.82,Open Short,0.0,0xd7e309996cb5e472d95c042b1a0d9002040b007f07b903447babb4ec2bb9be5d,155917258945,False,0.895344,172139759843113,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,206.93,2.18,A,1757288850031,2025-09-08 07:47:30.031,-2651.65,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155917669359,False,0.067666,114855249820896,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,206.93,0.54,A,1757288852106,2025-09-08 07:47:32.106,-2653.83,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,155917669359,False,0.016761,163757531243241,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,206.93,2.49,A,1757288853169,2025-09-08 07:47:33.169,-2654.37,Open Short,0.0,0xb14b4cc9e4ed6cccb2c5042b1a0f9702012300af7fe08b9e5513f81ca3e146b7,155917669359,False,0.077288,458744486893243,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,206.93,24.16,A,1757288854174,2025-09-08 07:47:34.174,-2656.86,Open Short,0.0,0x52045355b0cde837537e042b1a0fa3020155003b4bc10709f5ccfea86fc1c221,155917669359,False,0.749914,78874526086981,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
ETH,4310.6414167349,115.985,A,1757288919146,2025-09-08 07:48:39.146,0.0,Open Short,0.0,0xb80a1966d0620bcfb983042b1a12de0203f8004c6b652aa15bd2c4b98f65e5ba,155918731502,True,224.986377,741927731503731,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,206.93,453.88,A,1757291381033,2025-09-08 08:29:41.033,-2681.02,Open Short,0.0,0xa87d147b7138a069a9f6042b1a89fe0204ed00610c3bbf3b4c45bfce303c7a54,155917669359,False,14.088207,193090348143609,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.04,1.62,A,1757291392801,2025-09-08 08:29:52.801,-3134.9,Open Short,0.0,0x5f10ce50e7899a76608a042b1a8a990206530036828cb94802d979a3a68d7461,155917258945,False,0.05031,315844803156444,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.04,240.33,A,1757291393952,2025-09-08 08:29:53.952,-3136.52,Open Short,0.0,0xe21e8f5d492a4601e398042b1a8aa602027c0042e42d64d385e73ab0082e1fec,155917258945,False,7.463688,204829932946477,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,207.66,481.55,A,1757299015689,2025-09-08 10:36:55.689,-3376.85,Open Short,0.0,0x9521d17f5268be00969b042b1bfd930206cf0064ed6bdcd238ea7cd2116c97eb,155906622008,False,14.9998,711478902589638,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,212.16,198.97,A,1757325978698,2025-09-08 18:06:18.698,-3858.4,Open Short,0.0,0xa08d5a3c553f2e60a207042b21368b020fac0021f0324d324456058f1433084b,156093736963,False,6.332021,222718031586329,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
SOL,212.16,2157.74,A,1757325980192,2025-09-08 18:06:20.192,-4057.37,Open Short,0.0,0x4a2e1f8f151f57fa4ba7042b21369a0203cf0074b01276ccedf6cae1d41331e4,156093736963,False,68.667917,377914892888759,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
ETH,4359.6,114.6894,A,1757337209400,2025-09-08 21:13:29.400,-115.985,Open Short,0.0,0x23fbba06feba67612575042b235c05021015010199bd8633c7c46559bdbe414b,156094031642,False,74.999986,175333213632488,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.9905034701,5446.6,A,1757431467558,2025-09-09 23:24:27.558,0.0,Open Short,0.0,0x62a7674ddd97d39f6421042b3540350202500033789af271067012a09c9bad8a,157555857748,True,26.937378,451016689931162,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,13.7,A,1757431468508,2025-09-09 23:24:28.508,-5446.6,Open Short,0.0,0xe6a2939a6213a7c3e81c042b354043020112007ffd16c6958a6b3eed211781ae,157555857748,False,0.022557,254966255300691,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,45.0,A,1757431468647,2025-09-09 23:24:28.647,-5460.3,Open Short,0.0,0xca92be2643b5a3ebcc0c042b35404501b200d60bdeb8c2bd6e5b697902b97dd6,157555857748,False,0.074094,684589580589908,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,13.7,A,1757431468983,2025-09-09 23:24:28.983,-5505.3,Open Short,0.0,0xe4a16839a5223b3ae61b042b35404a020308001f40255a0c886a138c64261525,157555857748,False,0.022557,204540242294803,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,8.9,A,1757431469191,2025-09-09 23:24:29.191,-5519.0,Open Short,0.0,0xd150de170e5cf22fd2ca042b35404d0202c400fca950110175198969cd50cc1a,157555857748,False,0.014654,221540261973390,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,228.2,A,1757431469312,2025-09-09 23:24:29.312,-5527.9,Open Short,0.0,0xf6877369ac4cd2ecf801042b35404f020171004f474ff1bf9a501ebc6b40acd7,157555857748,False,0.375741,998534378693203,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
IP,10.977,45.0,A,1757431469855,2025-09-09 23:24:29.855,-5756.1,Open Short,0.0,0x2ad4213b73df0cca2c4d042b35405702012a00210ed22b9cce9ccc8e32d2e6b4,157555857748,False,0.074094,353868609472406,USDC,,0x1b3a52b3491c0949b59cbfe81ccaf4d9aaf34d28,,
