币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,3132.1,0.5,B,1714914262169,2024-05-05 21:04:22.169,0.0,Open Long,0.0,0x8db8175f1019c96aa8170408c4a293014a00cabbe5eaac28b723af931fdc6448,21554864372,True,0.548117,569720800211314,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3144.486,0.25,A,1714916550252,2024-05-05 21:42:30.252,0.5,Close Long,3.0965,0xa931d808cf5ac21a536b0408c4bb430201180084b7e22438911231b98574d758,21558525454,True,0.27514,43504399269563,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3145.732,0.25,A,1714916913426,2024-05-05 21:48:33.426,0.25,Close Long,3.408,0x32adc9b69ecb447d1ec10408c4bf5501f600dd1017b738c712af49c61774681c,21559068738,True,0.275251,650236015481824,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3130.33612,0.5,B,1714918786811,2024-05-05 22:19:46.811,0.0,Open Long,0.0,0x1e3df02adb4bcbdce2200408c4d3cb02011d00521ff7fd733c531d9b29432d20,21561453838,True,0.547808,651092920912345,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3127.6,0.5,B,1714918878011,2024-05-05 22:21:18.011,0.5,Open Long,0.0,0xea8fe54dff9643cef9890408c4d4d202015400283a33737f9e8c429842c800e5,21561547757,True,0.54733,621424275892645,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3141.7,0.5,A,1714920440331,2024-05-05 22:47:20.331,1.0,Close Long,6.37,0x9c2592e33fe933131fce0408c4e5f7020157003fed652f40f5f45cc1937e2686,21563370355,True,0.549797,825362826136801,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
ETH,3132.1162,0.5,A,1714934062010,2024-05-06 02:34:22.010,0.5,Close Long,1.5781,0x6b23003d400960dfda080408c57af502050600171b9b30c3e812d5e7d7113872,21563400110,True,0.548117,476751660759045,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
JUP,1.1311,750.0,B,1714978304545,2024-05-06 14:51:44.545,0.0,Open Long,0.0,0xe67f9b8920f482fd06170408c7694902018900161e86f81a9bb4b55741abf1c9,21625451681,True,0.296913,702624762539543,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
JUP,1.1412,375.0,A,1714979066003,2024-05-06 15:04:26.003,750.0,Close Long,3.7875,0xc5045a70ce94b84af3920408c771b101140018ea0fc30b009874b5acb6f62a67,21626255898,True,0.149782,1041036308773999,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
JUP,1.131,375.0,A,1714979435572,2024-05-06 15:10:35.572,375.0,Close Long,-0.0375,0x32be53bcaedbbdaf0cd50408c775c502029e00227c65c2c0b349abe3a31b3d4e,21626275118,True,0.148443,27083399786511,USDC,,0x1b7ec4e472c437f4f23808b57fbaf470781250ff,,
