币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,111128.0,0.00134,B,1756237782508,2025-08-27 03:49:42.508,0.0,Open Long,0.0,0x3359f27661ec0dfa34d3042a5057d202010c005bfcef2cccd7229dc920efe7e4,145399797673,True,0.06701,1091353037755953,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111280.0,0.00134,A,1756239332457,2025-08-27 04:15:32.457,0.00134,Close Long,0.20368,0xdf92780af9a2a02ee10c042a50a4db0202fb00f094a5bf00835b235db8a67a19,145415784352,True,0.067101,303509364717630,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111341.0,0.00044,B,1756240437688,2025-08-27 04:33:57.688,0.0,Open Long,0.0,0x76ad69a7c1b0db1b7827042a50dc7f01f000818d5cb3f9ed1a7614fa80b4b506,145426571890,True,0.022045,212429160811289,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
LTC,113.83,0.09,A,1756241641788,2025-08-27 04:54:01.788,0.0,Open Short,0.0,0xb9c848bd3cfb8379bb42042a51193002018f00a2d7fea24b5d90f40ffbff5d64,145437134614,True,0.00461,962626344905613,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111355.0,0.00044,B,1756241664342,2025-08-27 04:54:24.342,0.00044,Open Long,0.0,0x43c8c8286563723d4542042a511a49020171000e0066910fe791737b24674c27,145437304217,True,0.022048,78483184214239,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111210.0,0.0001,B,1756243416118,2025-08-27 05:23:36.118,0.00088,Open Long,0.0,0x7de6cd099599244e7f60042a5173b902013c00ef309c432021af785c549cfe39,145451818973,True,0.005004,402973544388608,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
LTC,113.2,0.09,B,1756243655856,2025-08-27 05:27:35.856,-0.09,Close Short,0.0567,0x00f74973e770200a0271042a517fdd020256005982733edca4bff4c6a673f9f4,145451681809,True,0.004584,819784102652190,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111597.0,0.00098,A,1756245520096,2025-08-27 05:58:40.096,0.00098,Close Long,0.257838,0xe1a062e9cd0d14aee31a042a51dfde02035200cf6800338085690e3c8c00ee99,145467863990,True,0.049214,237758927968005,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111604.0,0.00044,B,1756245551323,2025-08-27 05:59:11.323,0.0,Open Long,0.0,0x2d90ec48eedf764c2f0a042a51e17e020257002e89d2951ed159979badd35036,145468397982,True,0.022097,731299294159218,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111895.0,0.00044,A,1756246802713,2025-08-27 06:20:02.713,0.00044,Close Long,0.12804,0x563641a54b53629457af042a522051000071598ae6568166f9feecf80a573c7e,145480769234,True,0.022155,172851201367872,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111476.0,0.00044,B,1756255753380,2025-08-27 08:49:13.380,0.0,Open Long,0.0,0xf52651881959810cf6a0042a53e35c020569006db45c9fdf98eefcdad85d5af7,145467978405,False,0.007357,79278611802631,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111260.0,0.00044,B,1756257763522,2025-08-27 09:22:43.522,0.00044,Open Long,0.0,0x91e2456cd892ea19935c042a5447b40201c50052739608eb35aaf0bf9796c404,145468652221,False,0.007343,103805897940593,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,110986.0,0.0009,B,1756264933358,2025-08-27 11:22:13.358,0.00088,Open Long,0.0,0x0e2d6d169b9c2f020fa7042a55b05002016900fc369f4dd4b1f618695a9008ec,145415263946,False,0.014983,99285192081322,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,110634.0,0.0009,B,1756282622164,2025-08-27 16:17:02.164,0.00178,Open Long,0.0,0x4b8fdc60cfce6b0e4d09042a592a6302030500466ac189e0ef5887b38ec244f8,145415364796,False,0.014935,919803091281186,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111319.473880597,0.00268,A,1756300929257,2025-08-27 21:22:09.257,0.00268,Close Long,0.874414,0x33e9daa3d22842213563042a5cbbec0208ae00896d2b60f3d7b285f6912c1c0b,145989964303,True,0.134248,113465382560535,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111319.0,0.00089,B,1756300942452,2025-08-27 21:22:22.452,0.0,Open Long,0.0,0x9f358f504277fa86a0af042a5cbc900202c70035dd7b195842fe3aa3017bd471,145990239563,True,0.044583,1033878987520582,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111690.0,0.00089,A,1756302579323,2025-08-27 21:49:39.323,0.00089,Close Long,0.33019,0x1d44b9372137bdd91ebe042a5d0a0700007fd11cbc3adcabc10d6489e03b97c3,146010927034,True,0.044731,510404612134476,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111850.0,0.00089,B,1756304632956,2025-08-27 22:23:52.956,0.0,Open Long,0.0,0x6e2d0d1dbd8d88bd6fa6042a5d6cdf0204d500035880a78f11f5b8707c8162a8,146040793651,True,0.044795,411812630690944,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,112100.0,0.00089,A,1756314018819,2025-08-28 01:00:18.819,0.00089,Close Long,0.2225,0x95b745ad58b5949b9731042a5f36df0000f25d92f3b8b36d397ff10017b96e86,146153664197,True,0.044896,179072879692031,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,112034.0,0.00089,B,1756315307359,2025-08-28 01:21:47.359,0.0,Open Long,0.0,0xf82f9429fad8f3eff9a9042a5f75de020337000f95dc12c29bf83f7cb9dccdda,146169654548,True,0.044869,625430884459643,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22067,49.0,A,1756315339739,2025-08-28 01:22:19.739,0.0,Open Short,0.0,0x455d832f6c5445d946d7042a5f77830201160015075764abe9262e822b581fc3,146169970363,True,0.004865,854665242752763,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.2229189796,49.0,A,1756317150575,2025-08-28 01:52:30.575,-49.0,Open Short,0.0,0x74040671250f2bb9757d042a5fd12202077e0056c0024a8b17ccb1c3e40305a4,146187711703,True,0.004915,351519222332464,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22314,53.0,A,1756318103501,2025-08-28 02:08:23.501,-98.0,Open Short,0.0,0x9c1214d9b956b8da9d8b042a60002402018100bf5459d7ac3fdac02c785a92c5,146170057438,False,0.001773,576061926933840,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,112510.0,0.00089,A,1756319443607,2025-08-28 02:30:43.607,0.00089,Close Long,0.42364,0xc6520744b14a05e7c7cb042a6043410107001f2a4c4d24b96a1ab297704ddfd2,146208969755,True,0.04506,484797428206990,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111847.0,0.00089,B,1756321672469,2025-08-28 03:07:52.469,0.0,Open Long,0.0,0x5fe4c64009ef139e615e042a60b2260208e80025a4e2327003ad7192c8e2ed89,146235223480,True,0.044794,25994376653573,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22054,151.0,B,1756321926522,2025-08-28 03:12:06.522,-151.0,Close Short,0.260626,0xf41b6143ee5995f4f595042a60be410000567929895cb4c797e40c96ad5d6fdf,146235014150,True,0.014985,692487067357402,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111188.0,0.00089,B,1756326108771,2025-08-28 04:21:48.771,0.00089,Open Long,0.0,0x19a53c6aa4a785221b1e042a618c900215e200503faaa3f4bd6de7bd63ab5f0c,146144360984,False,0.014843,473827020548075,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,112173.0,0.00178,A,1756326788333,2025-08-28 04:33:08.333,0.00178,Close Long,1.16679,0x16c286701aff9c12183c042a61aa730206e00055b5f2bae4ba8b31c2d9f375fc,146294681584,True,0.08985,814866914907709,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,111204.0,0.00089,B,1756332333844,2025-08-28 06:05:33.844,0.0,Open Long,0.0,0x619c743cd28b99096316042a62bb5c02077400226d8eb7db05651f8f918f72f4,146294974396,False,0.014845,30581508439168,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.2235,93.0,A,1756363681274,2025-08-28 14:48:01.274,0.0,Open Short,0.0,0xc996da7abb7fdba3cb10042a68d7fe02073100605672fa756d5f85cd7a73b58e,146664490727,True,0.009353,730072704886536,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22594,48.0,A,1756369031163,2025-08-28 16:17:11.163,-93.0,Open Short,0.0,0xfb8d42f9f0b76060fd06042a69e40002021b00df8bba7f339f55ee4cafbb3a4b,146708908487,True,0.00488,580272507384819,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,113043.0,0.00089,A,1756369841211,2025-08-28 16:30:41.211,0.00089,Close Long,1.63671,0x711762fc1090aa387291042a6a0d4802026100e1ab93c90a14e00e4ecf948423,146708790513,True,0.045273,719939851035244,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
LTC,113.55,0.09,A,1756370197206,2025-08-28 16:36:37.206,0.0,Open Short,0.0,0xaea647c46eb2b99fb020042a6a1ed302059c00aa09b5d871526ef3172db6938a,146719010811,True,0.004598,661966725319501,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22271,141.0,B,1756374598569,2025-08-28 17:49:58.569,-141.0,Close Short,0.22842,0xeeae0b3842854869f027042a6afc360204b2001ddd88673b9276b68b01892254,146755351629,True,0.01413,242190665444587,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
LTC,113.61,0.09,A,1756378401030,2025-08-28 18:53:21.030,-0.09,Open Short,0.0,0x3a85050fc34cc41b3bfe042a6bbc2f02010100f55e4fe2edde4db06282409e05,146782626801,True,0.004601,701477759381068,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22377,49.0,A,1756378408550,2025-08-28 18:53:28.550,0.0,Open Short,0.0,0xe754085d02bcc945e8cd042a6bbc9902017e00429dbfe8178b1cb3afc1b0a330,146782649760,True,0.004934,614112765109626,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,113004.0,0.00044,B,1756378433471,2025-08-28 18:53:53.471,0.0,Open Long,0.0,0x22ce120a6b787a2f2447042a6bbded02024600f0067b9901c696bd5d2a7c5419,146782814314,True,0.022374,862050367203014,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
LTC,113.31,0.17,A,1756384139154,2025-08-28 20:28:59.154,-0.18,Open Short,0.0,0xc022caa35a302de4c19c042a6cdb560201450088f5334cb663eb75f6193407cf,146824723518,True,0.008668,259218854500200,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22343,89.0,A,1756384149075,2025-08-28 20:29:09.075,-49.0,Open Short,0.0,0x837251f42ff6fc4b84ec042a6cdbc302022000d9cafa1b1d273afd46eefad636,146824825649,True,0.008948,680355703070162,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
BTC,113300.0,0.00044,A,1756385962730,2025-08-28 20:59:22.730,0.00044,Close Long,0.13024,0xe0c8f251a92f6478e242042a6d34f20000040a374422834a84919da468233e63,146842584097,True,0.022433,683655709247340,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.22249,138.0,B,1756397517065,2025-08-29 00:11:57.065,-138.0,Close Short,0.14628,0xea636748156e5511ebdd042a6f601a02019c002db06173e38e2c129ad4622efc,146989778773,True,0.013816,703894965547443,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
DOGE,0.2225,89.0,A,1756397545515,2025-08-29 00:12:25.515,0.0,Open Short,0.0,0x139af2ce3254a1fd1514042a6f61780205ed00b3cd57c0cfb7639e20f1587be7,146990302042,True,0.008911,908332494381421,USDC,,0x1e97e77dce4d504f268da6c99e54c27209566d37,,
