币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
RLB,0.16055742,110729.0,B,1734364062522,2024-12-16 23:47:42.522,0.0,Open Long,0.0,0x8da1df5f99e61f2f05f80419628fad017600d8e3a713dc8a6ee245bb6c684351,55815900739,True,6.222425,756352749468260,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
RLB,0.14680763,110729.0,A,1734364157350,2024-12-16 23:49:17.350,110729.0,Close Long,-1522.454073,0xcbab5d0598e74cb4eaf5041962956e01c9009e0b380036cfb47ece88dbf8a1f9,55816258182,True,5.689549,1122565035970428,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,3968.1,23.8513,B,1734365319306,2024-12-17 00:08:39.306,0.0,Open Long,0.0,0x0ab0c5623fe7f5dda212041962dc2c02011b00d2a9740c2290566170258445d0,55819593477,True,33.12552,116674897205261,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,3965.6,23.8513,A,1734365546131,2024-12-17 00:12:26.131,23.8513,Close Long,-59.62825,0x2d3fb48ebc6d7c97d351041962ea06019d00d8b8201d5a8d49eb14a99fefbc9d,55820294900,True,33.104649,1008592118549745,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,4001.7,23.9731,B,1734370454203,2024-12-17 01:34:14.203,0.0,Open Long,0.0,0xac955e27530c3d474389041964152101e80099eff6d02e7be683588e2134ea36,55836904004,True,33.576602,978629308246194,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
DOGE,0.412463,145023.0,B,1734370556973,2024-12-17 01:35:56.973,0.0,Open Long,0.0,0xe8189eee57f9a0d2e4310419641b6b01cd008ee259834f744b56ea0770cd7ca0,55837176427,True,20.935811,331691658892209,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
DOGE,0.40656164,145023.0,A,1734379171052,2024-12-17 03:59:31.052,145023.0,Close Long,-855.832669,0x862dec2bf5e5d6acaf5e041966289001df000c74bf599e452efcaeed37893d76,55863938394,True,20.636272,307400893410457,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,4047.5,23.9731,A,1734388251704,2024-12-17 06:30:51.704,23.9731,Close Long,1097.96798,0x426b30435526f474e737041968535a019d0054ff01b4037d2079db62936306b8,55883143967,True,33.960892,389621303410681,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
DOGE,0.40523201,169388.0,B,1734388536850,2024-12-17 06:35:36.850,0.0,Open Long,0.0,0xe2949bad587d2eb1652e04196864ce015f00e44ed5513f476669337ca2f6320f,55883480716,True,24.024496,1028373964485611,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
DOGE,0.40464262,169388.0,A,1734388679583,2024-12-17 06:37:59.583,169388.0,Close Long,-99.833536,0xeadd26443c628cacbb100419686d95015600a76d7cd7a4c773d2b3c5ef03f1d0,55883655003,True,23.989559,975215383997219,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,4045.3,18.8184,B,1734388910533,2024-12-17 06:41:50.533,0.0,Open Long,0.0,0x35e6b3d854919e2d95f80419687bc90132003a4ce2a9af09731f9bd063abeb99,55883936732,True,26.644125,461848221232070,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
ETH,3993.33089901,18.8184,A,1734391874715,2024-12-17 07:31:14.715,18.8184,Close Long,-977.97533,0xae7cb153573f23b3a70a041969311801b700050e17e62426d5702c9c2bf21ffc,55889564407,True,26.30183,312026018596405,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,90157.0,B,1734445117703,2024-12-17 22:18:37.703,0.0,Open Long,0.0,0xd42b0cd1545348be00e9041975e0e0020292001a91453af3b79d86997d196316,56019323112,False,0.460882,354861996835536,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,88312.0,B,1734445117773,2024-12-17 22:18:37.773,90157.0,Open Long,0.0,0x230829495dbcfda98d12041975e0e202018c00b8f2ff4a82dd79cd942476ad2a,56019323112,False,0.45145,1092188386810980,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,124772.0,B,1734445117903,2024-12-17 22:18:37.903,178469.0,Open Long,0.0,0x1e940ed9025832351cd2041975e0e30202da0015cbbaccfedc8b6ae090ac553b,56019323112,False,0.637834,146046135061222,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,107048.0,B,1734445119320,2024-12-17 22:18:39.320,303241.0,Open Long,0.0,0x4e11b3385ee2e3958c88041975e0f80201a800ff721ecbfa97c809c84b6791f1,56019323112,False,0.547229,799735966605958,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,162452.0,B,1734445119722,2024-12-17 22:18:39.722,410289.0,Open Long,0.0,0x031406f2e0c1233b5850041975e0ff02012700d1b3a8497196c8be8335fa83a9,56019323112,False,0.830454,903558090136365,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05112,10498.0,B,1734445119789,2024-12-17 22:18:39.789,572741.0,Open Long,0.0,0x0098f0c6b90415971565041975e10001fc00094b7e1fccbde6d9b722a0e85089,56019323112,False,0.053665,219992346038342,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.05000293,583239.0,A,1734445155436,2024-12-17 22:19:15.436,583239.0,Close Long,-651.521466,0x2694b3f1682cd1124314041975e32102029100c619a4efba0f7c7cadf5feed7b,56019472249,True,10.207277,371819101975293,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.0497,314479.0,B,1734445178625,2024-12-17 22:19:38.625,0.0,Open Long,0.0,0x4054f190b8d158e13416041975e48a0201000021274c092463989ae29e7f7928,56019558636,False,1.56296,220499084425583,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.0497,205771.0,B,1734445178827,2024-12-17 22:19:38.827,314479.0,Open Long,0.0,0xff1a2fcc1b374b9fa5e3041975e48d020111007d1888690335affc783a4f0344,56019558636,False,1.022681,647926181923721,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.0497,10809.0,B,1734445180476,2024-12-17 22:19:40.476,520250.0,Open Long,0.0,0xe6fd160ac4c180a3d078041975e4a802025600461022bb617907c63b0f65b139,56019558636,False,0.05372,210109985721859,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.0497,829.0,B,1734445181039,2024-12-17 22:19:41.039,531059.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,56019558636,False,0.00412,113790280427249,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.0497,51351.0,B,1734445182973,2024-12-17 22:19:42.973,531888.0,Open Long,0.0,0x00c47e7b3b91b8098385041975e4ce0201df0091c5a8c58bd3447a2f7f0ee627,56019558636,False,0.255214,434972733794393,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
PENGU,0.04688075,583239.0,A,1734445450814,2024-12-17 22:24:10.814,583239.0,Close Long,-1644.297798,0x0525473cf2f59fdffa33041975f4f902018a0068d2fc49d9bbd4ef9045b753a9,56020527482,True,9.569927,94116798445093,USDC,,0x200cb3a59b3d24e13c3f5f749062a17750f7c48f,,
