币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
IMX,1.69196478,102.5,B,1732485518108,2024-11-25 05:58:38.108,0.0,Open Long,0.0,0x9c196c4cb6366d4121ec0417a01e8302016700b6c3340bc4279537d4816768c9,49951945107,True,0.060698,798120344947115,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.23663773,596.0,B,1732485520119,2024-11-25 05:58:40.119,0.0,Open Long,0.0,0x09434813d03cbf50ced00417a01ea2016e000e1df5a83434ace9b64e8a15958e,49951948138,True,0.049361,782553278512300,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.037237,2444.0,B,1732485522130,2024-11-25 05:58:42.130,0.0,Open Long,0.0,0x864977dc81992e1b3f810417a01ec30194001943a1f9a2d4ee64c6965da4b174,49951950506,True,0.031852,926737191468596,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008965,6314.0,B,1732485524141,2024-11-25 05:58:44.141,0.0,Open Long,0.0,0x5a0ee695793f2398dd930417a01ee2015c00ee73293b60714df238c9aa5a181e,49951952831,True,0.019811,1065099305935137,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.30915,28.0,B,1732485526165,2024-11-25 05:58:46.165,0.0,Open Long,0.0,0xe72bedcd29322c27febd0417a01f02020180008e5f825f6eba7f961a24f8a9a6,49951957420,True,0.012829,842259437532105,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.7352,15.8,B,1732489759625,2024-11-25 07:09:19.625,102.5,Open Long,0.0,0x6566cb7442c1691e3bb50417a1236601e900f995326a8ed20d72b225f6efcfe2,49961758344,True,0.009595,405836026436357,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.23952,118.0,B,1732489782076,2024-11-25 07:09:42.076,596.0,Open Long,0.0,0xdfec7e830b1358048e3b0417a124c402029c008a5fa9ab2dae3413d8b8aaf70a,49961824419,True,0.009892,157188152494068,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.038838,661.0,B,1732489794098,2024-11-25 07:09:54.098,2444.0,Open Long,0.0,0xc196da8104168c42282f0417a1258102010500f15b3f9ee6324d70162e0b69fa,49961868632,True,0.008985,735315794898027,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.009351,2720.0,B,1732489807507,2024-11-25 07:10:07.507,6314.0,Open Long,0.0,0x51804d5da83e2a6dde340417a1265802016c00125cf3c9cb2e928c35be3b2b38,49961915467,True,0.008902,333836488277168,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.346,11.0,B,1732489816005,2024-11-25 07:10:16.005,28.0,Open Long,0.0,0x87ea8ad2fd58575396af0417a126dd01ca00898982c03be486f6665d412920e5,49961944333,True,0.005182,821502644975840,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.6802,118.3,A,1732571946893,2024-11-26 05:59:06.893,118.3,Close Long,-2.073799,0x362c5a8ae04fb59e4df00417b4e7e401f0009ce5035e750845490ba7296ed59c,50289485633,True,0.069568,543027328562088,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.2653,39.0,A,1732571948710,2024-11-26 05:59:08.710,39.0,Close Long,-2.115477,0x58ea6d5b07f316e147060417b4e80102015c00a11547639f6cb1fe72b0fc3e25,50289492282,True,0.017271,550946847103519,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.037241,3105.0,A,1732571950328,2024-11-26 05:59:10.328,3105.0,Close Long,-1.04328,0x8753d3ac80d1324b6c1f0417b4e81b02012e00e389e4743b700e63b0706fd467,50289497837,True,0.040471,139796904760628,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22336,714.0,A,1732571952159,2024-11-26 05:59:12.159,714.0,Close Long,-9.820356,0xe26080de49d7efbbb3f70417b4e8370201ae0061aee3160dfdbc817b023ab61a,50289504005,True,0.055817,1058210449552558,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008682,9034.0,A,1732571953769,2024-11-26 05:59:13.769,9034.0,Close Long,-3.604566,0x018fdd18fffdd0c48d4f0417b4e8520201b2001604327cf2320fbcd2ddf0caa9,50289512131,True,0.027451,997367135730142,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.6827,107.0,B,1732571956998,2024-11-26 05:59:16.998,0.0,Open Long,0.0,0x14f50843fc7c16ca6b1a0417b4e88501a10098b265cb2d028ef567895c0cfe85,50289521245,True,0.063017,762576446447868,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22337,625.0,B,1732571959013,2024-11-26 05:59:19.013,0.0,Open Long,0.0,0x3846d308dd84b49fd6130417b4e8a2020163002fab3ea46f8680af4cb3e1e7fa,50289531239,True,0.048862,604095189587861,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.037238,2564.0,B,1732571961237,2024-11-26 05:59:21.237,0.0,Open Long,0.0,0xc515b54255f2a94de6c40417b4e8c8020108000addf130a85b0c11f810c6c5cb,50289544991,True,0.033417,26434385341750,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008681,6569.0,B,1732571963281,2024-11-26 05:59:23.281,0.0,Open Long,0.0,0x3f45e0f18a105bf514590417b4e8e80201730025515382c002c0dd2d794bf2ca,50289554823,True,0.019958,170644944610086,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.2669,29.0,B,1732571965296,2024-11-26 05:59:25.296,0.0,Open Long,0.0,0x7ec217bf8940f9ce4e2a0417b4e90901d300c1489c5197fe07744fadb1abfe5b,50289561628,True,0.012859,723125728266522,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
YGG,0.63619,16.0,B,1732571967516,2024-11-26 05:59:27.516,0.0,Open Long,0.0,0x11bf5cfff619e28f6e140417b4e92d01920035620dac8d5a5504e0442e0c7428,50289573803,True,0.003562,1119259834740196,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
YGG,0.622,16.0,A,1732606932408,2024-11-26 15:42:12.408,16.0,Close Long,-0.22704,0x3eb3851d633517cdf6de0417bd510501ed0080464efaa3b83813292953790bdd,50403642652,True,0.003483,337117064546157,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.6924,107.0,A,1732606934017,2024-11-26 15:42:14.017,107.0,Close Long,1.0379,0xaaf112bfc7200d58b45c0417bd512201b900e4c257dd2b12ef97563fd8faf304,50403647458,True,0.06338,780246111727189,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.2816,29.0,A,1732606935626,2024-11-26 15:42:15.626,29.0,Close Long,0.4263,0xba24739d06d6d69f50d50417bd513a01ae004f6005348bd5da8683b353e8a631,50403651016,True,0.013008,931103976358295,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.035985,2564.0,A,1732606937436,2024-11-26 15:42:17.436,2564.0,Close Long,-3.212692,0x963b9f77b707e39e87b70417bd515801a900d4610f93be39a6b905f73958f575,50403656790,True,0.032292,654646181678907,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22132,625.0,A,1732606939253,2024-11-26 15:42:19.253,625.0,Close Long,-1.28125,0xbcb3088281c56586e91d0417bd5173018a006c5ce1faa2b326ece8e6c9a8b655,50403662180,True,0.048413,355994032266353,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008871,6569.0,A,1732606940862,2024-11-26 15:42:20.862,6569.0,Close Long,1.24811,0xd89ef4544bc47134359e0417bd518c020114008f2ea9ff57dc625094f90218ba,50403667423,True,0.020395,267677582765410,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.69438601,145.8,B,1732606944215,2024-11-26 15:42:24.215,0.0,Open Long,0.0,0xbe43dd3bbb41888718680417bd51c101fb0058c4b43e692faeda78189f0182fb,50403679611,True,0.086463,750790603146673,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22131,847.0,B,1732606946427,2024-11-26 15:42:26.427,0.0,Open Long,0.0,0xc685f5ae15178ef24e850417bd51e501a40043aeaa2158696d850e994972d4c1,50403685171,True,0.065607,35702873357069,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.035999,3514.0,B,1732606948450,2024-11-26 15:42:28.450,0.0,Open Long,0.0,0x2d9cb28894ba8f5433600417bd52050201be000b8ab4d9e9a8b149a413c3d935,50403692931,True,0.044275,122135111530897,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008876,8909.0,B,1732606950460,2024-11-26 15:42:30.460,0.0,Open Long,0.0,0x27e19b3412e8e77e06dd0417bd52240201e800ad42a006ac5155c7b3f3dff7cd,50403702811,True,0.027676,357576807812986,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.2835,40.0,B,1732606952670,2024-11-26 15:42:32.670,0.0,Open Long,0.0,0x53f9e98fdf74dfefa61b0417bd524802011c00d4d856b637082a351fb8144a5b,50403715267,True,0.017969,882468050547984,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
HMSTR,0.003808,5643.0,B,1732606954881,2024-11-26 15:42:34.881,0.0,Open Long,0.0,0x005f6f5ed677474006de0417bd526c0201e900e5bd0f58cac18ef68758764867,50403722555,True,0.00752,230766208685626,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.74279074,145.8,A,1732726782580,2024-11-28 00:59:42.580,145.8,Close Long,7.058286,0xbcdfefc74ba630a1947b0417da21a202016300f31ee1b0f6678a286ce2143cc6,50862932791,True,0.088934,828848635155662,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
SUPER,1.3028,40.0,A,1732726784186,2024-11-28 00:59:44.186,40.0,Close Long,0.772,0xd56260e73b54359760f60417da21bb017b003521e18a91411c3082bfa06f2305,50862935545,True,0.018239,14182264657366,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.037533,3514.0,A,1732726786006,2024-11-28 00:59:46.006,3514.0,Close Long,5.390476,0xbdd2bb17e912e7c10b3f0417da21d901c900f064ef890622ded8ea2254371c5b,50862942081,True,0.046161,757084667645546,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22535,847.0,A,1732726787614,2024-11-28 00:59:47.614,847.0,Close Long,3.42188,0x5b4174551efaca4bd98e0417da21f3019500d629b9fac3bc11a39d4a829e1f06,50862945941,True,0.066805,1069018779940813,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008459,8909.0,A,1732726789424,2024-11-28 00:59:49.424,8909.0,Close Long,-3.715053,0x6ea757b5c7c5ebe25e680417da220f018500d724e98d1abb40e62c8ae9bdafd5,50862949072,True,0.026376,896463102096096,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
HMSTR,0.003843,5643.0,A,1732726791036,2024-11-28 00:59:51.036,5643.0,Close Long,0.197505,0x2e0ec56c813eacfb237f0417da22290201120011398b2ba30ef169d10903dd4a,50862953483,True,0.00759,676998650498055,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
IMX,1.74446458,155.3,B,1732726794821,2024-11-28 00:59:54.821,0.0,Open Long,0.0,0xa77a56e3875fff34aad40417da226202015b00ccc852a8fd83c7e7984e9a4a11,50862965533,True,0.094818,993594246148294,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
kFLOKI,0.22537,904.0,B,1732726796831,2024-11-28 00:59:56.831,0.0,Open Long,0.0,0x679b8a2fc4c85673877f0417da2282020121001bfcffdfe976e5d4aabbe284d9,50862969407,True,0.071307,396611565447201,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
GALA,0.037539,3717.0,B,1732726798848,2024-11-28 00:59:58.848,0.0,Open Long,0.0,0xfd749f94d95bf48be6910417da22a101de00895c4bb8614db8bd5ad3b6f1d17e,50862974728,True,0.048836,129834946352468,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
NOT,0.008469,9531.0,B,1732726802495,2024-11-28 01:00:02.495,0.0,Open Long,0.0,0x5ae794e567c28b1952ad0417da22d00201a400c5588f62844ffb66804561de49,50862985383,True,0.028251,399560981632583,USDC,,0x2235093d65f0db75501d1906001d5d953a67b139,,
