币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,93799.0,0.00532,A,1735550358702,2024-12-30 17:19:18.702,0.0,Open Short,0.0,0x97ee9422b408c93cda39041a3f4848019900c7b5c2ea6d4661b105067d725af5,59530889177,True,0.174653,1054066658423585,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
ETH,3416.6,0.1099,A,1735550376210,2024-12-30 17:19:36.210,0.0,Open Short,0.0,0xb6be6bc935ea9dbc058c041a3f4911019f00be4f81dc90b4622a768318182fd5,59530951120,True,0.131419,910189659689192,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
SOL,192.44,1.46,A,1735550402997,2024-12-30 17:20:02.997,0.0,Open Short,0.0,0xb74cef9e9a24a22d2920041a3f4a3502011e00a748aea2f71e7f5dc08bc5e089,59531027441,True,0.098336,806712387037167,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
PNUT,0.68828,153.1,A,1735550423837,2024-12-30 17:20:23.837,0.0,Open Short,0.0,0x8c5def23e2cf7fe03470041a3f4b2002013800a640aed62d3ac793c060f657cd,59531095953,True,0.036881,175022157343763,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
HYPE,28.996,0.75,A,1735551721932,2024-12-30 17:42:01.932,0.0,Open Short,0.0,0xd9f8c9c205d3e814f2f1041a3f83eb01a100a6fdc22b169b80097f7f8c78d858,59534719701,True,0.007611,687890776799925,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
HYPE,29.066,0.42,A,1735551740128,2024-12-30 17:42:20.128,-0.75,Open Short,0.0,0xaad027339fdedb5737de041a3f84b701b00012a63822abb124643fda62e78d4a,59534766599,True,0.004272,872800683501612,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
BTC,92472.0,0.00532,B,1735569634860,2024-12-30 22:40:34.860,-0.00532,Close Short,7.05964,0x9269ad2fec234a1a0607041a4294680201480031dfbda7912f059f8d5e5f9d2b,59587571952,True,0.172182,6932140633639,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
ETH,3327.8,0.1099,B,1735569636362,2024-12-30 22:40:36.362,-0.1099,Close Short,9.75912,0x5875035c37746d8dcff3041a4294790202c3008ce646998562c1023208060e03,59587582927,True,0.128003,204889517577951,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
SOL,188.88,1.46,B,1735569637677,2024-12-30 22:40:37.677,-1.46,Close Short,5.1976,0x930b7af6e034a1725b8e041a4294890201c800cc7489e7e2931820d4759768d6,59587590402,True,0.096517,796329787482090,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
PNUT,0.67956,153.1,B,1735569638989,2024-12-30 22:40:38.989,-153.1,Close Short,1.335032,0xb17158640e0affe7a0cc041a42949902016500488f3696c6408630bfe39fffbf,59587594801,True,0.036414,772031682463574,USDC,,0x2433eaa1c1a5eef492c7d2dddf91b0256a71b380,,
