币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
RNDR,11.029,20.4,B,1710558898653,2024-03-16 11:14:58.653,0.0,Open Long,0.0,0x605baf7a42c3fe8944f304080e38fd02024900bcab534607c323c17da2df3a3d,13842544258,True,0.078747,936269000299930,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
SUPER,1.3227,145.0,B,1710558997417,2024-03-16 11:16:37.417,0.0,Open Long,0.0,0xff31e52c442a6deac67004080e3a0701f0002d38c7e8d3f0f89954f127bcabba,13842736664,True,0.067127,959282626763686,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
SOL,187.41,1.16,B,1710559060724,2024-03-16 11:17:40.724,0.0,Open Long,0.0,0xc471161cb47da865a27504080e3ab901a700754c7d9cd8647290e611c5e87faa,13842841761,True,0.076088,745793991505564,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
TAO,621.15,0.42,B,1710559157796,2024-03-16 11:19:17.796,0.0,Open Long,0.0,0x4087a43cef271d3bef0304080e3bd9011d005cbca5bea0ec5e4a8d0e741bba27,13843004020,True,0.091309,134374902764891,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
INJ,44.727,6.2,B,1710559336545,2024-03-16 11:22:16.545,0.0,Open Long,0.0,0xb38c810c8c69c69b820004080e3dd101a300a9cc5115d74135154bc70fa09ffe,13843276400,True,0.097057,417319631777645,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
FET,2.55,27.0,B,1710596368922,2024-03-16 21:39:28.922,0.0,Open Long,0.0,0x9d500770551ec96eabf904080fcc7f012100b5727c027e3d814010f5eefb148f,13852821336,False,0.006885,630499385065411,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
FET,2.55,84.0,B,1710596370524,2024-03-16 21:39:30.524,27.0,Open Long,0.0,0xc4cadb03c3e66c427d0404080fcc84018f002db120f77d668f7fe615a3e9184c,13852821336,False,0.02142,629962019712428,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
SOL,190.79,1.16,A,1710597273147,2024-03-16 21:54:33.147,1.16,Close Long,3.9208,0x0952b27cba18ddc8eadc04080fd5e9016d0091500a79c69f725075a240920fdc,13918962810,True,0.07746,264650012065656,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
INJ,44.687,6.2,A,1710597274535,2024-03-16 21:54:34.535,6.2,Close Long,-0.248,0x6f172886b5c8fd3a131d04080fd5ec0188001e2bea5ea03aad3e15f2e189ca5f,13918968539,True,0.09697,335341122371492,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
RNDR,11.169,20.4,A,1710597275446,2024-03-16 21:54:35.446,20.4,Close Long,2.856,0x7b533eca14f031ae6da104080fd5ee020339003af187c1290bfa1a454c8e997e,13918972948,True,0.079746,232179166912897,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
FET,2.5136,111.0,A,1710597276391,2024-03-16 21:54:36.391,111.0,Close Long,-4.0404,0x63aec689e1121ee1c88a04080fd5f00202fa00460385273f3ccda26073b9ca3d,13918975754,True,0.097653,828221248855121,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
SUPER,1.27155172,145.0,A,1710597277309,2024-03-16 21:54:37.309,145.0,Close Long,-7.4165,0x05d60f47903bfc147d0804080fd5f20202f40010d71cde322005e4cf79eb50a3,13918978006,True,0.06453,920179911795772,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
TAO,607.17,0.42,A,1710597278207,2024-03-16 21:54:38.207,0.42,Close Long,-5.8716,0xa1a6c5b29d059c70187404080fd5f4020342005207c89f7084f0dbefeedc7aa9,13918981145,True,0.089253,91699000382660,USDC,,0x24e985ca1a9455dbb327e7e27b076859a6a6f4f0,,
