币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2517.0,0.1,B,1705095681173,2024-01-13 05:41:21.173,0.0,Open Long,0.0,0xd937f8501f52b1e34b0504071f33a602010a000a0358ce3d6eab53247a1cf8f2,6972646802,False,-0.005034,870094870175060,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2517.0,0.4842,B,1705095681641,2024-01-13 05:41:21.641,0.1,Open Long,0.0,0xcb8753c595f410da151604071f33a701c000cec1db5a2fa55b8db0b389b59c76,6972646802,False,-0.024374,573255049124900,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2517.0,0.4619,B,1705095682779,2024-01-13 05:41:22.779,0.5842,Open Long,0.0,0x4107544142aafcaddd9204071f33ab0122009b6a4c9e65384cd65da2cf18e743,6972646802,False,-0.023251,593962921024456,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2517.0,4.9539,B,1705095683221,2024-01-13 05:41:23.221,1.0461,Open Long,0.0,0x525a864fcd4a0c6feb0804071f33ac01d90101941aad4990fa43984239972cfa,6972646802,False,-0.249379,350139493047394,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2513.25947,2.0,B,1705095759751,2024-01-13 05:42:39.751,6.0,Open Long,0.0,0x6c06f4e470f25045b7fb04071f3478010f00aaa492d36ddd94498858f291c90b,6972825504,True,1.256628,1008005228677467,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2521.0,2.0,B,1705096171437,2024-01-13 05:49:31.437,8.0,Open Long,0.0,0xccc1eeb115cbd6a04be304071f3934010e009e5079a705af3976ef391563adce,6973464337,False,-0.10084,672047969634650,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2528.03712,2.0,B,1705096445164,2024-01-13 05:54:05.164,10.0,Open Long,0.0,0x47fa4faaf4a60659814d04071f3c6c02015400302a0516d2bf656cb1da38f87b,6973894220,True,1.264016,682371066602272,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2512.0,0.3847,B,1705097421057,2024-01-13 06:10:21.057,12.0,Open Long,0.0,0xe9bd4e031024e494d25104071f479c02020c00163699d6ee060bb4b2b76f09a3,6975595787,False,-0.019327,778707206586939,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2512.0,0.2985,B,1705097421646,2024-01-13 06:10:21.646,12.3847,Open Long,0.0,0x6dddd3acaae9cd82b60504071f479e01df00b9ab322a69291a50a3621d30b6d9,6975595787,False,-0.014996,486665057513882,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
ETH,2512.0,0.4824,B,1705097422089,2024-01-13 06:10:22.089,12.6832,Open Long,0.0,0xdae1af958b944af48fe104071f479f020145000f1de457578d4ecf75a892228a,6975595787,False,-0.024235,1103557960789406,USDC,,0x2584a40b95b6c179001307ed1c3ba35902e59dc7,,
