币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
MANTA,3.6955,229.3,B,1706574060563,2024-01-30 08:21:00.563,0.0,Open Long,0.0,0x040f37b2790a79e077e6040761d536010900250ddc69de2a3bb1feafab726143,8411321498,True,0.211844,732033664246962,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
NTRN,1.1179,1126.0,B,1706662324283,2024-01-31 08:52:04.283,0.0,Open Long,0.0,0xc2ed66ad122c8e63bfd5040765de780201c300e1e6398aa3a29b033bb661e6aa,8491866161,True,0.314688,726921416330171,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
MANTA,3.3355,93.7,B,1706662444509,2024-01-31 08:54:04.509,229.3,Open Long,0.0,0x257069c020aeabebd8b7040765dfcf02021f007fd8964294c1a4a07ad63bf814,8491991795,True,0.078134,1083259980509807,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
STX,1.539,334.0,B,1706663028378,2024-01-31 09:03:48.378,0.0,Open Long,0.0,0xf018cb36f94a8b39a29e040765e64d012000c597af17c2e43610c6e5c72abe25,8492693790,True,0.128505,1020611969549582,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
STX,1.5498,334.0,A,1707328697764,2024-02-08 01:58:17.764,334.0,Close Long,3.6072,0x59bf5302652e656639a2040783d2620128005d88903096fce67b87238380d34a,9044164978,True,0.129408,821481739509799,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
MANTA,2.7616,10.0,B,1707328860579,2024-02-08 02:01:00.579,323.0,Open Long,0.0,0x4873d454aecb450a50e2040783d42802017e00b459500a922a18182e3ec8d34a,9044355374,True,0.006904,702005618923722,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
NTRN,1.14,1126.0,A,1707449705154,2024-02-09 11:35:05.154,1126.0,Close Long,24.8846,0xb98834be55ab81d20a080407892c590202a000e20b2947906f6dd9db87fb8b4c,9161399639,False,-0.025672,160058770233474,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
MANTA,2.746,204.4,B,1707451461561,2024-02-09 12:04:21.561,333.0,Open Long,0.0,0xa2c8eae8bf52b2fc2ec3040789403e01bb0000d08b7b7978ee6c62b6254c178a,9164675245,True,0.14032,747219199756933,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
STRK,1.863,322.0,A,1708560758753,2024-02-22 08:12:38.753,0.0,Open Short,0.0,0x1737c4b16c535217b54a0407b9ac91012c005e4d706cba27c75773138d5b0506,10451237427,True,0.149971,395017920624232,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
STRK,2.0032,196.7,A,1708987805894,2024-02-27 06:50:05.894,-322.0,Open Short,0.0,0x2069eeabe2e9e4e524870407cbf3d7011f0032bfcde72bee2c4cbc99f35a1100,11022220160,True,0.098507,664821639918545,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
STRK,1.90402757,518.7,B,1709056406185,2024-02-28 01:53:26.185,-518.7,Close Short,6.293092,0xe9319e6b1802ff6cba570407ced6c20201e30025abfde232b6ff20d27cd8289b,11130259288,True,0.246904,397501956172104,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
MANTA,2.8456,148.6,B,1709056487029,2024-02-28 01:54:47.029,537.4,Open Long,0.0,0x0a680fb7c422985a706d0407ced7a0011d00e681a0bca88e72fe8595d9f8be36,11130416339,True,0.105714,791863661730011,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,,
MANTA,2.2265,686.0,A,1709141554269,2024-02-29 01:32:34.269,686.0,Liquidated Cross Long,-691.92018,0x5af1be4ca64db8ad6f270407d26e42016c0028f41355a4193ad587e090d5870d,11279122247,False,0.0,1125463391147830,USDC,,0x25fab698e23332888cd4c27c0870d603a25a929e,"{'markPx': '2.2265', 'method': 'backstop'}",
