币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
JUP,0.88112,2899.0,B,1737516847227,2025-01-22 11:34:07.227,0.0,Open Long,0.0,0xbb862f368f78b731f054041c1731ff02011c00a0050729253e6d0ed74eb5ff4e,65503949703,True,0.894028,1047326680060028,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.88519,2899.0,A,1737522549522,2025-01-22 13:09:09.522,2899.0,Close Long,11.79893,0x171c541a4a2cdd994214041c18fd8002015b003daf370d39a0e3d6fe713b109b,65518513204,False,0.256616,221625454642306,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85823,3510.0,B,1737539619971,2025-01-22 17:53:39.971,0.0,Open Long,0.0,0x19258fe392f9dcbe9d24041c1e5af702020e0036b34c75d427d5658827a787c3,65566282004,True,1.054335,450069097146404,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85882,3510.0,A,1737540109373,2025-01-22 18:01:49.373,3510.0,Close Long,2.0709,0xd92009a5887a1df1c1de041c1e823b01e6000559ff18776d93f90d40af413729,65567322422,True,1.055055,437565641601204,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85695015,5473.0,B,1737540325423,2025-01-22 18:05:25.423,0.0,Open Long,0.0,0x72ac52e62ffdf2f63379041c1e939b02011f00fdb55d770603013f57998d265e,65567972340,True,1.64153,924781014907601,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85646824,5473.0,A,1737541822021,2025-01-22 18:30:22.021,5473.0,Close Long,-2.63666,0x6cb376a65f809b4ea1e5041c1f0c40017e00828a3bcc8d7c052253f974d3f190,65571681758,True,1.640605,319741398336670,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85802733,4149.0,B,1737542049385,2025-01-22 18:34:09.385,0.0,Open Long,0.0,0x3e009244cea7a4d467f8041c1f1ea4014100e86c3201c00735de24ffc3005a7b,65572308842,True,1.245983,706488093533969,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.8602,4149.0,A,1737542837402,2025-01-22 18:47:17.402,4149.0,Close Long,9.015777,0xc61208dbb0f634935bf8041c1f5e19020101008a1afd642056f25ae0ef7a5c5e,65574211357,True,1.249139,306123832452777,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.85913126,4419.0,B,1737543474217,2025-01-22 18:57:54.217,0.0,Open Long,0.0,0x2f88c1e8ea5e5700a816041c1f917801420026bdf2f13fa8a70bf31fbf7ad95c,65575526236,True,1.328774,759304116685248,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.86179,4419.0,A,1737545048458,2025-01-22 19:24:08.458,4419.0,Close Long,11.750121,0x980266056c8828463a64041c201023019300acf46b8096d31ee9ef61f70df68f,65579235822,True,1.332887,452657942116967,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
JUP,0.86149496,6772.0,B,1737547237924,2025-01-22 20:00:37.924,0.0,Open Long,0.0,0x35878cb43254b535e00f041c20c00c01f7005000a4e72313798ce097e7b6f929,65584990853,True,2.041914,702439467237593,USDC,,0x2829c2855ac31190f58728c92087692f29f29bd2,,
