币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
GMT,0.047838,20909.0,B,1743440846420,2025-04-01 01:07:26.420,0.0,Open Long,0.0,0xd469c619db5ce77af6790420a4616302010f002f310b7e074032a6d88571f504,82974386399,True,0.350085,245701162812711,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
MEW,0.002603,384024.0,A,1743440857092,2025-04-01 01:07:37.092,0.0,Open Short,0.0,0x46e5a040d9a71522b17f0420a461fa02015b00703dea88b65d47c2db94868a89,82974412944,True,0.349865,477729838676049,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
RENDER,3.4613,288.7,A,1743441678237,2025-04-01 01:21:18.237,0.0,Open Short,0.0,0x0cc3c1e4c86d914f13af0420a48b530201a600d9f4f749f937a1dc3b880b5b74,82976398593,True,0.349747,956333415538344,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
HMSTR,0.002195,455996.0,B,1743441708056,2025-04-01 01:21:48.056,0.0,Open Long,0.0,0x0ab6c7da245d147a3c0a0420a48cbd01d6001b5dd39ed19fc72cae29a5f650f2,82976482975,True,0.350318,508457915233007,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
HMSTR,0.002194,455996.0,A,1743441846485,2025-04-01 01:24:06.485,455996.0,Close Long,-0.455996,0x1542d015ee6b2211c0e10420a493a402010c000bf8fa1bc899ffb2aaf16deff5,82976869526,True,0.350159,279299763832107,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
RENDER,3.4648,288.7,B,1743441849177,2025-04-01 01:24:09.177,-288.7,Close Short,-1.01045,0xfc239ec465a5e9ac54610420a493c802054d007b93a8edf514cea248ed73d5e0,82976876423,True,0.3501,207956473586385,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
GMT,0.047697,20909.0,A,1743441852756,2025-04-01 01:24:12.756,20909.0,Close Long,-2.948169,0x4fdc33a89cc9d0b22fb60420a493fd01b200fae7b9950e6549bd3e243eb070d7,82976885574,True,0.349053,131972714784205,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
NEIROETH,0.026618,37577.0,B,1743441862961,2025-04-01 01:24:22.961,0.0,Open Long,0.0,0xc8b10decb5d68aa7cf7e0420a4946d02013300e56c10546ab73431233e43fc8b,82976904792,True,0.350078,204874779819288,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
JTO,2.2631900452,442.0,A,1743442151043,2025-04-01 01:29:11.043,0.0,Open Short,0.0,0xe0e4591aba7c202699bd0420a4a2500201db000d7a3010926a9a7851b8b4f864,82977568261,True,0.350114,544103682329746,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
MEW,0.0025774582,384024.0,B,1743442157111,2025-04-01 01:29:17.111,-384024.0,Close Short,9.808662,0x58c7696cbe60edd091cc0420a4a2a10201d6003801eba8ebb5e1f76937d3cbfb,82977594056,True,0.34643,588149265971239,USDC,,0x2c8ee46e57097a0b5661e3e4ffe492d4bd5b400c,,
