币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,211.5203089272,214.29,B,1758722406656,2025-09-24 22:00:06.656,0.0,Open Long,0.0,0xb24a4771c01a6d90b3c4042c2d353d02039000575b1d8c625612f2c47f1e477b,173203801128,True,20.397006,893253503416399,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,211.5590862849,214.29,B,1758722406848,2025-09-24 22:00:06.848,214.29,Open Long,0.0,0xfce59ba9b5bc36eafe5f042c2d353f021670008f50bf55bda0ae46fc74b010d5,173203810481,True,20.400745,176866239753600,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,211.5071920629,213.68,B,1758722434293,2025-09-24 22:00:34.293,428.58,Open Long,0.0,0xceae6ae35f702b1ad028042c2d369a02016500c8fa7349ec727716361e740505,173204251049,True,20.337681,522262129442870,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,213.4424794928,225.53,B,1758724203420,2025-09-24 22:30:03.420,642.26,Open Long,0.0,0x4e7ac1bf61c66d1e4ff4042c2d8d75020a4b00a4fcc98bf0f2436d1220ca4708,173230362111,True,21.66195,346877720949104,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,214.6428494009,236.19,A,1758728316111,2025-09-24 23:38:36.111,867.79,Close Long,618.026422,0x5450ae8586ca063e55ca042c2e56370201d1006b21cd2510f81959d845cde028,173298645282,True,22.813422,589553355560752,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,213.7,230.42,A,1758737859398,2025-09-25 02:17:39.398,631.6,Close Long,385.676996,0x4a0d307f41ea7ece4b86042c30294c02022a0064dced9da0edd5dbd200ee58b8,173452450233,True,22.158337,405661969023837,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,213.62,401.18,A,1758738083191,2025-09-25 02:21:23.191,401.18,Close Long,639.400684,0x267db4f303ee684727f7042c30342402031200d89ee18719ca466045c2e24231,173455692633,True,38.565028,305008630531425,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,212.11,1.16,A,1758745959071,2025-09-25 04:32:39.071,0.0,Open Short,0.0,0x72c3ce84ce98016a743d042c31b7b8020111006a699b203c168c79d78d9bdb55,173566679276,True,0.110721,882057328919751,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,211.59,1.16,B,1758751880326,2025-09-25 06:11:20.326,-1.16,Close Short,0.6032,0x6d8b83fefaa90d796f05042c32d9e802058a00e495ac2c4b11542f51b9ace764,173639676456,True,0.110449,414658326567828,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,193.97,7.26,A,1758840681388,2025-09-26 06:51:21.388,0.0,Open Short,0.0,0x19fab58873c852861b74042c43d86b02031d006e0ecb7158bdc360db32cc2c70,175170284500,True,0.633699,26299760875330,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,194.09,7.24,A,1758840687968,2025-09-26 06:51:27.968,-7.26,Open Short,0.0,0x024458563a3bc89403be042c43d8bf020c78003bd53ee766a60d03a8f93fa27e,175170451469,True,0.632345,669814222145042,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
SOL,194.66,7.1,A,1758841259818,2025-09-26 07:00:59.818,-14.5,Open Short,0.0,0xbf5a4603d4ef1511c0d4042c43f4e80207ce00e96fe233e36322f15693e2eefc,175180345844,True,0.621938,92759392843585,USDC,,0x2d24a8426dbc76e8f4e5fa1a9d48e323977993f7,,
