币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
FIL,5.0844,20.0,B,1736359496253,2025-01-09 02:04:56.253,0.0,Open Long,0.0,0xa9d7deb9e62e77cec2a0041afa98560202300070ec920d4342a96480b043e511,61536225833,True,0.03559,1021367347600163,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
DOT,6.7036,10.0,B,1736359508847,2025-01-09 02:05:08.847,0.0,Open Long,0.0,0x4e98584c43d0908e0f05041afa9919020319003a42dcd8989b0fc703412b360c,61536310591,True,0.023462,631839853650309,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
kPEPE,0.017771,1555.0,B,1736359713032,2025-01-09 02:08:33.032,0.0,Open Long,0.0,0xe5e10901e13636d709a9041afaa5bf0201d600eefa700eaaaa2f3c9539cc8ba3,61537469557,False,0.002763,209163026495552,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
kPEPE,0.017771,8445.0,B,1736359714063,2025-01-09 02:08:34.063,1555.0,Open Long,0.0,0xf5e2d042c113f1934067041afaa5ce0158004a5de217a9651700c5fbcff6ae19,61537469557,False,0.015007,496717132449676,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
ZK,0.18755,213.0,B,1736359716326,2025-01-09 02:08:36.326,0.0,Open Long,0.0,0xf7db250f926ec5e545a8041afaa5f102022100a90884a9ff67e186ebd167c0b3,61537320628,False,0.003994,175584395063060,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
ZK,0.18755,780.0,B,1736359717734,2025-01-09 02:08:37.734,213.0,Open Long,0.0,0xf457217ef92f2d885d13041afaa60602022500fcaec8256f9bae8ca15e666981,61537320628,False,0.014628,991497790166403,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
ZK,0.18755,7.0,B,1736359717927,2025-01-09 02:08:37.927,993.0,Open Long,0.0,0x085d80b2b7d3be7641d4041afaa60802024300f738f9d26c64b2f41cb238fe79,61537320628,False,0.000131,689847699954008,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
APT,8.9577,2.0,B,1736361804915,2025-01-09 02:43:24.915,0.0,Open Long,0.0,0x69601055fca6ab7da7a1041afb2696011b00fee62be0a71ba4098c88cf8340bd,61544881561,False,0.001791,552527697907390,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
AVAX,37.515,1.0,B,1736362101119,2025-01-09 02:48:21.119,0.0,Open Long,0.0,0x444ab1621f185cdc9a89041afb38ce0201db00d19aef32ea464a6f589f1e645d,61536713494,False,0.003751,1036092958595535,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
MANTA,0.78506,300.0,B,1736372571017,2025-01-09 05:42:51.017,0.0,Open Long,0.0,0x9fba03256955aabbe48e041afdbcc501c1005b135c691c60730583e577ecdce8,61590242757,True,0.082431,968992981554701,USDC,,0x2f36aa76bcfc9a76d04e50906d4ae93b59db8dda,,
