币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,13.665,0.85,B,1733513460763,2024-12-07 03:31:00.763,0.0,Open Long,0.0,0x91f31f63873750f1029d0418960c1a01df008b73d28ea9c60f96ed7d30ff0b20,53308991182,False,0.001161,619098154034203,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x24d5700f73148b0a8bb5d48364da817a
HYPE,13.498,0.85,A,1733513628615,2024-12-07 03:33:48.615,0.85,Close Long,-0.14195,0xd87a2dd89ae696e99658041896168501b800672e74ba5a2c13cca21252201e3b,53309816107,True,0.004015,907968116166714,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0xea8c26904723b672fc8b1666041e654e
HYPE,13.493,1.29,B,1733514093115,2024-12-07 03:41:33.115,0.0,Open Long,0.0,0x113107d4cb0c02f4dbb4041896333c02010d008768abf231a98d70ce5b6c86dc,53310851528,False,0.00174,850636231218380,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0xf8c3cf34610264ff06841b35d36c4161
HYPE,13.68765116,1.29,A,1733514725485,2024-12-07 03:52:05.485,1.29,Close Long,0.2511,0x133cefcd713d8eb6e98a0418965a6902012b005eb4fde94f3dae8473422bac74,53312405551,True,0.006179,1073684276617155,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x6632084b1e1cfe12071f5d0e214c7e5e
DOGE,0.43936,1593.0,B,1733515289024,2024-12-07 04:01:29.024,0.0,Open Long,0.0,0xcc195ed62d07f11c704d0418967d470163004564d730dfba90877a30edf02931,53313390765,False,0.06999,550262369111173,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x243ef38b3d68809e509e4972f3e7620f
DOGE,0.43819,998.0,B,1733518648366,2024-12-07 04:57:28.366,1593.0,Open Long,0.0,0x71bb2ab8c2f5f204c50b0418974d4d02026d00246dea6bd480cae38333ed5a7e,53313393533,False,0.043731,253852000450164,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x7e720d3db9598f4ecbad753515e5836a
DOGE,0.43946,2591.0,A,1733518819152,2024-12-07 05:00:19.152,2591.0,Close Long,1.427641,0x297fb85ee6f299b2bdc104189757c3017d00446b21efdf4375b8b38f640fcd5b,53321673449,True,0.398524,983264475882732,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x1ce3aff281b910e6029b724969f28f01
DOGE,0.43941,1593.0,B,1733518866003,2024-12-07 05:01:06.003,0.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,53321674256,False,0.069998,248839524045875,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0xeb65f8038a0e95c5acddede6a3af0bf4
DOGE,0.43835,998.0,B,1733519099084,2024-12-07 05:04:59.084,1593.0,Open Long,0.0,0x9b036c96960f797d48c5041897691f0186002de16f1ee43efad1a12f12771b4e,53321675963,False,0.043747,754097542726185,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0xf43c36127e78d51a5da61053d996530d
DOGE,0.43766,799.0,B,1733519130175,2024-12-07 05:05:30.175,2591.0,Open Long,0.0,0xb593a0af65a1aecfbbda0418976b0a01e900f8b4d3f83027bd6a5cb3f2986480,53321678593,False,0.034969,895669645141867,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0x4ca849f2e73c7cc78152e6e8cc274151
DOGE,0.43763,342.0,B,1733519131986,2024-12-07 05:05:31.986,3390.0,Open Long,0.0,0x0123d46425bea33f47ae0418976b270192007bf205224484560de6c2b0669538,53322432728,False,0.014966,604551173399244,USDC,,0x2f37066fd7eebf55335640fce0dbb0b3fcbf926b,,0xe6d472fc36253e4f11014831afbc6d9d
