币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,57.169,13.51,B,1699708616059,2023-11-11 21:16:56.059,0.0,Open Long,0.0,0x54254058c45d7dd1c2bb0405ec0fa3010b00a8e2c665531d0f080f6635461fd0,2909297848,True,0.193088,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,57.771,13.51,A,1699708806995,2023-11-11 21:20:06.995,13.51,Close Long,8.13302,0x313423f21d0b662110e40405ec12470163001a3406d81bf84ce0a851f85465cd,2909397286,False,-0.015609,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,58.88,18.44,B,1699709120270,2023-11-11 21:25:20.270,0.0,Open Long,0.0,0xe0eb17a3818059bc27410405ec16b70135004da28b7d34e4f0d8de9d6e4a48e4,2909599296,True,0.271436,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,58.385,18.44,A,1699709304080,2023-11-11 21:28:24.080,18.44,Close Long,-9.1278,0x8d913a72dd3904a1d7530405ec19490166000a2d8d5ccb586ca0c25f29472a8a,2909708685,True,0.269154,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,58.728,24.77,B,1699709361495,2023-11-11 21:29:21.495,0.0,Open Long,0.0,0xe4c2daf429fb253ed2400405ec1a11011f00cdc58390a12af4e5f89ab762f18d,2909740908,True,0.363673,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,59.06307105,24.77,A,1699709968272,2023-11-11 21:39:28.272,24.77,Close Long,8.29971,0x6f2da291c0627c802a3b0405ec229a015500f1d3bc03db5a42e5413d7cc641b2,2910137140,True,0.365747,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,62.319,27.51,B,1699712713126,2023-11-11 22:25:13.126,0.0,Open Long,0.0,0x62eb7f103d52ce7e51d40405ec492b0127004e8e70a114d86f99abbbe2e97e8b,2912063543,True,0.428598,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,63.522,27.51,A,1699713105509,2023-11-11 22:31:45.509,27.51,Close Long,33.09453,0x4aa35a8cebc674e49afe0405ec4e95011700a6383c8b35b6382b222819829aa3,2912426440,True,0.436872,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,62.778,25.89,B,1699714013969,2023-11-11 22:46:53.969,0.0,Open Long,0.0,0x189e4d2e63090ddfdd2c0405ec5b57019500b68dc11c9700342792bcf88f6245,2913291942,True,0.40633,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
SOL,62.579,25.89,A,1699714027576,2023-11-11 22:47:07.576,25.89,Close Long,-5.15211,0x0ea61ac9358137c676e20405ec5b87018c0059cf82f77241198c295e5bd4d15b,2913303139,True,0.405042,0,USDC,,0x2f9aa9e4dabd9067d2db768c2c4f60fc763ed74c,,
