币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
WLD,7.8783,25.4,A,1709491985126,2024-03-04 02:53:05.126,0.0,Open Short,0.0,0x8489886483ece7bb90100407e1423f01db00edae175bb45dd821df328b601cdf,11852960462,True,0.050027,763736563538180,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
MAVIA,6.0127,18.0,A,1709492268424,2024-03-04 02:57:48.424,0.0,Open Short,0.0,0x423e5435e7177db4afb70407e1456e0121008877b87cf7f4dc079bc037d40980,11853321823,True,0.027057,842052109170592,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
ETH,3474.7,0.0787,B,1709492352127,2024-03-04 02:59:12.127,0.0,Open Long,0.0,0x8d6445109c7044272a960407e1465c01710094b74667cf2e8918cd2a30790550,11853435595,True,0.068364,425049593067894,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
MAVIA,6.1719,5.1,A,1709553747694,2024-03-04 20:02:27.694,-18.0,Open Short,0.0,0x11217d9b031d875bfcb00407e3d97f01390102e79aa15d9a3aba9b45c881efb8,11956912564,False,-0.000629,1007568927743987,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
MAVIA,6.1719,6.3,A,1709553757045,2024-03-04 20:02:37.045,-23.1,Open Short,0.0,0xa4524c69f588f86a0b250407e3d99702016e000f47ae601bf52f8b5159c44a72,11956912564,False,-0.000777,444709263023821,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
WLD,7.5518,12.7,B,1709572356004,2024-03-05 01:12:36.004,-25.4,Close Short,4.14655,0x894bf72ee3fc79d678850407e49c7f010f004ff08b36aa4c11492e3f9c7c2520,11992400807,True,0.023976,824348864483322,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
MAVIA,5.7824,14.7,B,1709572525083,2024-03-05 01:15:25.083,-29.4,Close Short,4.292841,0x95b66bfa1113b774b77e0407e49e400201140103ba8b915f77e37ae062934d3b,11992645401,False,-0.0017,1044268046583914,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
STRAX,1.5072,58.0,A,1709572641657,2024-03-05 01:17:21.657,0.0,Open Short,0.0,0x701c7fe50ee9ca0c7e020407e49f73012d00a0052dc0694607fd23ad8412abb1,11993046335,True,0.021854,676994976155730,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
STRAX,1.484,58.0,B,1709574626734,2024-03-05 01:50:26.734,-58.0,Close Short,1.3456,0x628295951e60feca3fbf0407e4b37e0201d500f473469dabe2c7a2aac206a671,11998150947,True,0.021518,376120538248913,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
ATOM,12.384,7.54,A,1709580192992,2024-03-05 03:23:12.992,0.0,Open Short,0.0,0x40dce25a4aa9047a77c90407e4ec5e0202b3000d2d05c1d03863224271474f61,12011569012,True,0.023343,874660277621737,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
ETH,3597.7,0.0197,A,1709582567742,2024-03-05 04:02:47.742,0.0787,Close Long,2.4231,0xf97c168b87b49b1e7f640407e505c702021000bded684a7d5cc5bde52c1e0187,12015810104,False,-0.001417,620176040920004,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
ARB,1.9773,19.1,A,1709584593961,2024-03-05 04:36:33.961,0.0,Open Short,0.0,0xea3480beeb50e5e7e6200407e51b5f011d007275e5fa5bcc6795699319a96869,12019371250,True,0.009441,879984803960326,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
ARB,2.0915,9.6,B,1709613437173,2024-03-05 12:37:17.173,-19.1,Close Short,-1.09632,0x0709fa69a83f6cbd917d0407e6526c02014c00821c556ae6a833101db91d94a2,12072036399,True,0.005019,526110993198477,USDC,,0x302c685e5bcdbab2268c45e2af62e96b7dfb83b9,,
