币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,22.80747753,32.27,B,1734189246689,2024-12-14 23:14:06.689,0.0,Open Long,0.0,0x0128800ee672da69c6c8041938af98015200f232be9457b845abebd688ca81cb,55413218652,True,0.257598,488470496187794,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,22.509,21.99,B,1734190228408,2024-12-14 23:30:28.408,32.27,Open Long,0.0,0xc4b9e986ff8aea87a03d041938ec0101a4000822ce422df5eb46e323ba8ef837,55415590915,True,0.17324,237287988908781,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,22.53,32.27,A,1734190450269,2024-12-14 23:34:10.269,54.26,Close Long,-5.050255,0xaf95c39036152afb64a0041938f9b6015d006ba22b27694e6a6233df09135a28,55416123222,True,0.254464,737688109004775,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,22.942,57.45,B,1734190715165,2024-12-14 23:38:35.165,21.99,Open Long,0.0,0x69cdbb1fc41359eacadd0419390a1c01d10056db9987bd3c3a8f8c72626ebf91,55416733365,True,0.461305,379187832088395,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,24.65,40.56,B,1734226393184,2024-12-15 09:33:13.184,79.44,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,55493793350,False,0.09998,638659246036326,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,25.131,21.92,B,1734227894560,2024-12-15 09:58:14.560,120.0,Open Long,0.0,0x5866a6948714950a0e81041941fa92017f0013b273136046fb33e18fd360cc40,55497331491,False,0.055087,355008601279809,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.88863782,40.56,A,1734233307435,2024-12-15 11:28:27.435,141.92,Close Long,6.491134,0x2551abe51223bc146d6d041943476f000001905450e7d755029686726e40a061,55493793351,True,0.339122,403835943839815,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.63385241,101.36,A,1734233464191,2024-12-15 11:31:04.191,101.36,Close Long,-9.603616,0x330f6f287cd08679c18b041943511f01e700e319f20410088383232c6392ad73,55508262460,True,0.838434,131230516775975,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.81307273,110.0,B,1734233921049,2024-12-15 11:38:41.049,0.0,Open Long,0.0,0x7d954177c0b13ff6500b0419436d45013400badb5ce48a6ed09f70f1f896648d,55509285147,True,0.916801,885877780249262,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.842,4.01,B,1734234697353,2024-12-15 11:51:37.353,110.0,Open Long,0.0,0x38e9f4b6c3315f053eaa0419439d1c015100f0ea073b966c8e78127426658003,55510697499,True,0.033462,734200495052031,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,24.397,114.01,A,1734235764104,2024-12-15 12:09:24.104,114.01,Close Long,66.46783,0x4ab35392849b34021701041943decb01390034efd1932f4d5c0ecf2fed5f7883,55512354770,True,0.973524,955883699361225,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.65,66.53,B,1734238912304,2024-12-15 13:01:52.304,0.0,Open Long,0.0,0x2c5de5df41db41f42fb5041944a03601380037bf55f58ab8fb0b186fdd6e1701,55519311667,False,0.157343,735756920478365,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,24.07561972,66.53,A,1734243094795,2024-12-15 14:11:34.795,66.53,Close Long,28.31648,0xd6153604cbc74e4c5de9041945a17801620045068b8438595fe5d96b5aed0047,55525904168,True,0.560612,301017417946689,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.09395775,104.61,B,1734247264024,2024-12-15 15:21:04.024,0.0,Open Long,0.0,0x67868e218eb5ce6fd6dc041946a1e9013e007e98053b12b32eb949daf3f71d92,55533951206,True,0.845549,587910746814176,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,23.41,104.61,A,1734252666304,2024-12-15 16:51:06.304,104.61,Close Long,33.067221,0x83a5917e65363081decf041947ee5e0201de00194cd733b41c7634578480822e,55546678909,True,0.857122,627667683711332,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,24.5,98.3,B,1734280293663,2024-12-16 00:31:33.663,0.0,Open Long,0.0,0x998e7079caacc847e3e904194e88960201d40017e9d0b163c37032c0bfeca563,55602336959,False,0.240835,1043867913980749,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,24.48324557,98.3,A,1734321373174,2024-12-16 11:56:13.174,98.3,Close Long,-1.64696,0x198102aefde01a9ff018041958695e0201d300088f020329ede9b3825b160c1f,55703580411,True,0.842345,463631229799720,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,26.2,94.01,B,1734330438007,2024-12-16 14:27:18.007,0.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,55721964357,False,0.246306,893521937869195,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
HYPE,27.09561079,94.01,A,1734339599105,2024-12-16 16:59:59.105,94.01,Close Long,84.19637,0x5e2be3c0d221246b384504195cc2e5016f003000d32cf340ff8902ffec5efbcb,55744252885,True,0.891539,1037834233720920,USDC,,0x314a7235126972a94f1e4fe1e5fff159b6986fe1,,
