币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ENA,1.0,100.0,B,1734105146954,2024-12-13 23:52:26.954,0.0,Open Long,0.0,0xbbf0e7a8fce105fe8fa10419246861000002483acdc2305366c1b2afc1ad3f2a,55102491047,False,0.01,103972453026759,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
NOT,0.00815,5194.0,B,1734150531457,2024-12-14 12:28:51.457,0.0,Open Long,0.0,0x9fa63aa42f5978677b4704192f5a05010900b3f1ab51d2cd2ddab25927f427f4,55305896399,False,0.004233,420343646153143,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
NOT,0.00815,14227.0,B,1734150626206,2024-12-14 12:30:26.206,5194.0,Open Long,0.0,0x7f16cc0359826a09aa8804192f5fd6010e00842ac80c13b71ace94f75fb8faf4,55305896399,False,0.011595,796779173507938,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
NOT,0.00815,13191.0,B,1734150626210,2024-12-14 12:30:26.210,19421.0,Open Long,0.0,0x6ec3635019b59306da2d04192f5fd702010d006207971b42739f08db47fb906d,55305896399,False,0.01075,376148902251403,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
TON,6.3,34.4,B,1734150645919,2024-12-14 12:30:45.919,0.0,Open Long,0.0,0xf818cc55912b3288b16604192f61130106003fc465374791f3ffa87c96d6ee06,55300822750,False,0.021672,577674843718698,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
DYDX,2.0,114.7,B,1734248650130,2024-12-15 15:44:10.130,0.0,Open Long,0.0,0xe747acf98d28a67e5a70041946f7230202c7009a31a12c9bba04ecc74341bf82,55061606255,False,0.02294,183554629144527,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
CRV,1.1,4.2,B,1734297176795,2024-12-16 05:12:56.795,0.0,Open Long,0.0,0xd3f98ccf346532e5d3c404195298c0017100a978579eaac6d4d096650ec7956c,55101543261,False,0.000462,911986081883636,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
CRV,1.1,99.3,B,1734297176996,2024-12-16 05:12:56.996,4.2,Open Long,0.0,0xcea1770d45363f5f389c04195298c3015b0011cfe52a2e70fa3d12a9ea6b4d76,55101543261,False,0.010923,628526681631421,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
TON,5.4303,34.4,A,1734552498197,2024-12-19 04:08:18.197,34.4,Close Long,-29.91768,0xd4e10b96ab4be685b41c04198f5eca0203cb00431d33e8c87548bff3c8fa5620,55300822751,True,0.06538,822581960848961,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
DYDX,1.69,114.7,A,1734552516380,2024-12-19 04:08:36.380,114.7,Close Long,-35.557,0xa6a9fc4dc11998bac3c104198f5fe50000cfeaa949a28f9f37f2fc679029283c,55061606256,True,0.067845,140555716717492,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
NOT,0.00660415,32612.0,A,1734573798240,2024-12-19 10:03:18.240,32612.0,Close Long,-50.413306,0xdd980341de278ace47b304199471c1010100378a75f2c8c7c12085a8d8a6d7a0,55305896400,True,0.07538,447099868396841,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
CRV,0.8098,103.5,A,1734676584403,2024-12-20 14:36:24.403,103.5,Close Long,-30.0357,0xd7dccd13b14239dc3fc20419acd76700003fe95bd33dead7c0df7bac49269d85,55101543262,True,0.029335,1099018313950079,USDC,,0x384c670c1be94ff8cd66450437b763421ecfadea,,
