币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
AAVE,96.359,10.3,B,1713937935984,2024-04-24 13:52:15.984,0.0,Open Long,0.0,0x152ac999ba0bd84b149004089be14f01ff00d245c653c334f54acca8b8a3f943,19967839191,True,0.347374,1063219918713501,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
SEI,0.63817,1510.0,A,1713938868226,2024-04-24 14:07:48.226,0.0,Open Short,0.0,0x0d38b6d8aa7004dc238404089beb6a0126003594735e892869f46478c8eca274,19969701231,True,0.337272,704976384756111,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
FET,2.4749,211.0,A,1713940209533,2024-04-24 14:30:09.533,0.0,Open Short,0.0,0xb3ad9fff307082e81daa04089bf9c302019400ebee0358d8bc368b4f4c886db1,19972209930,True,0.182771,447220686846984,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
BTC,66593.0,0.00738,B,1713940225889,2024-04-24 14:30:25.889,0.0,Open Long,0.0,0xde8cedbceec7650a148904089bf9f00136002e4205a4a77ac83908f2f9bcd9ed,19972246058,True,0.172009,827719652088460,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
SOL,157.77,3.42,A,1713940614065,2024-04-24 14:36:54.065,0.0,Open Short,0.0,0xc7ec9c3756fa3f0b126004089bfe1901ad005e1e2db8d34a8340d2dc71901839,19972937456,True,0.188849,211626030608937,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
ETH,3254.1,0.1543,B,1713940633773,2024-04-24 14:37:13.773,0.0,Open Long,0.0,0x422a6b5235660b0639c804089bfe53020185006591bec539f1f61c97bde03ea7,19972966929,True,0.175737,1061651796073878,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
WIF,3.3404,177.0,B,1713941097360,2024-04-24 14:44:57.360,0.0,Open Long,0.0,0xbae47a720274d0be6e1704089c0366014b00d2083bfe21acb8ef85bb89b48b40,19973767355,True,0.206937,525045009173391,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
WIF,3.4158,177.0,A,1713944154840,2024-04-24 15:35:54.840,177.0,Close Long,13.3458,0x81f173079f16c4e957bd04089c2405020196002644ffcbece3897d94889c952e,19979197657,True,0.211608,12976561049855,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
FET,2.5264,211.0,B,1713944159057,2024-04-24 15:35:59.057,-211.0,Close Short,-10.8665,0x56b964d9651f5b4d78b904089c240f013d007e8a5154d8ceb9747e50e88e1c34,19979202602,True,0.186574,59242023900507,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
BTC,66750.0,0.00738,A,1713944304160,2024-04-24 15:38:24.160,0.00738,Close Long,1.15866,0xf493ef1e02642ec6755004089c25a0011b004dee6e84e6a4c4d12d6a5b1a2a62,19979449607,True,0.172415,876722527185782,USDC,,0x3a50ff4634d93aed1becb7cca591ceb962e7a841,,
