币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
LINK,16.35961275,400.0,A,1717788603954,2024-06-08 03:30:03.954,0.0,Open Short,0.0,0x0d83eda7433c90aefc38040aeb716e01c700d17469f9e480d8e07359178b315d,25296236847,True,2.290345,568038713657635,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
SOL,162.550773,100.0,B,1717788640013,2024-06-08 03:30:40.013,0.0,Open Long,0.0,0xe4f42e70de3cf3e72f8a040aeb738e015b00933fd8b87d2f86c4e7ae9b05d8ab,25296366815,True,5.689275,137292104186113,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
RNDR,9.47386976,750.0,B,1717788791052,2024-06-08 03:33:11.052,0.0,Open Long,0.0,0x1980a0dff2c26a31bb1f040aeb7c7b017400b00b60c02ead1484a55476ed11f9,25296751541,True,2.486889,347284659837594,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
ORDI,59.829,125.0,A,1717788822820,2024-06-08 03:33:42.820,0.0,Open Short,0.0,0x263cb37a01a888843384040aeb7e5e013700825e89d96c7ba6c3bedcca909d54,25296828471,True,2.617518,700494117260133,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
ETH,3696.3878175,4.0,B,1717788852758,2024-06-08 03:34:12.758,0.0,Open Long,0.0,0xe72bc40b821c832ff5bd040aeb802501500052f4051daf14b04d6354ec88e01e,25296893745,True,5.174942,496872736944805,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
BTC,69372.8262,0.3,B,1717788880809,2024-06-08 03:34:40.809,0.0,Open Long,0.0,0x2379d8092ccd40e2bcb2040aeb81cc014600845f1f6e6d50a48bfc61ccca0d45,25296945561,True,7.284146,161515707373306,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
W,0.67389875,15000.0,A,1717788949694,2024-06-08 03:35:49.694,0.0,Open Short,0.0,0xcffb131abb4cfe049dc8040aeb85df013b00b7a70b195e2418726f435dc33643,25297096562,True,3.537966,797573391350469,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
kPEPE,0.01286405,796471.0,A,1717789004755,2024-06-08 03:36:44.755,0.0,Open Short,0.0,0x973b5a81f426e1c08e8e040aeb8923012a006b45fda38ddd61f8c27e4fd7b1c8,25297208693,True,3.586042,667531093041824,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
ETH,3698.35810116,2.0602,B,1717789023560,2024-06-08 03:37:03.560,4.0,Open Long,0.0,0x581ee91dda9990f30226040aeb8a4001a7006e49af9eb8442a127fbd522be355,25297256862,True,2.666773,1049028774970890,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
BTC,69364.0,0.05048,B,1717789032584,2024-06-08 03:37:12.584,0.3,Open Long,0.0,0xb3706815b547be60d579040aeb8acb014c005598823d228836dd12b7f146ffd7,25297284111,True,1.225523,19713251951427,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
RNDR,9.50625333,367.5,A,1717789105567,2024-06-08 03:38:25.567,750.0,Close Long,11.90455,0xb8bf662f7a901193be72040aeb8f160139004d1be7d9703b6d38470501af154e,25297445350,True,1.22274,1056630608162179,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
RNDR,9.518,382.5,A,1717789117914,2024-06-08 03:38:37.914,382.5,Close Long,16.88355,0x080cf3ad4f64e43cc623040aeb8fd2016400a9ae7391b7ed62a1aa3e7a0728bc,25297470247,True,1.274222,37941788061993,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
W,0.67932203,1473.9,A,1717789206581,2024-06-08 03:40:06.581,-15000.0,Open Short,0.0,0x7771f8dd7a624390e13a040aeb950a01030012f12a9e46a02b5ea391fc82d7bd,25297664638,True,0.350437,1109778607966175,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
ETH,3702.2,0.1303,B,1717789218488,2024-06-08 03:40:18.488,6.0602,Open Long,0.0,0xe0264866cf2da54e61c5040aeb95c1012900147a70fa50c7897ccf1f5fc0202d,25297690530,True,0.168838,172929383478420,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
SOL,162.66,40.92,B,1717793019355,2024-06-08 04:43:39.355,100.0,Open Long,0.0,0x173c09dd63dbdf3d1dba040aec768a011c000fcdef8705fe000709d22aca8973,25304949241,True,2.329616,751592694959083,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
LINK,16.32929222,83.5,A,1717793039071,2024-06-08 04:43:59.071,-400.0,Open Short,0.0,0x0853567cd9594a83726d040aec77b3012d00d4374b01504ecdfa2c243767ba8a,25304975313,True,0.477223,201480303564022,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
UNI,9.7836,237.0,A,1717795593363,2024-06-08 05:26:33.363,0.0,Open Short,0.0,0x1b1c1d338b7280ce792a040aed0e9d018b00a8fc7c13766ebbbb396a47c51708,25308550479,True,0.811549,314147924599638,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
UNI,9.8136,4.3,A,1717796496985,2024-06-08 05:41:36.985,-237.0,Open Short,0.0,0x52ed9745f99c76ccf4f8040aed43ed010900fde45f8baf20e69373622b65f10f,25309421537,True,0.014769,204372044499363,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
UNI,9.814,7.5,A,1717796502066,2024-06-08 05:41:42.066,-241.3,Open Short,0.0,0x6ce56a9f7b4d885666c0040aed44370117005de43abafcae1398f019904a678d,25309424682,True,0.025761,740726795844337,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
UNI,9.8094,17.4,A,1717796510692,2024-06-08 05:41:50.692,-248.8,Open Short,0.0,0x692e6dd456d3210e4486040aed44bc012100a8faf4a1209994a3567ce199c6a6,25309429403,True,0.059739,1120709122372979,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
ORDI,59.1269216,125.0,B,1717813359762,2024-06-08 10:22:39.762,-125.0,Close Short,87.7598,0x5e41b087f2268ddf8ebc040af12798018700a767d13338f51096a6d5d1365fac,25326452370,True,2.586802,439061720980162,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
SOL,162.73,140.92,A,1717813441101,2024-06-08 10:24:01.101,140.92,Close Long,20.799792,0x64e38f469be305bc20f6040af12c670149002f5f3ed0c8a9cd01b8638105942a,25326546636,True,8.026169,404638252282079,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
W,0.71300298,5068.5,A,1717813459849,2024-06-08 10:24:19.849,-16473.9,Open Short,0.0,0x7d195f747fe20dce4ade040af12d8501160056598f72b31801a76c74a4e1a7c9,25326571539,True,1.264848,513027881651358,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
W,0.71401,383.7,A,1717813479303,2024-06-08 10:24:39.303,-21542.4,Open Short,0.0,0xb4674f40f52f01ffcfe0040af12ea5011200bf6f52965c7e47d68e33471cfb10,25326585283,True,0.095887,785302392674723,USDC,,0x3cb0a9e9ad29165576286bf2c9aa816830a5f735,,
