币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,1856.9,2.8292,B,1741661420989,2025-03-11 10:50:20.989,0.0,Open Long,0.0,0xecea233444ff95b33b04041f5098900202ae006e1bd3d62e7558537ad747f9f5,78926598767,True,1.838739,905984273061061,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
ETH,1864.5,2.8292,A,1741661591390,2025-03-11 10:53:11.390,2.8292,Close Long,21.50192,0x76754e4d66f6b792cd92041f50a15001fe00dcfeeb94cc564b1a253697299a90,78927344023,True,1.846265,221056387565028,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
ETH,1866.5905189797,2.8267,B,1741662658561,2025-03-11 11:10:58.561,0.0,Open Long,0.0,0x34437370e4387490b222041f50d5e10202170032bc08acaf36e59fa73f930268,78931260562,True,1.846701,266181699855067,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
ETH,1878.5752962819,2.8267,A,1741662744573,2025-03-11 11:12:24.573,2.8267,Close Long,33.878837,0xe09b1f36fa80bddf5587041f50d9fa02017a000cd36f866ba5f011ba7d6ab9ad,78931260564,True,1.858558,1011258695732075,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,81819.796691277,0.07314,B,1741929245750,2025-03-14 13:14:05.750,0.0,Open Long,0.0,0x539fb91eae9b37fdc965041f844c2f020228001c16eb7a872a0a764fcdcf9d63,79752731291,True,2.094504,433044785304449,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,81967.0,0.07314,A,1741930070877,2025-03-14 13:27:50.877,0.07314,Close Long,10.773522,0x2981f5d2ce3626cacaab041f84738602011100bcd4b14f5b8b4527bae19b7d3d,79754165747,True,2.098272,977062056661765,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,85372.0,0.05302,A,1742416889109,2025-03-20 04:41:29.109,0.0,Open Short,0.0,0x3e031554efc62bb5b0ff041fe11f22014c0030a943784172f582329a678f71c3,80822362622,True,1.584248,869624929421308,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,86111.0,0.05302,B,1742424110081,2025-03-20 06:41:50.081,-0.05302,Close Short,-39.18178,0x5cfeb9761dbc28baab42041fe27f3501a3001e30cc76e85f958def0c35edfd63,80822362623,True,1.597961,247803603538523,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
HYPE,10.43,201.43,B,1743963653243,2025-04-07 02:20:53.243,0.0,Open Long,0.0,0xc32f4cbaaa3c5ea83ea804210809a302048900cea839dede6115ea2a76588825,84299306333,True,0.73532,1061354313361145,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
HYPE,9.586807139,201.43,A,1744008098271,2025-04-07 14:41:38.271,201.43,Close Long,-169.844338,0x8e59532fa6b6721ea32304211088fa0107009b6ae846c7c4506e5ca2f2dcd813,84299306334,True,0.675873,819820226615799,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,92921.0,0.05584,A,1745362986290,2025-04-23 07:03:06.290,0.0,Open Short,0.0,0x34f8054adbb1c915496f04220f4eaa0201de000540dad363a8ca38db7745aed1,88129483973,True,1.816046,504805835911526,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
BTC,97600.0,0.05584,B,1746196609690,2025-05-02 22:36:49.690,-0.05584,Close Short,-261.27536,0x5ccacb88f4ec67ad07700422ac63460204bf001a736062dfa50cee9e0997a337,88129483974,True,1.907494,669095083155601,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
DOOD,0.008067721,98497.0,A,1746855631668,2025-05-10 13:40:31.668,0.0,Open Short,0.0,0x5c5bfbe6fb5e74b76e2d042329793c02012700eeaca5ca172653ee22a4cc7e4b,92228673664,True,0.357589,718793389070899,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
DOOD,0.007409,98497.0,B,1746892239296,2025-05-10 23:50:39.296,-98497.0,Close Short,64.811026,0x2971a47ed296dc4cca7e04233092aa0202590097f86d8b61f0631e0737bfb9f7,92368435705,True,0.328393,922873535235293,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
HYPE,25.519627299,65.79,A,1746913877173,2025-05-11 05:51:17.173,0.0,Open Short,0.0,0x476aa3021d442ee95a64042334c0d501ca00b5ad3f09137ac34d57578f369839,92442419120,True,0.75552,793787915611474,USDC,,0x40649fbb9d54eba0b401145446b76cc4d42d147e,,
