币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
OM,0.60427,6742.1,B,1744687048912,2025-04-15 11:17:28.912,0.0,Open Long,0.0,0xcd27b85bc52abe404198042191603301cd0072780650438057fbf46d1752aee8,86639650080,True,1.425917,357808973638179,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
SUI,2.1835832,100.0,A,1744687309362,2025-04-15 11:21:49.362,0.0,Open Short,0.0,0x8eaf52f1f888caaa11b90421916c7501bb006a7d00c8310de26d6c80cba22ca4,86640315448,True,0.076425,1012443877144777,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
OM,0.60954,384.0,B,1744687566834,2025-04-15 11:26:06.834,6742.1,Open Long,0.0,0x2405732dabe217e901a704219178c60201e80067834f621f78a8c80f1c7e991b,86640857871,False,0.023406,684001955365945,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
OM,0.60954,616.0,B,1744687568725,2025-04-15 11:26:08.725,7126.1,Open Long,0.0,0x2459d38af1c19fed72c404219178e20203b500cf05c20f22a598f3fec6a33330,86640857871,False,0.037547,641400274353722,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
BNB,578.41,0.1,A,1744763332071,2025-04-16 08:28:52.071,0.0,Open Short,0.0,0xd2d2322255d11e790cfd04219fb42901e10035a9bedd144d6e9d2a37f53bd7ce,86830839117,False,0.005784,487250471698239,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
BNB,579.39,0.1,B,1744763540381,2025-04-16 08:32:20.381,-0.1,Close Short,-0.098,0x28913c953819b592753e04219fbe9c0203b600de9bf28235428b4bfb65170294,86831511817,True,0.020278,791249591017663,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
AVAX,18.909,5.24,A,1744768823922,2025-04-16 10:00:23.922,0.0,Open Short,0.0,0xf6e4e13219db1ae33ca90421a0bec70201dd00a03ee059622c13b4a73735cc0a,86845310899,False,0.009908,425099826152914,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
AVAX,18.909,38.77,A,1744768830412,2025-04-16 10:00:30.412,-5.24,Open Short,0.0,0xfebdf3eaca7b785576460421a0bf1802015900a2c6486a1739b49319a7d58d19,86845310899,False,0.07331,882800355236362,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
AVAX,18.909,5.99,A,1744768830474,2025-04-16 10:00:30.474,-44.01,Open Short,0.0,0x7c1b432f9a4d44485a720421a0bf1902029900e742f2d6c3504402747d465e96,86845310899,False,0.011326,1083978659397716,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
TRX,0.25222,698.0,A,1744768942003,2025-04-16 10:02:22.003,0.0,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,86845772288,False,0.017604,471781143419932,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
TRX,0.25222,1088.0,A,1744768972023,2025-04-16 10:02:52.023,-698.0,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,86845772288,False,0.027441,631958747069495,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
TRX,0.25222,214.0,A,1744769002053,2025-04-16 10:03:22.053,-1786.0,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,86845772288,False,0.005397,1042733542902990,USDC,,0x43f5c9785dd5e7d4856aa40d07521ea71774752c,,
