币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
POPCAT,0.27888,25000.0,B,1751918688236,2025-07-08 04:04:48.236,0.0,Open Long,0.0,0xe4d754336501e9aa53240427084da701010052eaed28f34f176e0a573ca0a048,110162071931,False,1.045799,235647776773440,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,"{'liquidatedUser': '0x9af0c21b8cecf84dad025b2fb47f54446df5d5f6', 'markPx': '0.27898', 'method': 'market'}",
POPCAT,0.2818236592,25000.0,A,1751951058306,2025-07-08 13:04:18.306,25000.0,Close Long,73.59148,0x460e3d9693fff76cb27b04270ebe3c02018b00c2475cc55db607159478c09e8b,110542103482,True,3.170513,335199399046631,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.491635504,5000.0,B,1752481789538,2025-07-14 16:29:49.538,0.0,Open Long,0.0,0x911029d43a588697231e0427781c0202017a0022cca73ffb9722690ef927f9c7,113674547535,True,1.106177,216613777690269,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.46,5000.0,B,1752508352603,2025-07-14 23:52:32.603,5000.0,Open Long,0.0,0x9b42c7fbba9aa2f25a8504277d559401050091a280b41a39eb1838dc22b9defa,113674664232,False,0.344998,545354749878457,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.485163925,10000.0,A,1752652276970,2025-07-16 15:51:16.970,10000.0,Close Long,93.46925,0x605c69628083857bc431042799dfea020343004d2b5c3ffc6e909503df06be93,114869536215,True,2.183235,634118262566801,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.43225,4055.0,B,1752783647764,2025-07-18 04:20:47.764,0.0,Open Long,0.0,0xf9db26640bed34eb74a50427b376170207ee000cd6a48707ca63511004e1b246,115500673171,False,0.262914,326107742902750,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.43225,945.0,B,1752783648183,2025-07-18 04:20:48.183,4055.0,Open Long,0.0,0xaf4eda00233030386c230427b3761c0205be00da70a654fe19e4cc4d4cc40d03,115500673171,False,0.061271,986641062545787,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.440355426,5000.0,A,1752835776651,2025-07-18 18:49:36.651,5000.0,Close Long,40.52713,0xfa765d8c8c158d20697b0427bd78b402060e001462641ae94e3668c1060a33e9,116353948981,True,0.990798,191092119306805,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.41888,5000.0,B,1752849665163,2025-07-18 22:41:05.163,0.0,Open Long,0.0,0x373c2763af1d010c20a20427c0273602031000c790c8af806ec404ca6bfeafe8,116354091943,False,0.31416,82942770706104,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
SYRUP,0.45912,5000.0,A,1753190404904,2025-07-22 21:20:04.904,5000.0,Close Long,201.200536,0x6bce8faa00e66e2b2278042802cd2000009eccc6c5a8f26555ba1525957b81e2,116983745894,True,1.033019,241999650975620,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.382432635,10000.0,B,1753333453649,2025-07-24 13:04:13.649,0.0,Open Long,0.0,0xf714a4a160751a34d8f804281ec6d301ea00e53c20e85246fb3948ed5769679d,119823502950,True,1.720941,260258388227527,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.3821313087,15000.0,B,1753333466547,2025-07-24 13:04:26.547,10000.0,Open Long,0.0,0x2e25ba53d18e33e1161704281ec777020f4e002a95c73e3fc1ee306ffcfdf461,119823625058,True,2.579383,1113950881033259,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.36943,25000.0,B,1753337071589,2025-07-24 14:04:31.589,25000.0,Open Long,0.0,0xc086fdcbc852cdf693fa04281f76cd0201db000e1c5be8f7b5f87e9de0e376eb,119857419506,True,4.156087,318979899646306,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.3825255328,25000.0,A,1753351468403,2025-07-24 18:04:28.403,50000.0,Close Long,167.13832,0xc423d2a926fd4aa6c7690428223a560201830025445f0b46b8980196e01984d9,119979978631,True,4.303412,99987106773487,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.3864392928,25000.0,A,1753687322057,2025-07-28 15:22:02.057,25000.0,Close Long,264.98232,0x9aa6f9a222498f763bc2042863915b02025e0012aabedb994a868828ded5ce75,122150243586,True,4.34744,867792164441133,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.35888,5661.0,B,1753725829068,2025-07-29 02:03:49.068,0.0,Open Long,0.0,0xe880d89f1a338d141aef04286b0e11020c1400123d4d8952db17db0b87eaaf42,122179669703,False,0.304742,329378413431786,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.35888,19339.0,B,1753725829177,2025-07-29 02:03:49.177,5661.0,Open Long,0.0,0x75fa643f8b4c21f2083f04286b0e1302046f00a4b61eda9f9d65838210449807,122179669703,False,1.041056,1105298118080886,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.33344,978.0,B,1753852516371,2025-07-30 13:15:16.371,25000.0,Open Long,0.0,0x7519d895197cab4e29cf042883849302015c00748cb97e38d759b5fec994acae,123383716846,False,0.048915,713851120089009,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.33344,22866.0,B,1753852547554,2025-07-30 13:15:47.554,25978.0,Open Long,0.0,0x916cf8b29b7ce6a5aebc04288386210202c600327911faf18650c182b2f9593c,123383716846,False,1.143664,917230159172545,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.33344,1156.0,B,1753852547636,2025-07-30 13:15:47.636,48844.0,Open Long,0.0,0xa85fd79903ed100f9652042883862202028000e36a50e7f8a555833195cf4e29,123383716846,False,0.057818,567562351040814,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
POPCAT,0.33341,3272.0,B,1753852617514,2025-07-30 13:16:57.514,50000.0,Open Long,0.0,0x9722b48451b67711d8a5042883896a0202ee0005e0b75d40fa58e26b9a82f0f8,123384725264,True,0.490912,263183508883086,USDC,,0x45f9a4a1008146352d71f29ffe9415b8739d2ad0,,
