币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,3300.7,0.0445,B,1710852975644,2024-03-19 20:56:15.644,0.0,Open Long,0.0,0x2a5a8c111e4a95571ea104081a6d52013c00a33d6cb5cd01ddc10cae8540c9b4,14487057831,True,0.051408,529749178459746,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,
ETH,3310.47123596,0.0445,A,1710863747818,2024-03-19 23:55:47.818,0.0445,Close Long,0.434961,0x7eb2910df37d248d487504081adbdc02031d009ead2446960b68f91125b3f710,14517447815,True,0.051559,448671506055194,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,
SOL,181.37,0.1,B,1710875706109,2024-03-20 03:15:06.109,0.0,Open Long,0.0,0x6e9dd276d54311b9972704081b59640106010168595054eeaa214237bcc4361c,14545234926,False,0.001813,201180836724062,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x02818b1b69ebc6b0c65961802661cbf7
SOL,182.82,0.1,A,1710875953502,2024-03-20 03:19:13.502,0.1,Close Long,0.145,0x20c7d85a773b0df963cc04081b5c09010d00a55cd82d6bbe1be5feb1c48394fb,14545794699,False,0.001828,1118189452696678,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xe45b33a73cf6b4a67ab96d423b42fb43
SOL,182.98,0.1,A,1710877702488,2024-03-20 03:48:22.488,0.0,Open Short,0.0,0x79aa3964c515d350440204081b6eee02016b0068407b72ddd34a85aa2bc872cf,14549184746,False,0.001829,788579252928943,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xf6f3ae24b9f1502cad6b11087f3a20c4
SOL,181.52,0.05,B,1710877848262,2024-03-20 03:50:48.262,-0.1,Close Short,0.073,0xab30c75f10d458adefd804081b70840204cb00aa23b70d07237f077ac4238b42,14549544873,False,0.000907,591956242213247,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x527c92ea1672bda1bf574c81fca59d58
SOL,181.52,0.05,B,1710877850557,2024-03-20 03:50:50.557,-0.05,Close Short,0.073,0x1c382c9f99e213a8b91104081b708b0203240010aa0fe65d37173aeda63ba523,14549544873,False,0.000907,81172969468894,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x527c92ea1672bda1bf574c81fca59d58
SOL,179.46,0.1,B,1710878727446,2024-03-20 04:05:27.446,0.0,Open Long,0.0,0x53362b971d1c0fd0dccd04081b79c602019c00efa26c51ec21c2e0777d602695,14551401324,False,0.001794,145402920452124,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x699d6d37e9dd0671c62a0437e975698b
SOL,175.81,0.1,A,1710881138645,2024-03-20 04:45:38.645,0.1,Close Long,-0.365,0x64e118cda38e02ef4bd004081b92f7020193008ec4661ee2528c385ffc6f8911,14557826336,True,0.006153,407956434868149,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xe5a715503f691424d0f838098791100f
SOL,175.86,0.1,B,1710881584629,2024-03-20 04:53:04.629,0.0,Open Long,0.0,0x5de6850b526b73860b3304081b97bd0202e80064f3f9f45b30c9b6b50da28d9f,14558815668,False,0.001758,631370954092121,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xcb5f0ec1a8623012ebe66e68649f02b3
SOL,172.18,0.1,A,1710883343439,2024-03-20 05:22:23.439,0.1,Close Long,-0.368,0x3a02de0333b73a2aca6504081baa350203c7000cbd210bc976686cf37b9d05e8,14563426464,True,0.006026,98017316668840,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x17f6e41a045fca84f70ba8de78a8ae62
SOL,173.04,0.1,A,1710883580848,2024-03-20 05:26:20.848,0.0,Open Short,0.0,0x3f7f318a14d9068eee5b04081bacaa020106000e1bac8b89b6492f25e87dd067,14563895622,False,0.00173,241619457860711,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x995ef9a4ce125d29e5bb99da3e2997e9
SOL,171.66,0.1,B,1710886119121,2024-03-20 06:08:39.121,-0.1,Close Short,0.138,0x39dccc536414910e05d104081bc8830201b4008b13e254075b58b8ea8d354f5f,14567699932,False,0.001716,472187930652855,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x26e208ffefa6aa6b0533dc0f000f2f66
SOL,171.65,0.1,B,1710886127725,2024-03-20 06:08:47.725,0.0,Open Long,0.0,0x1bc28e1b28bf742c5e4604081bc8a0011400e145f9ace2040c68c42837f46c75,14567838705,True,0.006007,226947559156119,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x598ca0d3bec95327ab86af6e922f3805
SOL,168.25,0.1,A,1710886844593,2024-03-20 06:20:44.593,0.1,Close Long,-0.34,0x2b08535195d6e85c161904081bd00d0203350091821021a4244646d6a4b3271f,14569775768,True,0.005888,917090935114609,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x8a55ceea64115b09080ee528865efa44
SOL,167.77,0.1,B,1710887188754,2024-03-20 06:26:28.754,0.0,Open Long,0.0,0x7486b219026d623c504804081bd3a302017d00ba6108e87ab2af293c8c4a02b3,14570603248,False,0.001677,826197126280262,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x1e31728df846ce24ef07cb43824a7745
SOL,169.11,0.1,A,1710887617648,2024-03-20 06:33:37.648,0.1,Close Long,0.134,0x8d5b14a4e50032f3b49604081bd81a012b00a0dee4f9737b12b6c607fed1221e,14571697106,False,0.001691,648636654612197,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x072604802b9e334ead6982cbe640a0db
SOL,167.83,0.1,B,1710887722126,2024-03-20 06:35:22.126,0.0,Open Long,0.0,0x19177596156b1496e6d304081bd92a020140008b41e1508eb06f8a4fc7ae41b4,14572047685,False,0.001678,847875919867253,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x3b4a63ac17355b48fef316db94381e5c
SOL,169.17,0.1,A,1710889115242,2024-03-20 06:58:35.242,0.1,Close Long,0.134,0xc6692c3d1532b31e1aa404081be7d30202b900d6e53eedfe817677d65c18b65e,14576225002,False,0.001691,695314015756334,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x041d73154bfa184330c5675ae66d5c8a
SOL,168.47,0.1,B,1710889298214,2024-03-20 07:01:38.214,0.0,Open Long,0.0,0x9f319606109f9b17d48004081be9bb02014900ef35ee62bfad5c56ac9e5f4eed,14576564451,False,0.001684,103920957707761,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x78f92ba3b91f85c50791e1a4110113ae
SOL,168.0,0.1,A,1710890961996,2024-03-20 07:29:21.996,0.1,Close Long,-0.047,0x3f35a8fc6228db11019004081bfafd012600a3dce5e65b7788735749ad8b6861,14581752629,True,0.00588,216007123355934,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,
SOL,170.58,0.1,A,1710891444467,2024-03-20 07:37:24.467,0.0,Open Short,0.0,0x4b84460f7ad2e68e3a7104081bfff702023000b4363fb1cf49c5989216c5cde5,14583040576,False,0.001705,908494344909942,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x5dba279b2dc60b89f3f42f77f3a9fc63
SOL,171.12,0.1,B,1710891639831,2024-03-20 07:40:39.831,-0.1,Close Short,-0.054,0xed735487a089312845a004081c01f6020111003fe0dbf8c64c8b88a09f0f2e58,14583735562,True,0.005989,555585677118998,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xfe01d5630180d1fef46723ef590af5d4
SOL,170.02,0.1,B,1710891876958,2024-03-20 07:44:36.958,0.0,Open Long,0.0,0xe58e62ca22fadf23680404081c047c0203ea00449bd7ddcedad5f2dd7860359f,14584231098,False,0.0017,284646836700960,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x67ca91937b97adf99876d551ea08fd49
SOL,169.65,0.1,A,1710891921587,2024-03-20 07:45:21.587,0.1,Close Long,-0.037,0xf852bc9215442e96439c04081c04f802020700c88f0c18fa20456bb190f40772,14584456996,True,0.005937,97528126945387,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xf7fdf04bfefe0a5371d76318047963b0
SOL,165.89,0.1,A,1710912890863,2024-03-20 13:34:50.863,0.0,Open Short,0.0,0xb5f81e08c24a383fa73b04081cdda002035c00e1c1dbd22ffe417abd405cea6c,14643194382,False,0.001658,280113743531723,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xf3a1ecbaca497281f942606094ca446d
SOL,166.39,0.1,B,1710913105802,2024-03-20 13:38:25.802,-0.1,Close Short,-0.05,0x0691b716a6e72b9bbdf404081cdfc60173003a7f56f67a43132ac1b803e2c593,14643984172,True,0.005823,272028268054244,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x14b787f0ab8ed4a1ed8104248c5779d7
SOL,173.3,0.1,A,1710921071340,2024-03-20 15:51:11.340,0.0,Open Short,0.0,0x3b11743f63e05d4e646604081d33310202d400814084e3c963f3b8d2ebafb5cc,14663337943,False,0.001733,43003467663801,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x67dd8bc3264a0c20e173b1642795294e
SOL,173.51,0.1,B,1710921153737,2024-03-20 15:52:33.737,-0.1,Close Short,-0.021,0x0d75add4e45a7ab83c6e04081d33fc019a00359c7f4501890c9d7542b9ec6ba8,14663653146,True,0.006072,859300313278155,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x55fedf2c66cb9398f1708581685833e1
SOL,171.17,0.1,A,1710933107565,2024-03-20 19:11:47.565,0.0,Open Short,0.0,0x6f79c581df610f4fa82b04081db38f02033f006c9be68cdd3bc0da159e1e0ac8,14688899639,False,0.001711,766628906351696,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xae42b45bd5f61cbea0b0dca976f4610b
SOL,171.46,0.1,B,1710933173518,2024-03-20 19:12:53.518,-0.1,Close Short,-0.029,0xc9aeffb17498f85140c904081db458020254009fadd96cb5dde1d6a8682c080c,14689137509,True,0.006001,535361988380067,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x08f2e31b5367702875d388e9958906b6
SOL,173.79,0.1,A,1710933960882,2024-03-20 19:26:00.882,0.0,Open Short,0.0,0xd8f9af651163866cc3ed04081dbcd6017800ff323705028acb059d4f7463e5ef,14690523995,False,0.001737,410225536636284,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xbaf9239e978223afe95f675e1ceac3db
SOL,174.69,0.1,B,1710934181790,2024-03-20 19:29:41.790,-0.1,Close Short,-0.09,0x5b4da2d0f79bf62cf3a804081dbf28012b00f3da8c3a2c5fdaa7621d38d4c366,14691176657,True,0.006114,571598258749288,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xee78a28e81432130b95d814c3dd2d459
SOL,174.53,0.1,B,1710934287617,2024-03-20 19:31:27.617,0.0,Open Long,0.0,0xd44bd389de79868d9fe204081dc05402025900c45e45be0469ce886402e75d56,14691356659,False,0.001745,930073224386758,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x9c918d76cb9cc781c6759b7717e9b713
SOL,174.17,0.1,A,1710934392055,2024-03-20 19:33:12.055,0.1,Close Long,-0.036,0xc6070ad35fd25ba9761904081dc17102049200a3ae5eeb6b5cff998e92c6d4ab,14691646938,False,0.001741,798041036822451,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xa829e126a765018111c3a9ca987c1f01
SOL,173.52,0.1,B,1710934908893,2024-03-20 19:41:48.893,0.0,Open Long,0.0,0x248737e1dc5ca8af8c2604081dc700016500985dbaaa0cfb08ba59336dbf0b0f,14692801181,False,0.001735,1088056494720180,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xdd824eadaefb623ed8edbfa8f41c624b
SOL,171.92,0.1,A,1710935293812,2024-03-20 19:48:13.812,0.1,Close Long,-0.16,0x372ab67f2a699cdf10aa04081dcb0702024900dc82685d72231d78535b6f6800,14693811711,True,0.006017,1105617107399899,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x1d4f2f14a36aeaeddf9fc5215138dc7c
SOL,172.09,0.1,A,1710936324580,2024-03-20 20:05:24.580,0.0,Open Short,0.0,0x63ece731292f2e06f93004081dd5f6014a00f77fa18f8c2d7b9cff0881107c86,14695931649,False,0.00172,735494031569594,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xa6a8ad342a19f0b537696545745d5971
SOL,173.04,0.1,B,1710936401112,2024-03-20 20:06:41.112,-0.1,Close Short,-0.095,0x9ded7a380e79c4a14b1d04081dd6c1014c00e437efc0a3b438ce61a374af57ca,14696271648,True,0.006056,991148484214135,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xb5e91761acbe201bff555cc9628d4979
SOL,174.29,0.1,A,1710936487840,2024-03-20 20:08:07.840,0.0,Open Short,0.0,0x32b4c559a9fd3e607af504081dd7a201b50014aba3590954336d22b99687cde5,14696435055,False,0.001742,174571045946607,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x69c90d0f5f1fd6ab309fe176fd9d7f2b
SOL,173.77,0.1,B,1710936544767,2024-03-20 20:09:04.767,-0.1,Close Short,0.052,0xb4c6b2022fff5245608504081dd834014f00a854b35f1fbd6b2821aad4cc18d1,14696528610,False,0.001737,313457249982197,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xf9794e526a7214f7b577ad7049329812
SOL,174.39,0.1,A,1710936663037,2024-03-20 20:11:03.037,0.0,Open Short,0.0,0x5a561ecb1fd51babd01e04081dd96b020451009111065b66bf5b5f799d20980b,14696820265,False,0.001743,998553539558248,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0xc0f013dba473907561c6e2023fbd84b1
SOL,173.87,0.1,B,1710936726765,2024-03-20 20:12:06.765,-0.1,Close Short,0.052,0x4fda2694cc55ea8dfad104081dda13013600140c440376539f137f93f84a21a2,14696998069,False,0.001738,640146240884435,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x96d8e12d1f0ddef4bc09358924290533
SOL,175.4,0.1,A,1710937370087,2024-03-20 20:22:50.087,0.0,Open Short,0.0,0x0c04768d5bd8f39065df04081de0d902018900655af117eb731e31485ff8c6cc,14698675729,False,0.001754,863122121677698,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x23971bac0196c0b6040ae1766c964a42
SOL,176.29,0.1,B,1710937444399,2024-03-20 20:24:04.399,-0.1,Close Short,-0.089,0xc93b398250f5febf9aaf04081de19d02064100acce6ae764ef8f1d86391a8acd,14699005032,True,0.00617,26845510578743,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x9e1867fa63cb083652a03e664bf7a3f7
SOL,174.55,0.1,B,1710938269600,2024-03-20 20:37:49.600,0.0,Open Long,0.0,0xcb91284854f63b0353ed04081dea560202c9006b823c664601f4c3b5a5f64d15,14700947379,False,0.001745,339010903448314,USDC,,0x462263007eb68a5b796990db0e867926d3e9511d,,0x4c450ad3d47c815c9b2b8d161e500b31
