币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
LDO,1.00468967,9975.5,B,1726018576269,2024-09-11 09:36:16.269,0.0,Open Long,0.0,0xb7ccd836498d4f821f8f041189b09f02010f0004a866ced9eba56ad4beb0f13a,37541290033,True,3.507796,246812194481291,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
ETH,2349.3,4.2545,A,1726018656821,2024-09-11 09:37:36.821,0.0,Open Short,0.0,0xbbe2d28bb2542f9b2802041189b58f02015800d3fb8e6a125252d948e558105f,37541605174,True,3.498283,206937818413445,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
OP,1.5793,6332.9,A,1726018796265,2024-09-11 09:39:56.265,0.0,Open Short,0.0,0xfa7f2d3b9fd6c7054144041189be2401e300a727da66dce50d7f19eaf12083a7,37541993358,True,3.500542,500104646666120,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
BLUR,0.1777223,56353.0,B,1726018804584,2024-09-11 09:40:04.584,0.0,Open Long,0.0,0xd9db533e273fd0734a91041189bea601fb008483cc3c7eccf7f54abe62c6c176,37542018630,True,3.505313,1016587990075750,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
SAGA,1.44695382,6912.0,B,1726018852213,2024-09-11 09:40:52.213,0.0,Open Long,0.0,0x9f0fd31af2f0e884ac7a041189c1840201e4001305de8b983f39656082206ec6,37542158888,True,3.500469,716692508572464,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
W,0.20386679,49029.2,A,1726018886986,2024-09-11 09:41:26.986,0.0,Open Short,0.0,0xa77b92ff4b7aea87fe48041189c3ae0170002c73acb8c9b7c9835beeceb86b41,37542247252,True,3.498397,203962238208571,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
FTM,0.49388699,20252.0,B,1726018906622,2024-09-11 09:41:46.622,0.0,Open Long,0.0,0xaabe51aca113547f84ca041189c4e00192007688ac9c408235d526c0af6a420a,37542302098,True,3.500768,266848860222647,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
ATOM,4.11188938,1215.3,A,1726018930944,2024-09-11 09:42:10.944,0.0,Open Short,0.0,0x6b345b500e07dc983de6041189c66001aa00a9f803bc9f58b17d3100c54470b9,37542375514,True,1.749009,670869000574082,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
DOT,4.22439927,1183.0,A,1726018943983,2024-09-11 09:42:23.983,0.0,Open Short,0.0,0x165bd108b07a9ab2e6e6041189c72c0201a60065c4e253f190aad7e7d8f1cb60,37542407594,True,1.749112,440142310026732,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
OMNI,7.1761135,697.12,B,1726019054277,2024-09-11 09:44:14.277,0.0,Open Long,0.0,0xe961272b030cf47619de041189cdf0015900299f2bf85e3d10b63820ec2d7df2,37542644896,True,1.750912,4503201401919,USDC,,0x4892cb0f30718e4303d7227775289cd0ac40c654,,
