币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
UNI,6.9118,39.4,B,1747005026265,2025-05-12 07:10:26.265,0.0,Open Long,0.0,0x5d9ebceea6a1861b0c830423464cd80204520048b87858ebd941384394870d24,92782808895,False,0.040848,457647286634969,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
UNI,6.9118,260.6,B,1747005028350,2025-05-12 07:10:28.350,39.4,Open Long,0.0,0xc2cf78ab0bfa50d48fbf0423464cf102029f00ddea00cbcba7ed7a948c42856d,92782808895,False,0.270182,441233660245523,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.4721,3000.0,B,1747042557572,2025-05-12 17:35:57.572,0.0,Open Long,0.0,0xfc1b82e52a1e9a55339b04234d7eb002074f009e66edd01bafa1f7e813984087,92949966676,False,0.212444,853147539209118,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.46468035,1500.0,B,1747048580141,2025-05-12 19:16:20.141,3000.0,Open Long,0.0,0xf465b49f0698968f862604234ea61a020248007aba72eb57a6c5dc88449c91a5,92976247324,True,0.313658,31930848457813,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
AVAX,25.35,45.0,B,1747050022100,2025-05-12 19:40:22.100,0.0,Open Long,0.0,0xb234166c80a58008d7eb04234eee0f02038200e1ba4c62f5029915b618caa9f8,92982318405,False,0.171112,347265699699629,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
AVAX,25.105,30.0,B,1747050724329,2025-05-12 19:52:04.329,45.0,Open Long,0.0,0x2c0d54d5623f737a9d9104234f109702083b00a24a530c0f23866ca84fbf3f31,92982371005,False,0.112971,999851656684890,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.44835,70.9,B,1747060466803,2025-05-12 22:34:26.803,4500.0,Open Long,0.0,0xfc23a92d7bea81756d88042350ea6102036600f5346f8b1592b94b6069437cdd,93041264682,False,0.004768,576662496341985,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.44835,2929.1,B,1747060466865,2025-05-12 22:34:26.865,4570.9,Open Long,0.0,0x90f58191de393e239e39042350ea620201e700172d6cfd0682e4a013f166f499,93041264682,False,0.196989,211327138333040,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.44902,14221.4,A,1747060700660,2025-05-12 22:38:20.660,7500.0,Long > Short,-90.675,0x8f20ddabd8c0dca59b1c042350f56702044400b8d2db569399da60a188d7cca6,93043217643,True,2.873561,314247621424324,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
ARB,0.45418,20773.7,B,1747060854058,2025-05-12 22:40:54.058,-6721.4,Short > Long,-34.682424,0x39cf24f14017d9e0dd83042350fcb60202cd00ab43b26a8b4f36392a143d3b13,93044158677,True,4.245749,759615483362325,USDC,,0x4a5a504365d4096d3c4a2eba7c4268ecb4a5ff2d,,
