币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,174.47,22.92,A,1710945980380,2024-03-20 22:46:20.380,0.0,Open Short,0.0,0x19db1c7c19f983c1074e04081e3c4b014a00aeb2f990e43710930265decfe0ea,14718114854,False,0.399884,383641217272197,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.25,11.68,B,1710948869058,2024-03-20 23:34:29.058,-22.92,Close Short,37.6096,0x4d56be925ae975da711c04081e5a5f020335000e96f0181df4b810e482d196c2,14725585144,False,0.20002,565270764468863,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.25,11.24,B,1710948869680,2024-03-20 23:34:29.680,-11.24,Close Short,36.1928,0xe02c8d57ece02063fa3404081e5a61015700fc34c07a6c38f9ff272552b3bd94,14725585144,False,0.192485,916952218456728,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.37,0.15,B,1710948894087,2024-03-20 23:34:54.087,0.0,Open Long,0.0,0xfcdbca7941c340bc98f904081e5aa202020b004164630ed1d1e8b9cc697154f0,14725675988,False,0.00257,54687033723968,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.37,70.06,B,1710948897046,2024-03-20 23:34:57.046,0.15,Open Long,0.0,0x85ebeafe76f4f267a21e04081e5aa9018700190b5692a97c7a3a7ae8b58728ce,14725675988,False,1.200618,150851930954176,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.37,10.5,B,1710950004757,2024-03-20 23:53:24.757,70.21,Open Long,0.0,0x478f82e245c20c6f6d1604081e666c01320050028d2eaa17b1c416f2dc8e39e8,14728373084,False,0.179938,658458441250166,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,171.37,31.32,B,1710950005517,2024-03-20 23:53:25.517,80.71,Open Long,0.0,0x0ab44607e2622c43ed5404081e666f01340090bbcc2ec6d26800d988cf42b269,14728373084,False,0.53673,1041182376238010,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,165.92926895,112.03,A,1710952340152,2024-03-21 00:32:20.152,112.03,Close Long,-609.5251,0x089cc705fc76457c775504081e7e78020642005ce848a11300afa282a18c86c6,14734884420,True,6.506166,987744311121755,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,"{'liquidatedUser': '0x4bb43293522d7bfec56e0ba9058af449551b021e', 'markPx': '165.94', 'method': 'market'}",
SOL,191.38,8.07,B,1710985677737,2024-03-21 09:47:57.737,0.0,Open Long,0.0,0x91ee813c23afc88c988904081fdd4a0119006dfd70a74d40534f9ea781ce91e6,14811069258,True,0.540552,527363670282559,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,192.69,8.07,A,1710990259487,2024-03-21 11:04:19.487,8.07,Close Long,10.5717,0x6a48eb9f76d53abfa71b0408200e09016400236b7eec2235fdd91a895ba5ca40,14818906675,True,0.544252,641777721765551,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,172.63405174,53.73,B,1711109634690,2024-03-22 20:13:54.690,0.0,Open Long,0.0,0x58128a8b09f47c870f57040825136702016600e1fbc5a9f65f5162d555c46d9f,15047407579,True,3.246468,830158291764056,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,173.73,6.01,B,1711111636325,2024-03-22 20:47:16.325,53.73,Open Long,0.0,0x18fed5c1cbb85b898ebc040825291002025000a9ffe115a0bb75235256792c79,15051374113,False,0.104411,478364282390068,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
SOL,173.68386341,59.74,A,1711112550350,2024-03-22 21:02:30.350,59.74,Close Long,56.129518,0x55fc262276f5187cd81104082532c90201e0002f6d9c3ddbb05d490ad4cd6909,15053449254,True,3.631555,490905583403376,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64322.92784244,0.16755,A,1711112804348,2024-03-22 21:06:44.348,0.0,Open Short,0.0,0x7b71d4b67067e037687704082535a302017000bf133d7b3e164ce1a299f96405,15054138160,True,3.772056,159256355845292,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64151.20895255,0.16755,B,1711113137213,2024-03-22 21:12:17.213,-0.16755,Close Short,28.766835,0xa4aaba5bcb59c671acad040825392d0201a1000935d954a64f121c98d963f697,15054853888,True,3.761987,496048148738940,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64123.0,0.00624,B,1711113299038,2024-03-22 21:14:59.038,0.0,Open Long,0.0,0xdd139df197454d1b7c530408253ae9011100399f6d395e3827a668419f309ec9,15055229799,True,0.140044,821137085504745,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64123.0,0.05,B,1711113302732,2024-03-22 21:15:02.732,0.00624,Open Long,0.0,0x05b3924237eb92d600100408253af402062300d08f60ebde47da1647bcf665ec,15055229799,False,0.320615,22025647385332,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64123.0,0.00019,B,1711113303191,2024-03-22 21:15:03.191,0.05624,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,15055229799,False,0.001218,470497403670487,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
BTC,64123.0,0.16456,B,1711113305006,2024-03-22 21:15:05.006,0.05643,Open Long,0.0,0x03a4e7c96e50a68375a20408253afa0204020027cafbda2fcd48fac77414a44a,15055229799,False,1.055208,601005000079802,USDC,,0x4bb43293522d7bfec56e0ba9058af449551b021e,,
