币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
POPCAT,0.7692,976.0,B,1724459048410,2024-08-24 08:24:08.410,0.0,Open Long,0.0,0xa1dbe52a34d4ceccaaa0041019bbc5013100a7415b8cbe2270efa6b48b049a33,35283598978,True,0.262758,341765759638404,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
MEW,0.005668,66457.0,B,1724459088880,2024-08-24 08:24:48.880,0.0,Open Long,0.0,0x49fd925400b62ff0a892041019be4c0139005832f072e8622e1de90762eddc31,35283646227,False,0.037667,798613865710142,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
MEW,0.005668,10846.0,B,1724459106200,2024-08-24 08:25:06.200,66457.0,Open Long,0.0,0x1f0238e6f4bb970c2de9041019bf5e015c00100120711cb67fc0018f8355a013,35283646227,False,0.006147,1021890123592244,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
TAO,348.13,1.45,B,1724459119792,2024-08-24 08:25:19.792,0.0,Open Long,0.0,0xe536b19c74e3fd23b5c2041019c039010701013342f0b1c8a6f2c103827e1e83,35283708052,False,0.050478,240597929916961,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
POPCAT,0.75359,20.0,B,1724459185023,2024-08-24 08:26:25.023,976.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,35283792360,False,0.001507,514963944646753,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
POPCAT,0.75359,138.0,B,1724459186492,2024-08-24 08:26:26.492,996.0,Open Long,0.0,0xa003f038eab0b938ac8f041019c45e0182010a766ccd61161de431c946afe7ab,35283792360,False,0.010399,762447548635127,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
POPCAT,0.75359,138.0,B,1724459204029,2024-08-24 08:26:44.029,1134.0,Open Long,0.0,0x41f04e6a62b3601eff4b041019c57201b3010a48d312a73781924f2ae72afe04,35283792360,False,0.010399,452855440435797,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
POPCAT,0.75359,253.0,B,1724459205435,2024-08-24 08:26:45.435,1272.0,Open Long,0.0,0x8f7ee7f2136719970f8b041019c5860159006ab6d450e8ea23c1b4fa699a2b39,35283792360,False,0.019065,899246424687304,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
TAO,348.43,0.735,B,1724459241062,2024-08-24 08:27:21.062,1.45,Open Long,0.0,0xd146cd7ea03d34e95699041019c7b5017400ee1a2946febb31872de6ea284819,35283914290,False,0.025609,10629557788797,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
MEW,0.005654,13017.0,B,1724459259083,2024-08-24 08:27:39.083,77303.0,Open Long,0.0,0xfce225d31b89badaa700041019c8d6010e00a68a307c45908ddb4b5f0dda784c,35283939278,False,0.007359,633820035336921,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,,
TAO,332.71,2.185,A,1724755018260,2024-08-27 18:36:58.260,2.185,Close Long,-33.9112,0xe2827cc6351e95395d4c041059bbb50000aefec378a9e022dd9e86e5915c4ad3,35715443541,True,0.254439,964933612830122,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,"{'liquidatedUser': '0x4fe5af26752b0fd82390d294162d0f38f4f9176c', 'markPx': '332.71', 'method': 'market'}",
POPCAT,0.66391384,1525.0,A,1724755018260,2024-08-27 18:36:58.260,1525.0,Close Long,-151.99089,0xe2827cc6351e95395d4c041059bbb50000aefec378a9e022dd9e86e5915c4ad3,35715443542,True,0.354363,147049729022214,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,"{'liquidatedUser': '0x4fe5af26752b0fd82390d294162d0f38f4f9176c', 'markPx': '0.66393', 'method': 'market'}",
MEW,0.004612,90320.0,A,1724755018260,2024-08-27 18:36:58.260,90320.0,Close Long,-95.10696,0xe2827cc6351e95395d4c041059bbb50000aefec378a9e022dd9e86e5915c4ad3,35715443543,True,0.145794,559259158576710,USDC,,0x4fe5af26752b0fd82390d294162d0f38f4f9176c,"{'liquidatedUser': '0x4fe5af26752b0fd82390d294162d0f38f4f9176c', 'markPx': '0.004614', 'method': 'market'}",
