币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRUMP,31.334,6.3,B,1737212420607,2025-01-18 23:00:20.607,0.0,Open Long,0.0,0x7db5f0a16f9daae21021041bc5124301e9009e5d3c4c686f141e01df70360e45,64036292618,True,0.069091,994101868794316,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,30.271,6.5,B,1737212480062,2025-01-18 23:01:20.062,6.3,Open Long,0.0,0xb008722419a0e86629b1041bc515e401c100f9c600c831370ade36b374460b39,64036523022,True,0.068866,269784544338962,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,30.044,6.6,B,1737212486649,2025-01-18 23:01:26.649,12.8,Open Long,0.0,0x0c499dd7872f4d98511d041bc5164e01e100fb923abfa8678243836842c7ebbe,64036484222,False,0.019829,77953887122427,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.747,6.7,B,1737212493706,2025-01-18 23:01:33.706,19.4,Open Long,0.0,0x8c1104eb15030020c283041bc516bf000094fd3ffc1d3cead96304c3be16a1a6,64036425142,False,0.01993,223276595069432,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.453,6.7,B,1737212496674,2025-01-18 23:01:36.674,26.1,Open Long,0.0,0xed6d598b5cfd7e5cca3d041bc516ed0201da00a01f3363649842c64f5da9a080,64036394709,False,0.019733,863982579674985,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.874,6.7,A,1737212524027,2025-01-18 23:02:04.027,32.8,Close Long,-1.885112,0x46490893cd76f2490424041bc518980000beb451695970940a977ec586a8b1f9,64036394710,True,0.070054,656141701543006,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,30.378,6.7,A,1737212536185,2025-01-18 23:02:16.185,26.1,Close Long,1.491688,0x1fab5cd5158ff5df089d041bc5195c01080073ef320dbb107d43c38e57347820,64036425143,True,0.071236,583999496080056,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,30.638,6.6,A,1737212539006,2025-01-18 23:02:19.006,19.4,Close Long,3.185424,0xd231a401a3c5da9f074e041bc51989000007fb92b3c72b05ced2b1288eccc430,64036484223,True,0.070773,665622237857554,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,30.666,6.5,A,1737212542427,2025-01-18 23:02:22.427,12.8,Close Long,3.31916,0x51499b49bbb52c899df8041bc519bd0000a9f261c53200a64408a0a2af772d44,64036523023,True,0.069765,1033297814410175,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.363,6.8,B,1737212740453,2025-01-18 23:05:40.453,6.3,Open Long,0.0,0xdd935971abf5b17d98b0041bc525fd0174004f9c1875b7d2721c4e158549922f,64037735525,False,0.019966,1065830191284915,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.073,6.8,B,1737212745280,2025-01-18 23:05:45.280,13.1,Open Long,0.0,0x451e31e9edf955791088041bc5264b000054912aa91064da83460bb1ed8725b7,64037582438,False,0.019769,904337426244311,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.786,6.9,B,1737212760870,2025-01-18 23:06:00.870,19.9,Open Long,0.0,0x33e3a93587c7e5c72063041bc5273900002b94068d02c6c43f313ab6cdb3b128,64037531839,False,0.019862,25470029515557,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.501,7.0,B,1737212765710,2025-01-18 23:06:05.710,26.8,Open Long,0.0,0x1047ee06dfc0c5e9e3e6041bc52786020131001acc88680364e21641d5827a7f,64037500853,False,0.01995,573790598842767,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.219,7.0,B,1737212765710,2025-01-18 23:06:05.710,33.8,Open Long,0.0,0x1047ee06dfc0c5e9e3e6041bc52786020131001acc88680364e21641d5827a7f,64037460682,False,0.019753,297809734899421,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.296,7.0,A,1737212766509,2025-01-18 23:06:06.509,40.8,Close Long,-4.89489,0xc590ad519cba392a62fe041bc5279300006e1cfb3b9925a301431f8999a28e7e,64037460683,True,0.069325,1074936107585860,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,27.94,7.1,B,1737212767194,2025-01-18 23:06:07.194,33.8,Open Long,0.0,0x3a92deb11bb6d6668838041bc5279e0195000005ccbeb319288cd024542d2dc0,64037430055,False,0.019837,617108742139116,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.106,7.1,A,1737212769462,2025-01-18 23:06:09.462,40.9,Close Long,-5.013168,0xf2ea912b12676548c62d041bc527c5000049be422a346702894e873f4be3671f,64037430056,True,0.069843,940921712160342,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,27.664,7.2,B,1737212772094,2025-01-18 23:06:12.094,33.8,Open Long,0.0,0x27f34e5ba20e0b454380041bc527ed020113002b9f407ade12c3f88e83d9e35d,64037382272,False,0.019918,444532394320183,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,27.63,7.2,A,1737212772415,2025-01-18 23:06:12.415,41.0,Close Long,-7.059312,0xbae85c373b023e71cbe2041bc527f200008903a1dcccfde57280969b5ce55df0,64037382273,True,0.069627,1079302551164959,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,27.391,7.3,B,1737212772415,2025-01-18 23:06:12.415,33.8,Open Long,0.0,0xbae85c373b023e71cbe2041bc527f200008903a1dcccfde57280969b5ce55df0,64037326508,False,0.019995,829453255431942,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,"{'liquidatedUser': '0x738ac9d76effe300216602853023cfe1db94db45', 'markPx': '27.952', 'method': 'market'}",
TRUMP,27.59,7.3,A,1737212775344,2025-01-18 23:06:15.344,41.1,Close Long,-5.868251,0xcf9b7a220d3d0c3041b8041bc5282101ed00679bb8ed5e529c96d3b004c391a4,64037326509,True,0.070492,385267090708213,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.946,7.0,A,1737212902274,2025-01-18 23:08:22.274,33.8,Close Long,3.86491,0xd99b5ac04373eadc9265041bc52ffb00001c1a86798655c6815d91f2e548dccb,64037500854,True,0.070917,448518760811732,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.072,6.9,A,1737212914417,2025-01-18 23:08:34.417,26.8,Close Long,4.679097,0x69e84c26453960fcd319041bc530bc000018c66d3bd090af7a1a480f8189d83c,64037531840,True,0.070208,718654966594032,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.40170588,6.8,A,1737212962154,2025-01-18 23:09:22.154,19.9,Close Long,6.853284,0x75d1260c2614b5f2164f041bc533b500003fe9c8150796b8300295de1cb6bfc4,64037582439,True,0.069975,53089030162662,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.797,6.8,A,1737212977327,2025-01-18 23:09:37.327,13.1,Close Long,9.541284,0xcf255c3564835c8a2787041bc534a8000074521d6f94067ad94523d797ba660d,64037735526,True,0.070916,851946434690696,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.363,6.8,B,1737213022802,2025-01-18 23:10:22.802,6.3,Open Long,0.0,0xcd93a1100feb37492947041bc537780201d50050a08ac04c2d13d19fba6eb6a7,64038712396,False,0.019966,711067827531961,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,29.073,6.8,B,1737213040035,2025-01-18 23:10:40.035,13.1,Open Long,0.0,0x812955723a97739f742b041bc5388d01d900cd784c048798a062d9c0de201694,64038683646,False,0.019769,27728608097194,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
TRUMP,28.786,6.9,B,1737213043121,2025-01-18 23:10:43.121,19.9,Open Long,0.0,0xab20b863dc163b0efac0041bc538bd02018400f418ec571590d34ad34b2fbc5c,64038652416,False,0.019862,91565695467765,USDC,,0x51887914494d8497666ae3b430694e02bb4bcc34,,
