币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
APE,1.5205,64.4,A,1729479062620,2024-10-21 10:51:02.620,0.0,Open Short,0.0,0x68d01bb0e77667c221a80414ca1b5b013600fa59f6049c1acd9eb9e0d33b2d0a,42710403204,False,0.009792,174943361165372,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
APE,1.5205,27.8,A,1729479062821,2024-10-21 10:51:02.821,-64.4,Open Short,0.0,0xa51cf044e7956a28d2af0414ca1b5e01500008e8c89d6b5aa1473ba421d8b60f,42710403204,False,0.004226,124794533838759,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
APE,1.5178,98.2,A,1729500729842,2024-10-21 16:52:09.842,-92.2,Open Short,0.0,0x687de4038d85cf7851ee0414cf5c1901b3000c07676b5365d49cc2df0c2f38c7,42738178256,False,0.014904,1014559519834636,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
APE,1.0738,190.4,B,1730197526327,2024-10-29 18:25:26.327,-190.4,Close Short,84.78512,0x530f063e9a17958aa379041578037f015a00f575015197e1edc206b0bf8a1115,43793031974,True,0.071558,1048770063286265,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
GRASS,0.8663,500.0,A,1730197853818,2024-10-29 18:30:53.818,0.0,Open Short,0.0,0x576c13301d02175d208204157817ce01880075b07160f1eebe97be7e37165bc2,43793414304,True,0.151602,683304708668055,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
GRASS,0.87153,500.0,B,1730198147740,2024-10-29 18:35:47.740,-500.0,Close Short,-2.615,0xc7ccea98a70438528fd90415782a0101360096bfc6a2406a215609acd3180032,43793828001,True,0.152517,145857411717557,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
GRASS,0.87178,500.0,A,1730198180137,2024-10-29 18:36:20.137,0.0,Open Short,0.0,0xd987bdb2f6f39b74e7b30415782c0301a3006b32a572cab649685b5c83e49475,43793868332,True,0.152561,287407312466120,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
GRASS,1.22749638,500.0,B,1730437873180,2024-11-01 13:11:13.180,-500.0,Close Short,-177.85819,0x66c1a0a56d23bd0987690415b25d3a00000734593d018330c70809843dd4c493,43798304082,True,0.214811,244586047905773,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
ONDO,0.84427,177.0,A,1731694098435,2024-11-16 02:08:18.435,0.0,Open Short,0.0,0x3856c91752ef58760a010416e151bb01e200321308247dfb9cd182bf2542d2c5,47593010829,True,0.052302,1116506180120511,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
ONDO,0.9729,177.0,B,1731762864765,2024-11-16 21:14:24.765,-177.0,Close Short,-22.76751,0xc2c62d946be0ac49ac510416f1f92c0000892699a6a8097cb7727812ab219f17,47593010830,True,0.060271,1036408757773301,USDC,,0x531587782a3e1fe4bad3d36472d181df0dd0e424,,
