币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,90128.0,0.01,A,1741210109738,2025-03-06 05:28:29.738,0.0,Open Short,0.0,0x947f0365e3f75c5aea5b041efa763101b300e994bbd0a748b65b3bea138f7459,77485812965,False,0.090128,385840175814913,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
BTC,90090.0,0.01,A,1741214406843,2025-03-06 06:40:06.843,-0.01,Open Short,0.0,0xd61a2a469f449d9118c4041efb476d0201c600be45b1dbdfe8bbdec3eaa0999b,77494576254,True,0.315315,671530079483488,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
BTC,90965.0,0.005,A,1741226193080,2025-03-06 09:56:33.080,-0.02,Open Short,0.0,0x00859990c6911a31b840041efd84bb020312001bab5a59cb12cad3fdf9ef7ea7,77527482537,True,0.159188,787742030497961,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
BTC,91200.0,0.005,A,1741226444914,2025-03-06 10:00:44.914,-0.025,Open Short,0.0,0xea718c484959ad724778041efd910b0203fc000a795b70fb1ef5a01e7cf7d792,77527156932,False,0.0456,101535250359220,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
LINK,17.176,1.0,A,1741227688703,2025-03-06 10:21:28.703,0.0,Open Short,0.0,0x4d265e9fbe5a893d9aeb041efdcdbd016000eb846e91b4f04a67adcecd6216eb,77534669675,True,0.006011,947303705345392,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
LINK,17.177,9.0,A,1741228831878,2025-03-06 10:40:31.878,-1.0,Open Short,0.0,0xae603c3f0011dd2de68c041efe051902013c000c6954b88cc23cdee1a7ba2865,77537152339,False,0.015459,952171721955648,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
SOL,150.15,10.0,B,1741237009437,2025-03-06 12:56:49.437,0.0,Open Long,0.0,0x295e9445df544608821a041eff92da015e006e8fc35e7c2d24085e6bf19c0617,77564076074,True,0.525524,265536574375262,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
SOL,149.84,1.0,B,1741237059830,2025-03-06 12:57:39.830,10.0,Open Long,0.0,0x69758e6f448ba5c4af12041eff957201e8005f83bb60eca8bb5c5492dd130c27,77564294952,True,0.052444,984220428866525,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
SOL,149.78,1.0,B,1741237062558,2025-03-06 12:57:42.558,11.0,Open Long,0.0,0xba0d68663c1de1ac5f2c041eff9591020249001fb7917ee08d628309966f40df,77564305810,True,0.052423,784240472322241,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
SOL,149.8,1.0,B,1741237071564,2025-03-06 12:57:51.564,12.0,Open Long,0.0,0x24f9f155a4967b2fee2e041eff9600017500b02d7bee9291ed9aa2d96e28ba79,77564335909,True,0.05243,35268348072533,USDC,,0x54cfb99def52976798b0251172df75820ecbf2c8,,
