币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,104031.0,0.001,B,1737126511488,2025-01-17 23:08:31.488,0.0,Open Long,0.0,0x7e4d137caca2e5039a70041bb05a9b0201c400df98b8b613e457504445e51873,63743955028,False,0.010403,800526068957315,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BTC,104015.0,0.00013,B,1737126529073,2025-01-17 23:08:49.073,0.001,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,63744035081,False,0.001352,1114006128241206,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BTC,104015.0,0.00087,B,1737126529482,2025-01-17 23:08:49.482,0.00113,Open Long,0.0,0xd7ede2d8ae59810d1776041bb05bbd0202c70031870a76e7530e5e700bedbf62,63744035081,False,0.009049,574891815327882,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BTC,104124.0,0.002,A,1737126583855,2025-01-17 23:09:43.855,0.002,Close Long,0.202,0x9cd7b2b6a8f68cf0457b041bb05f1902015b00a4086b4ee3d415370fef45cf69,63744315020,False,0.020824,54642730173099,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BTC,104218.0,0.002,B,1737126665058,2025-01-17 23:11:05.058,0.0,Open Long,0.0,0x3c8396c37505cc4400e3041bb0640b01ae00ce347b1edc3d0eed3fa33962fb3c,63744641958,False,0.020843,1048923089196714,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
ETH,3448.6,0.05,B,1737126770239,2025-01-17 23:12:50.239,0.0,Open Long,0.0,0xdd3d90723fb3a9be789a041bb06a8f0201b9000f6f6c43b9383fb17ee468a2ec,63745044712,False,0.017243,720275411970974,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
SOL,220.0,0.05,B,1737127016204,2025-01-17 23:16:56.204,0.0,Open Long,0.0,0x4d762321952e822e4bef041bb079c502015600fbaf7bfc26f597cd944cceb085,63746205761,False,0.0011,231891181704811,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BNB,726.0,0.032,B,1737127096690,2025-01-17 23:18:16.690,0.0,Open Long,0.0,0xd9186cfc5f6f2f56d0f1041bb07ebe0201c6002f7d320c6175fb13baca97144d,63746611706,False,0.002323,433637743175453,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BNB,725.75875,0.032,A,1737127149478,2025-01-17 23:19:09.478,0.032,Close Long,-0.00772,0x6caf8fd94a376e7706af041bb0820101af00c42adf1f88c09f598dd0edb4e72f,63746880089,True,0.008128,222044911747113,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
BNB,725.0,0.032,B,1737127232969,2025-01-17 23:20:32.969,0.0,Open Long,0.0,0x55043a18eb608382d535041bb0872902033d007117c5fdaf8ff0cef408be339c,63747010956,False,0.00232,302464356388684,USDC,,0x564e261ff1bb3b115ddbdc50408d0526734e6e79,,
