币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2960.0,1.686,B,1736779008426,2025-01-13 22:36:48.426,0.0,Open Long,0.0,0xbd124894aefd2909ba8c041b5f55dd0202fe007d6eedd6c180081f15d555cc4b,62704354625,True,1.746696,427959077528478,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3055.1,1.686,B,1736780992770,2025-01-13 23:09:52.770,1.686,Open Long,0.0,0xe5e462cdc1cc09e24623041b5fce9101f8005862b197e738b6ff489e92b76fbf,62718994141,True,1.802814,260959914690834,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3033.2,1.6,B,1736785101975,2025-01-14 00:18:21.975,3.372,Open Long,0.0,0xbc43022b0e2559416cb5041b60c6cf015f0034d66aa90b917eac89d18e2ad5fb,62741081151,True,1.698592,254594984880095,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3024.5,1.6,A,1736785364019,2025-01-14 00:22:44.019,4.972,Close Long,13.92,0xfe72e8ae746e2c2cca00041b60d4430000782080963c61a3fab138d8b9fb62d1,62741261619,True,1.69372,335762080071121,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3021.0,1.686,A,1736785399669,2025-01-14 00:23:19.669,3.372,Close Long,8.7672,0x747e982606b2605d197b041b60d5ff02026f0019aadd4aa733916ba552ae09fa,62741289288,True,1.782692,415626565031551,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3020.0,1.686,A,1736787195168,2025-01-14 00:53:15.168,1.686,Close Long,7.0812,0x47bfae4b826f291238ef041b6130430000591a6857c5428f867b2f715d7dcc73,62741132987,True,1.782102,818545542567001,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
HYPE,22.36063842,223.74,B,1736858067853,2025-01-14 20:34:27.853,0.0,Open Long,0.0,0x4609268b39bd3c383cdb041b6fc22f02013700593989a42e4d0580ed585bebff,62950844166,True,1.751037,860800589132343,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,186.79990661,26.77,B,1736858080317,2025-01-14 20:34:40.317,0.0,Open Long,0.0,0xfbdba68eb70bff712186041b6fc2f601fe0098b803b9032a984c18605120c97c,62950875549,True,1.750221,306980324012720,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
HYPE,23.16501327,223.74,A,1736869049305,2025-01-14 23:37:29.305,223.74,Close Long,179.979426,0x9298aaadae201cfd1f7e041b7269bf02016d007fdbb712cbb22f9111539f56c4,62993218759,True,1.814028,765626537668269,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,187.6,26.77,A,1736869052662,2025-01-14 23:37:32.662,26.77,Close Long,21.418677,0x9fbec64b88106d7c97d9041b7269f8019e009a0842b51fd32d4ef07f2b023dc8,62993230930,True,1.757716,672820213586093,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3183.7,1.5705,B,1736871285239,2025-01-15 00:14:45.239,0.0,Open Long,0.0,0x7feaa77132cbc8ad878a041b72f40d02010800d8d0f273d5ad730743578641fb,63002784346,True,1.749999,714664035213286,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3193.2,1.5705,A,1736872176562,2025-01-15 00:29:36.562,1.5705,Close Long,14.91975,0x45fc4c01a262110bf4e4041b732b3f02013a007d840fd7f008b5e5ccd697b0fb,63005930481,True,1.755221,225168683288459,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3209.4,1.5579,B,1736877307761,2025-01-15 01:55:07.761,0.0,Open Long,0.0,0xccce4f1af661a510044b041b74689002010600f3cb6fd09ff1890e8b5abf7d29,63021870240,True,1.749972,729384952619370,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3216.2,1.5546,B,1736878628968,2025-01-15 02:17:08.968,1.5579,Open Long,0.0,0xf74719856a523aa518dd041b74ba1f0181003604b8b140f909ad80dfad292e55,63025798791,True,1.749966,124333553215441,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3224.3,3.1125,A,1736880305679,2025-01-15 02:45:05.679,3.1125,Close Long,35.824875,0xe5c1a5225db99d608a38041b7521f502011800eb5a9ca850fa4cb9499fe55e6e,63030443015,True,3.512471,788784880089211,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,195.57,25.56,A,1736950057304,2025-01-15 22:07:37.304,0.0,Open Short,0.0,0x80e5e529711cdd059278041b85e595020309004c49971753b15d4355976ed02d,63203753173,True,1.749569,1011205614588478,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3300.0,1.5151,A,1736950083295,2025-01-15 22:08:03.295,0.0,Open Short,0.0,0x347ad5d256810c35e5dd041b85e72a02039a00ed4e71493870fa375dbd146ed3,63203891576,True,1.74994,522428919037299,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3290.9,1.5191,A,1736950905878,2025-01-15 22:21:45.878,-1.5151,Open Short,0.0,0xfdb6dd1a1d04adaf0f72041b861a0e02037d00ceb384b574d4f6b76c31feb88b,63209073102,True,1.749722,541464009509893,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,194.19,25.75,A,1736950965790,2025-01-15 22:22:45.790,-25.56,Open Short,0.0,0x0110b22058160ea08668041b861dc20201de00129947e877384238e8ebf4b87f,63209401696,True,1.750137,826066224288345,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
ETH,3291.6,3.0342,B,1736951050655,2025-01-15 22:24:10.655,-3.0342,Close Short,11.651328,0xe4d55da3dfc316ad57f3041b86230602028d0090ff7fd6b81d816b672d439b85,63209853080,True,3.49558,582924181045880,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,194.01527772,51.31,B,1736951051866,2025-01-15 22:24:11.866,-51.31,Close Short,44.235494,0x200ded3e4cff8dd8a08f041b86231902011100c86043d3c53ec6365c433016fb,63209859766,True,3.484222,1009381509156308,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,201.529158,250.0,A,1736966831870,2025-01-16 02:47:11.870,0.0,Open Short,0.0,0x9b7b087167c935a64062041b89f13e02020a003dc2fa69bb85a9e2b03776ab7a,63273167126,True,17.633799,1071287208667369,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,201.3725464,250.0,A,1736967046977,2025-01-16 02:50:46.977,-250.0,Open Short,0.0,0x00e18998d8d061b35a69041b89fe7f01db00cd510647b22b2bb514d203fc38eb,63273742607,True,17.620089,157240127790339,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,201.35,250.0,A,1736967049639,2025-01-16 02:50:49.639,-500.0,Open Short,0.0,0x4c3506b4a87209090cc3041b89fea801f300e7ea9179c2e4d1ffba52447a705a,63273751720,True,17.618124,542638439529648,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,201.24,250.0,A,1736967440211,2025-01-16 02:57:20.211,-750.0,Open Short,0.0,0xf1fe64eee03ba9f57663041b8a16c201b40026f8f08aa1626747998fa4de9ab8,63274733828,True,17.608496,929773613920978,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,201.2745554,1000.0,B,1736967777201,2025-01-16 03:02:57.201,-1000.0,Close Short,98.3446,0xd4f42447e044f618fe31041b8a2b7402033700cc27c3335b0499d36341499041,63275541790,True,70.446092,664692680098042,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
HYPE,23.79174663,1250.0,B,1736967859699,2025-01-16 03:04:19.699,0.0,Open Long,0.0,0x5aa281a800e5e8dad5fd041b8a307d020373000d42f6fe7b747521e56b936dd2,63275791999,True,10.408883,93328438563815,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
HYPE,23.872,45.09,B,1737023873800,2025-01-16 18:37:53.800,1250.0,Open Long,0.0,0x3c622affca356dc4ca32041b97ab8f018e00f3110f4618328d704d1a85574d38,63418187475,True,0.376735,176113559206874,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
HYPE,23.83955988,1295.09,A,1737027845305,2025-01-16 19:44:05.305,1295.09,Close Long,58.356605,0x501154737c74839c288e041b989fda02012600583d138fb63daf3a158e80865c,63431459588,True,10.806026,23036938904081,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,210.2833552,250.0,A,1737027867515,2025-01-16 19:44:27.515,0.0,Open Short,0.0,0x6f63e43a767e5e10ce76041b98a13c02019600bdf47ea4fa361d09583d3fc65e,63431569666,True,18.399792,915210770488425,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,209.4890624,250.0,B,1737027908715,2025-01-16 19:45:08.715,-250.0,Close Short,198.5594,0xaf533d04d008fd541738041b98a3bf01f900a1da575ed5d17be2f81e2299df0e,63431755509,True,18.330291,983028465701804,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
SOL,209.86416525,400.0,A,1737028090636,2025-01-16 19:48:10.636,0.0,Open Short,0.0,0x4175baf53a1373b25fcc041b98aefa02015a00713f7af28386f8ec01d9f58c4c,63432489225,True,29.380981,396388832068478,USDC,,0x579af2ff59c84682ff3dcb45048a0cf12de66a5f,,
