币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
TRX,0.24834,84.0,B,1744922140492,2025-04-18 04:35:40.492,0.0,Open Long,0.0,0x9064f7086ab276afabab0421bd8bfc02011c00fa5f45dfac6e26c5f7731987ef,87233510551,True,0.007301,361955689902503,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
BERA,3.6874,3.2,A,1744922217334,2025-04-18 04:36:57.334,0.0,Open Short,0.0,0x7935347a19166fb717600421bd8fac0201d800ca2887a14dd0c7ea3963b309db,87233649851,True,0.004129,114242488213389,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
BABY,0.075463,278.0,A,1744922259136,2025-04-18 04:37:39.136,0.0,Open Short,0.0,0xd339a39e979d3a4b05e50421bd91a702023700cd0c351d6f46896be6a1900925,87233738612,True,0.007342,564842665301931,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
AAVE,138.1,0.08,B,1744922274766,2025-04-18 04:37:54.766,0.0,Open Long,0.0,0xe45eca113a894fae13aa0421bd9287019b00b6a237167e2ede0d3af93e4687ab,87233777765,True,0.003866,892955694954724,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
ADA,0.6197,19.0,B,1744922294754,2025-04-18 04:38:14.754,0.0,Open Long,0.0,0x6e765ee74e23b46251180421bd936d020171001f2ebc27c384121b79eab28bf4,87233804122,True,0.004121,264750417475515,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
BIO,0.05081,806.0,A,1744922370132,2025-04-18 04:39:30.132,0.0,Open Short,0.0,0x435e6479ab3a4e1a8d1e0421bd96dc017400e516dbca0741161873a3ac7eb865,87233932029,True,0.014333,759776850947213,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
AVAX,19.091,0.62,A,1744922390053,2025-04-18 04:39:50.053,0.0,Open Short,0.0,0x5375257db24d73695dee0421bd97b6020122006bd1bf9ecc02b528eb5f5f3ffa,87233967188,True,0.004142,231160512610256,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
BCH,338.78,0.035,A,1744922407972,2025-04-18 04:40:07.972,0.0,Open Short,0.0,0xd0da256d008a11986fc70421bd989301a500164b7baddb21e8e401d045a227fc,87234002133,True,0.00415,447059043008505,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
CHILLGUY,0.02527,830.0,A,1744922428365,2025-04-18 04:40:28.365,0.0,Open Short,0.0,0x3fdd448fc7e87337aed20421bd99980171006d7868deb1365161caf40cd07c94,87234058501,True,0.00734,649667395309798,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
CRV,0.60926,19.6,B,1744922466751,2025-04-18 04:41:06.751,0.0,Open Long,0.0,0x872f62280eb3001e3bce0421bd9b7501f50058f2598771d8c8a6f85b2bddac9c,87234125834,True,0.004179,89443478684116,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
ETC,15.044,0.79,A,1744922514058,2025-04-18 04:41:54.058,0.0,Open Short,0.0,0xb85e666029a0092dcad40421bd9d9501a000d32a8df87f582a236639a42e96a6,87234198289,True,0.004159,816525785374561,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
ETH,1581.1,0.0075,B,1744922548182,2025-04-18 04:42:28.182,0.0,Open Long,0.0,0x93fca0855cfc3cf6e0550421bd9f310201770076c1d5ad723212a5a650bc14e4,87234270685,True,0.00415,613066311240408,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
ETHFI,0.4287,27.9,A,1744922563816,2025-04-18 04:42:43.816,0.0,Open Short,0.0,0x934c4cb26146d1739b080421bda00b01c5003a6e8a42d125f627565b48472edc,87234304600,True,0.004186,410708662194328,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
FARTCOIN,0.83847,14.3,B,1744922593386,2025-04-18 04:43:13.386,0.0,Open Long,0.0,0xeae050a43c155f35e9f10421bda18f01ea002719bdb5e97c4b8806148a0d658f,87234358525,True,0.004196,498888522729018,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
FET,0.50217,23.0,B,1744922609487,2025-04-18 04:43:29.487,0.0,Open Long,0.0,0xee1560f30af74c004a6d0421bda2650142004ea22b8ce3f82ecc5655752f7ddf,87234386476,True,0.004042,199063877790636,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
kFLOKI,0.054793,219.0,B,1744922755551,2025-04-18 04:45:55.551,0.0,Open Long,0.0,0x23d5f016e96ef934bd210421bda98401e80073781095bf7b2aa4b4f169f4ee06,87234680251,True,0.004199,934563254206918,USDC,,0x5aa0506285d40a6b1cc3e3b7263eaf7d24a292b4,,
