币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,62896.0,0.01588,B,1709326815005,2024-03-02 05:00:15.005,0.0,Open Long,0.0,0x967edd39dbb923c09b9a0407da41770202c000282d1566f98573fff301d489e6,11577160499,True,0.249697,285356972636322,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,62813.0,0.00757,B,1709328734938,2024-03-02 05:32:14.938,0.01588,Open Long,0.0,0x02fa08efa19a9ff4243f0407da5629013a0034886ac58b0f5aacda7182d78838,11580319139,True,0.118873,1018410834173719,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,62544.0,0.0057,B,1709331233154,2024-03-02 06:13:53.154,0.02345,Open Long,0.0,0xf1a4454e067edbde6f9e0407da71f6011800793057bb9402adeafe15e802cb45,11583747038,True,0.089125,547321265432718,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,62482.0,0.02487,B,1709332951853,2024-03-02 06:42:31.853,0.02915,Open Long,0.0,0x6fabc50031709188ea410407da8538010d000d8abe45c973c0e100886ee19039,11585986479,True,0.388481,472719411269920,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ORDI,75.51992146,19.48,B,1709334633652,2024-03-02 07:10:33.652,0.0,Open Long,0.0,0x42fb94197ff69ab3b8f60407da9832013300fcaa85ca9f4aeab965b961379b66,11587932351,True,0.367781,518129007322985,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ORDI,75.776,19.48,B,1709334657247,2024-03-02 07:10:57.247,19.48,Open Long,0.0,0x9b98ec4b94764c3fe0830407da9872014300d700f8d8f3ef56c4ae7fd62daf5f,11587962672,True,0.369029,1072171515413361,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,62010.0,0.03252,B,1709342707471,2024-03-02 09:25:07.471,0.05402,Open Long,0.0,0xe0767627672d193c92120407daee7e02040d005a9a913cd23a456a38f08a3b58,11602398166,True,0.504141,505055824617753,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9667,2276.0,A,1709376573092,2024-03-02 18:49:33.092,0.0,Open Short,0.0,0x901699f9e7da5df47f040407dc599a015a0097c21bc827e50b68ce25cdb62f2b,11662157609,True,1.119052,38160870320844,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9663,2635.4,A,1709376601432,2024-03-02 18:50:01.432,-2276.0,Open Short,0.0,0x23ea8379b4ffbac571c90407dc59e5020127001a2ea2c2e97b63b97f141cf79d,11662212539,True,1.295496,289765333665219,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9687,1239.8,A,1709378459071,2024-03-02 19:20:59.071,-4911.4,Open Short,0.0,0x6bad78c0f4f9f78019bb0407dc6deb02017f006912f6faac3d5413522c8a10a8,11665401873,True,0.610198,585308275969969,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.98539431,6151.2,B,1709381910285,2024-03-02 20:18:30.285,-6151.2,Close Short,-113.577664,0xe86a2740cb07ecefb5d00407dc93d20202980003f91c358806f42d74a5047124,11666006304,True,3.053138,455812445239293,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,62024.35932746,0.06245,B,1709382196669,2024-03-02 20:23:16.669,0.08654,Open Long,0.0,0xe6ca026db1d507332a470407dc96fa01be009d992ccf11b88d9020e0f6e11631,11671622802,True,0.968354,841177612056960,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9871,1505.6,A,1709382636833,2024-03-02 20:30:36.833,0.0,Open Short,0.0,0xb83a917dab85dd6dcbaf0407dc9bc3020241006852e1f7c85d052b2f0ce8fea3,11672346145,True,0.747944,248634293421749,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9871,1505.6,A,1709382643299,2024-03-02 20:30:43.299,-1505.6,Open Short,0.0,0xdb9b900a5eae8f47d3400407dc9bd6012500413babcb060b5937a6ea3d8d1f8f,11672354943,True,0.747944,416817329177696,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9956,3011.2,B,1709383022637,2024-03-02 20:37:02.637,-3011.2,Close Short,-25.5952,0xc131c8bc8872e75ef4470407dca00a015200a2c12c8495d66e9514caf0ed109c,11672966474,True,1.502287,5502859840911,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.99579586,2836.3,B,1709383034294,2024-03-02 20:37:14.294,0.0,Open Long,0.0,0x626ebbb6163e26949d220407dca02a010e00ab6b3e2d93a4f388776db490a952,11672985209,True,1.415168,930662316559666,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
WLD,7.7048,215.1,B,1709383865565,2024-03-02 20:51:05.565,0.0,Open Long,0.0,0xb87eb516ef21cef4b0af0407dca9190143007cf2576d72358607bcde3754d797,11674269779,True,0.414325,5277857472536,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9847,2836.3,A,1709384659597,2024-03-02 21:04:19.597,2836.3,Close Long,-31.454567,0x7786696ea1e1c43505d30407dcb1ce0166001565848fbc1a64bd1da77409536d,11672999880,True,1.407301,160302055915239,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9805,2101.4,A,1709384797923,2024-03-02 21:06:37.923,0.0,Open Short,0.0,0xea565846e1653fc896cb0407dcb345016f000e492981f7bd8f1310dee8bde0ea,11675740906,True,1.040455,1096491007535454,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ORDI,81.995,38.96,A,1709385025915,2024-03-02 21:10:25.915,38.96,Close Long,247.283016,0x15467eb7a24e924fee350407dcb5c702019800b89233dfb7b3e431b98d1d1179,11665164980,True,0.79863,292895472991782,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9819,2840.9,A,1709385153981,2024-03-02 21:12:33.981,-2101.4,Open Short,0.0,0x6930af04b550927f26a00407dcb71502010200a6e2a010e9b3baf7c42d7c8a69,11676354832,True,1.407594,26219962885068,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
WLD,7.7177,119.3,A,1709387468654,2024-03-02 21:51:08.654,215.1,Close Long,1.53897,0x3dc766ba79ccff8628ae0407dcd04402016b00f5deb2da4832f0a6479d67b3fb,11680119927,True,0.23018,416178157889304,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9797,691.3,A,1709388016810,2024-03-02 22:00:16.810,-4942.3,Open Short,0.0,0x4d2c92d44774f7f486af0407dcd60702034e007e1fb0bc66c8e7ec5e147d36a0,11681118530,True,0.342141,742732667952796,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
BTC,61661.0,0.14899,A,1709388201264,2024-03-02 22:03:21.264,0.14899,Close Long,-87.814706,0x7288b4fdc217bcd6f94c0407dcd7e102018d00997ca4e812fb25655d86c21493,11675605735,True,2.296718,561755781677635,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.9751,5601.6,A,1709395395686,2024-03-03 00:03:15.686,-5633.6,Open Short,0.0,0x073897bae77347ceed870407dd23ed019a000d951923506ed7c55e21dfb09d73,11696291273,True,2.765929,134894390433480,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
ARB,1.97560938,5388.9,A,1709395767350,2024-03-03 00:09:27.350,-11235.2,Open Short,0.0,0xcd4d1016ba1ac9a400060407dd27e7013300ff53462e456c693a4f72bcadb106,11696966191,True,2.661589,218577725496439,USDC,,0x61dcc1077b29ecf1beffe1b3c00ac0b342e1c129,,
