币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,52064.0,0.0192,A,1708487561622,2024-02-21 11:52:41.622,0.0,Open Short,0.0,0xd480f99df69fce49eef00407b696f301a500d1f1396167ee6e07f6ad8fb2c5d2,10339310361,True,0.249907,938448411107887,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51962.0,0.0192,B,1708491255868,2024-02-21 12:54:15.868,-0.0192,Close Short,1.9584,0x1c0ae3839946b60a0acb0407b6c03f011b00f1e8ebdd7bdd29d63f9b887125c4,10343788880,True,0.249416,807962535627310,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,52078.0,0.01857,A,1708492314553,2024-02-21 13:11:54.553,0.0,Open Short,0.0,0xf4d43e11b4b5ff0cdbb10407b6cbfe010d00b297d681a8498629e506c0786d28,10344898532,True,0.241771,919897530489356,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51892.0,0.01857,B,1708493798598,2024-02-21 13:36:38.598,-0.01857,Close Short,3.45402,0x200d819aa7fd85881a500407b6dcb90124000b89b3e70b3e6850974dea6b0a22,10346325360,True,0.240908,711200273789243,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51876.0,0.02128,B,1708495113697,2024-02-21 13:58:33.697,0.0,Open Long,0.0,0x283ea0342b9798e444720407b6eb3d016e005bfe778d50fb6154c2750b490605,10348111658,True,0.27598,365239469514361,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,104.81,9.03,A,1708554594815,2024-02-22 06:29:54.815,0.0,Open Short,0.0,0x0ad536c5495b7b02770c0407b9691401130098cb60caf8b18f34a69f03cee9c6,10444423548,True,0.236608,471732969819282,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.8282,35.0,A,1708555010658,2024-02-22 06:36:50.658,0.0,Open Short,0.0,0x51fdc91b8441b25e04ae0407b96da9019200b7ccea1f21395f8c2769dca3ca90,10444765349,True,0.059746,427057184019645,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,104.48,9.03,B,1708555518531,2024-02-22 06:45:18.531,-9.03,Close Short,2.9799,0xc88b25ef36f072b199570407b9733f02017800fca735dda6cfb13414da3141f2,10445145640,True,0.235863,463133767641674,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.9332,70.0,A,1708555918893,2024-02-22 06:51:58.893,-35.0,Open Short,0.0,0xfa6cdb80fe124f6966890407b977bc010b00e08bf9f4d65581bb106dc4b5192c,10445444213,True,0.121331,123769073596804,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.8323,105.0,B,1708556359809,2024-02-22 06:59:19.809,-105.0,Close Short,6.9195,0x6c60d153508b662eef240407b97cb101d70075f1f8f7ab3e4c7aa7690d7a00bb,10445781511,True,0.179347,881188141044531,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.8983,40.4,A,1708556896753,2024-02-22 07:08:16.753,0.0,Open Short,0.0,0x9a3563c8388d6da2ca9a0407b982940113004248294a5defcbc5e10ecc5e5960,10446433657,True,0.069672,1101841541162346,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.81285421,40.4,B,1708557171250,2024-02-22 07:12:51.250,-40.4,Close Short,3.45201,0x77d93faf6692c4fd37e80407b98589013d007231a34ee2d61d943383367d06f1,10446740774,True,0.068809,566377628279170,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,105.03,7.17,A,1708557244430,2024-02-22 07:14:04.430,0.0,Open Short,0.0,0xa56203d2325faeb5b7540407b98650011e00e1a793c0aecb98ddcf4100f52cbc,10446810045,True,0.188266,664918353572119,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,105.37,5.82,A,1708559139844,2024-02-22 07:45:39.844,-7.17,Open Short,0.0,0x0ba563aad4f19b70a8840407b99b260127004a4311bbf1b0c2f533dc77908445,10449048833,True,0.153313,889237689610336,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51964.87781955,0.02128,A,1708559452779,2024-02-22 07:50:52.779,0.02128,Close Long,1.89132,0x5df1432c9d3670a094da0407b99e9502019700ac22d313683c2ef42ac400468c,10449534079,True,0.27645,471293373834467,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,104.91,12.99,B,1708560090880,2024-02-22 08:01:30.880,-12.99,Close Short,3.537177,0x164701459c96565d5cb60407b9a582015d002864d30e4b7c808028c93b0f6970,10450168189,True,0.340694,759855068076947,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,102.55,4.74,B,1708566555576,2024-02-22 09:49:15.576,0.0,Open Long,0.0,0x40a9a6ae6c9b851808600407b9eb4401860021200000c8c3e065a1a3e4503962,10459260857,True,0.121521,305788647418018,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
SOL,102.86,4.74,A,1708567896016,2024-02-22 10:11:36.016,4.74,Close Long,1.4694,0x00c1d36de0338233bc520407b9f97a02013b00a4e13e2a9602ffe909a4dc32d4,10461504474,True,0.121889,1104604119924101,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.8069,163.1,A,1708567995413,2024-02-22 10:13:15.413,0.0,Open Short,0.0,0x60e1dba3a139352497470407b9fa9b01c2004390495a5c2e87107141117475a6,10461638755,True,0.277551,132775935420783,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,6.7901,163.1,B,1708569468482,2024-02-22 10:37:48.482,-163.1,Close Short,2.74008,0x5e4eb168b97b38fb49a00407ba0afa0202be00cc44f998138c1c188cff30624b,10463404988,True,0.276866,610714875984774,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51452.0,0.02092,A,1708569995900,2024-02-22 10:46:35.900,0.0,Open Short,0.0,0x58d4d458230c3bff12d20407ba10b502015a001563b5f0f8ffdff086956a10be,10464061465,True,0.269093,664147251125761,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,7.1854,42.5,A,1708578982350,2024-02-22 13:16:22.350,0.0,Open Short,0.0,0x7b07ee7bf59d9bdf3ad40407ba746a011000e692dae7efba650f6b1e393937c5,10473321752,True,0.076344,326271286985240,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,7.3766,45.0,A,1708580666213,2024-02-22 13:44:26.213,-42.5,Open Short,0.0,0x7a7ed550b975f2a859040407ba870b019500dd1a099a707b1b81404b36546095,10475155260,True,0.082986,14646548437579,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,7.4488,90.0,A,1708582177203,2024-02-22 14:09:37.203,-87.5,Open Short,0.0,0x8326860a541f9a9d3bfc0407ba979a01a200944193416e212cdc5a52e0920c8e,10476867824,True,0.167598,252824538028912,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
RNDR,7.30080451,177.5,B,1708596094720,2024-02-22 18:01:34.720,-177.5,Close Short,11.82425,0x64760d1f1a0497a7ef370407bb2db70201c90003624192df51216c65ba983d00,10476913808,True,0.323972,899093679824497,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
BTC,51394.0,0.02092,B,1708615604621,2024-02-22 23:26:44.621,-0.02092,Close Short,1.21336,0x8828a6935f1a114fd8520407bbff4401e3009c636dd412d3bdb7f5af48194eb3,10526837402,True,0.26879,172265084253039,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
WLD,8.5374,49.9,A,1708620561366,2024-02-23 00:49:21.366,0.0,Open Short,0.0,0x5c4bfdab7a032a74c0d50407bc33bc013a00d92a55471797145fdb435bb496f8,10534914414,True,0.106504,1030476972932177,USDC,,0x6342a0efb2aaf012b173289b8c9e954df09a1524,,
