币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,26.86,6.67,B,1734486543288,2024-12-18 09:49:03.288,0.0,Open Long,0.0,0xc1c131c0328b77a7039104197fb3420201050040fa3690ed3c33a64a330921f4,56148929568,True,0.062704,852333832049150,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ETH,3674.1,1.7077,B,1736205533492,2025-01-07 07:18:53.492,0.0,Open Long,0.0,0x797e6f61ea5d6350f4bc041ad58dc7018e000718fe042da9c699245a6bf94b4d,61064201256,True,2.195991,380276008315951,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ETH,3610.4,1.7077,A,1736260492364,2025-01-07 22:34:52.364,1.7077,Close Long,-108.78049,0xc9560058ea3ad8c3c456041ae2c5b90000f5819e5cdfe1d5f9622ffd85b39d29,61167257262,True,2.157918,687972570124802,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,"{'liquidatedUser': '0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d', 'markPx': '3615.5', 'method': 'market'}",
HYPE,25.441,6.67,A,1736260492364,2025-01-07 22:34:52.364,6.67,Close Long,-9.46473,0xc9560058ea3ad8c3c456041ae2c5b90000f5819e5cdfe1d5f9622ffd85b39d29,61167257263,True,0.059392,729474611321441,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,"{'liquidatedUser': '0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d', 'markPx': '25.45', 'method': 'market'}",
XRP,2.34,50.0,B,1736769499997,2025-01-13 19:58:19.997,0.0,Open Long,0.0,0xe49ae2628c46b2da46da041b5d0f4702013700a1e77407c8994534e2b4621894,62380092332,False,0.0117,1108762859752870,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
XRP,2.52,88.0,B,1736840858499,2025-01-14 15:47:38.499,50.0,Open Long,0.0,0x27d47264b4607854966c041b6b9e1b0000b8fe4edd6987ad9061412bc33e570a,62867255901,False,0.022176,31034946650560,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
XRP,3.05,138.0,A,1737017395506,2025-01-16 16:49:55.506,138.0,Close Long,82.140084,0xb1ab0446fdd5b796680d041b961c42000098a0e217b48a7c5f23f9dfa3f6ffcb,63386275834,True,0.147315,246026607698339,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ZEREBRO,0.27634,924.0,B,1737094898063,2025-01-17 14:21:38.063,0.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,63648107912,False,0.025533,245444098234451,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ZEREBRO,0.16,924.0,A,1737323580919,2025-01-20 05:53:00.919,924.0,Close Long,-107.49816,0xedfceb963a7abc376225041bdf7cf2013e004fe359ee8758d8097f486262331e,64512977933,True,0.051744,894987587991009,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ZEREBRO,0.13009,726.0,B,1737394764252,2025-01-21 01:39:24.252,0.0,Open Long,0.0,0x64456dbc077ebcae8497041bf0daed00009fe21d695e7b55ddc436f364d67f88,64666754219,False,0.009444,932048872106728,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
ZEREBRO,0.061708,726.0,A,1738450639053,2025-02-02 06:57:19.053,726.0,Close Long,-49.645332,0x9f2598d6e9509a864b4d041cf5aa1602018a0045ceaa256cd2530d6b8c13813e,68332666834,True,0.01568,328144654207467,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
S,0.80135,158.0,B,1740269180328,2025-02-23 08:06:20.328,0.0,Open Long,0.0,0xdf8bc42353ad05c46bf4041e476e4d015e0089bef77d7a1ea76ec545230e1622,74177095543,False,0.012661,267225513657060,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
HYPE,13.95,7.16,B,1742090340972,2025-03-16 09:59:00.972,0.0,Open Long,0.0,0x261f8438c8d8b16b0cda041fa2e336015400fda5a8781915fd922784974eb4f8,79932960008,False,0.009988,475433443501698,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
HYPE,15.612,7.16,A,1742612852224,2025-03-22 11:07:32.224,7.16,Close Long,11.89992,0x3059792a500e20ff8e9a0420066d75016600d3951515a3b360c193c844b07fc3,81204059104,True,0.039123,210268463550886,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
SEI,0.19141,164.0,B,1742613257253,2025-03-22 11:14:17.253,0.0,Open Long,0.0,0x59ec449b57addfb8648004200680fc016e008fdcc4109e61f9687a377bb5dac9,81204304293,False,0.003139,826783704762280,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
SEI,0.19141,99.0,B,1742684752639,2025-03-23 07:05:52.639,164.0,Open Long,0.0,0xdb5f9f546419fc320c86042013dfb80179004ccdfdf322e5c8cd5eeca59d5446,81204304293,False,0.001894,58584818823382,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
SEI,0.19141,258.0,B,1742684795997,2025-03-23 07:06:35.997,263.0,Open Long,0.0,0xd3d960596f7dd3b397b9042013e1ec0202d80017af980a9532ac3564ec923e52,81204304293,False,0.004938,236651964436252,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
SEI,0.21197,521.0,A,1743037584623,2025-03-27 09:06:24.623,521.0,Close Long,10.71176,0x3d1782a34d84e155a58704205745bc020184009a6f097baffecaf294d2363ea5,82008592703,True,0.038652,494146692988021,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
BTC,87451.0,0.00287,A,1743062541474,2025-03-27 16:02:21.474,0.0,Open Short,0.0,0x727fa73ec0698aa588de04205bfad9019c00aba524350761d8a8280c2e47932f,82062235161,False,0.025098,208682108962399,USDC,,0x64fddf1a5a19e39807ec0ceb97d3dc93a0aedc9d,,
