币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
HYPE,44.711,9.0,B,1756602032028,2025-08-31 09:00:32.028,0.0,Open Long,0.0,0xd6d652c9c18fd7aad850042a96ef310203fb00af5c82f67c7a9efe1c8083b195,148960516508,True,0.181079,997274002237086,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,43.644,9.0,A,1756744308778,2025-09-02 00:31:48.778,9.0,Close Long,-9.603,0xbf7ca31333df4bf8c0f6042ab239d002020d00f8ced26aca63454e65f2d325e3,148960715979,True,0.176758,32712678441446,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
kPEPE,0.00989,21739.0,B,1756942349245,2025-09-04 07:32:29.245,0.0,Open Long,0.0,0x9f90d65ea74ba842a10a042ad7fd21020d070044424ec714435981b1664f822d,152397237286,False,0.032249,507201012087085,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
kPEPE,0.009422,21739.0,A,1756999205339,2025-09-04 23:20:05.339,21739.0,Close Long,-10.173852,0x3026e8fd6c829a7131a0042ae2e275020ad700e30785b943d3ef94502b86745b,152397237287,True,0.092171,239937149324368,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,45.813,9.9,B,1757180023340,2025-09-07 01:33:43.340,0.0,Open Long,0.0,0x81b3b4ee4831a6b8832d042b05221602016500d3e334c58a257c6041073580a3,154381757801,False,0.068032,359204611484768,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,50.001,9.9,A,1757314036001,2025-09-08 14:47:16.001,9.9,Close Long,41.4612,0x95cb3c1c3d3a55889744042b1ee4ba0201010001d83d745a3993e76efc3e2f73,154381757803,True,0.222754,339613524271511,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
KAS,0.085854,6000.0,B,1757859396819,2025-09-14 22:16:36.819,0.0,Open Long,0.0,0x8e090760befebe968f82042b879858020ce7004659f1dd6831d1b2b37df29881,162088149921,True,0.231805,279396396050492,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
KAS,0.085021,6000.0,A,1757860820755,2025-09-14 22:40:20.755,6000.0,Close Long,-4.998,0xfb16ff1ec72e2eecfc90042b87dd57020a27000462214dbf9edfaa71862208d7,162088461789,True,0.229556,289368509194482,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
KAS,0.085456,6000.0,B,1757866022067,2025-09-15 00:07:02.067,0.0,Open Long,0.0,0x71aa5b14f88c3ce07324042b88dc4002056000fa938f5bb215730667b78016cb,162181595231,True,0.230731,265596740495401,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,305.1958636364,2.2,B,1757867955334,2025-09-15 00:39:15.334,0.0,Open Long,0.0,0x57ec05ac25c433235965042b893d2801cc001d91c0c751f5fbb4b0fee4c80d0d,162204803474,True,0.302143,682213809165574,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
KAS,0.085467,6000.0,A,1757892205124,2025-09-15 07:23:25.124,6000.0,Close Long,0.066,0xc09e77046236a7e9c218042b8deab10201be00e9fd39c6bb64672257213a81d4,162359196709,True,0.23076,570495543005413,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,305.26,2.2,A,1757898345842,2025-09-15 09:05:45.842,2.2,Close Long,0.14124,0x83093a421cf97e4d8482042b8f17860201610027b7fc9d1f26d1e594dbfd5838,162358896201,True,0.302207,198744900576973,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,297.2516,3.0,B,1757960534745,2025-09-16 02:22:14.745,0.0,Open Long,0.0,0x339c53d6f0903b0a3516042b9b1d6702018600bc8b9359dcd764ff29af9414f4,163349358261,True,0.401288,917463861670477,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,299.29,3.0,A,1757969132824,2025-09-16 04:45:32.824,3.0,Close Long,6.1152,0xc4bd43fce3996940c637042b9cc701020ab400e27e9c88126885ef4fa29d432b,163454743475,True,0.404041,670343200417004,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,294.75,0.06,B,1758084368085,2025-09-17 12:46:08.085,0.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,164555869576,False,0.002652,977915938980902,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,294.75,0.06,B,1758084518054,2025-09-17 12:48:38.054,0.06,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,164555869576,False,0.002652,780994679117101,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,294.75,1.38,B,1758084520642,2025-09-17 12:48:40.642,0.12,Open Long,0.0,0xc7f6a6db6c95397bc970042bb2ff7c02081d00c10798584d6bbf522e2b991366,164555869576,False,0.061013,815882797665881,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
AAVE,294.2945333333,1.5,A,1758116092411,2025-09-17 21:34:52.411,1.5,Close Long,-0.6832,0xe923bfd9806a8cd2ea9d042bb91d940202ea00bf1b6daba48cec6b2c3f6e66bd,165229034662,True,0.198648,804519349833974,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
ETH,4598.5,0.087,B,1758189550009,2025-09-18 17:59:10.009,0.0,Open Long,0.0,0xe689f76013e0b1a2e803042bc73b3a0202240045aee3d0748a52a2b2d2e48b8d,166238606158,True,0.180031,750267878793013,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
ETH,4478.4,0.087,A,1758294355231,2025-09-19 23:05:55.231,0.087,Close Long,-10.4487,0xc0baf4c263fcf3fcc234042bdb4b7502116600a7fef012ce6483a01522f0cde7,166238606159,True,0.175329,1022756302707911,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,46.163,2.0,A,1759176269245,2025-09-30 04:04:29.245,0.0,Open Short,0.0,0x01bc338479c74e5e0335042c84d2c6020776006a14ca6d30a584ded738cb2848,179962993084,False,0.013848,221394505949522,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,44.383,2.0,B,1759226745076,2025-09-30 18:05:45.076,-2.0,Close Short,3.56,0x5d1961d237416d825e93042c8e8e0902037f00b7d2448c5400e20d24f645476d,180721440214,True,0.039944,23802142873097,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
HYPE,44.525,11.0,B,1759226899704,2025-09-30 18:08:19.704,0.0,Open Long,0.0,0xea5832d77a1439a4ebd1042c8e95c302031200bd151758768e20de2a3918138f,180723622536,True,0.220398,642026510110234,USDC,,0x6797832355ccd0fcf51c7aca312f291c0e5f7ebc,,
