币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
DYM,1.9107,194.5,A,1721666026809,2024-07-23 00:33:46.809,0.0,Open Short,0.0,0x7562d6986b6950b8cf3b040ded5b0701ac008d76a1a0d5b4bdff4ac91f454036,30752313984,True,0.13007,830932377893696,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
DYM,1.9106,194.5,B,1721666479714,2024-07-23 00:41:19.714,-194.5,Close Short,0.01945,0xccde3a5a286386d72363040ded6ed20124006793c9c80a471a4586a784c67e8b,30753021697,True,0.130064,256602314308236,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
DYM,1.9096,250.1,A,1721666494933,2024-07-23 00:41:34.933,0.0,Open Short,0.0,0x25b45000bdbb9941ece4040ded6f7e013b006703d8d1d5aa5531abbeac78a5a6,30753037579,True,0.167156,843085215787737,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
ETHFI,2.5508,118.3,A,1721670021960,2024-07-23 01:40:21.960,0.0,Open Short,0.0,0x7d2012e412b395396c90040dee0976012d00fa8d239779d23a5d9108a1a26c70,30757602964,True,0.105615,588704572604486,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
ENA,0.44516,629.0,A,1721670040102,2024-07-23 01:40:40.102,0.0,Open Short,0.0,0xf08108145dc2f3acd997040dee0a40012c00768754978facdd7388188a78b77b,30757622967,True,0.098001,474766407225687,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
IO,2.8178,97.7,A,1721670045985,2024-07-23 01:40:45.985,0.0,Open Short,0.0,0xf2effb4aeaf50a16c734040dee0a7e014c00236922d15bb029c9a03e065df110,30757629922,True,0.096354,612744349629852,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
ARK,0.38965,1570.0,A,1721670054711,2024-07-23 01:40:54.711,0.0,Open Short,0.0,0xdf122374c784a272e3f7040dee0ae3014c005e4ac61339c2a35114ef5056e7cb,30757650441,True,0.214111,995423873066559,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
FXS,2.5049,175.3,A,1721670075253,2024-07-23 01:41:15.253,0.0,Open Short,0.0,0x666ef01cf19c0412ea0e040dee0bc902014f005e65c8f6852e39e0f7dbde3476,30757692410,True,0.153688,594539936418432,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
XAI,0.36234,1134.5,A,1721670084960,2024-07-23 01:41:24.960,0.0,Open Short,0.0,0xa916169604367f1b1c44040dee0c3701400035365b3c858af4508245c9665009,30757710647,True,0.143876,318916972351868,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
TRB,75.009,6.03,A,1721670087985,2024-07-23 01:41:27.985,0.0,Open Short,0.0,0xbe86029fcbf5ee1fa231040dee0c590136006c6f86a7e54f4f1c30af0bd59ba3,30757713929,True,0.158306,445820297653890,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
SOL,181.29,2.26,B,1721670094021,2024-07-23 01:41:34.021,0.0,Open Long,0.0,0xbc9cf77099129b237e07040dee0c9e016800ac32a94abe074bfa3aa4cdb83db7,30757717216,True,0.1434,1034779189438056,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
ZRO,5.3545,69.5,B,1721670153248,2024-07-23 01:42:33.248,0.0,Open Long,0.0,0x3c9b01f2f55cb390e56b040dee0f34012600b14d795ac60d55b77837baf995a0,30757780655,True,0.130248,864150104741324,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
MKR,2761.4,0.2,B,1721670155683,2024-07-23 01:42:35.683,0.0,Open Long,0.0,0xed35afcf17f3b922a418040dee0f4e0141004a120fc6bdcb2fa2ab79f61393aa,30757783895,True,0.193298,6044268423238,USDC,,0x67e64a84ca48ee9d039d7ff2430326eb8fdaac85,,
