币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
USUAL,1.219,412.0,A,1734637072415,2024-12-20 03:37:52.415,0.0,Open Short,0.0,0x37c964ae0d9244cc0f8d0419a3730e0201ba00271c4388a5f11f2201e75bc3fe,56732920359,True,0.175779,915059395815047,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
USUAL,1.28665563,412.0,B,1734641117213,2024-12-20 04:45:17.213,-412.0,Close Short,-27.87412,0x536804f7b1e89e1a0b040419a467b900009d082cad7fd4df0df07b03f0f679b6,56732920360,True,0.185535,426358339902313,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ME,3.1851,114.1,A,1734673439214,2024-12-20 13:43:59.214,0.0,Open Short,0.0,0x35ba5548591bfa7d80980419ac181b0157007fc0bed00075bcaacc2dfcdd527c,56894750041,True,0.127196,950152354307886,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ME,2.9435,114.1,B,1734683507378,2024-12-20 16:31:47.378,-114.1,Close Short,27.56656,0x04e4bd93348778639efb0419ae4c1a0203b900da5e2d073f683855dfa78e7580,56944112531,True,0.117547,579313851231992,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3207.7,0.218,A,1734690113782,2024-12-20 18:21:53.782,0.0,Open Short,0.0,0x9c52d064a5302ad507350419af646002019b0025bcd5921cef5eb8af39cbebb9,56992900073,True,0.244747,172875851575336,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3184.5,0.4095,A,1734690266027,2024-12-20 18:24:26.027,-0.218,Open Short,0.0,0xff8702e5f86b36fb63a80419af6a7f0202cf0017c4f34983491c1c91f0150cc3,56994096889,True,0.456418,557663197616092,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3186.3,0.6275,B,1734690301131,2024-12-20 18:25:01.131,-0.6275,Close Short,3.921875,0x2d5db6814ae115d1de2e0419af6bec015b00419eb5cf2bfe653d0f1cb237be06,56994446778,True,0.699791,650377132084222,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3189.93837517,0.3028,A,1734690327589,2024-12-20 18:25:27.589,0.0,Open Short,0.0,0xd77af429fade70d28cfa0419af6d0902039200b1940faf47cce6446c787b08c3,56994730239,True,0.338067,940533189879769,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3210.0,0.3028,B,1734690439459,2024-12-20 18:27:19.459,-0.3028,Close Short,-6.077196,0x714fc1f67e0418d661010419af71960000d7bcac07889192b4d95ea3588dba76,56994730240,True,0.340195,311927594256939,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3103.3,0.5612,A,1734694603129,2024-12-20 19:36:43.129,0.0,Open Short,0.0,0xf0c1e60f4e695cd9ae730419b0018c0202c50044cd2161f5ac085c8a54a482f7,57019060721,True,0.60955,909368574945357,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3228.0,0.5612,B,1734697643127,2024-12-20 20:27:23.127,-0.5612,Close Short,-69.98164,0x91d54b395f1f6e8ca2b00419b080540000ba73b810d211d53030c3181ff1a251,57043018214,True,0.634043,403614811696701,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,"{'liquidatedUser': '0x6a571666f799007fd41227b735ec6bed79caf13e', 'markPx': '3226.7', 'method': 'market'}",
ETH,3287.1,0.1502,A,1734701801329,2024-12-20 21:36:41.329,0.0,Open Short,0.0,0x7df49e4b74b55cab896a0419b12e730201cf008f4fdf2e423635e08594c6a8eb,57069013101,True,0.172802,18079220088411,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
ETH,3351.2,0.1502,B,1734705613010,2024-12-20 22:40:13.010,-0.1502,Close Short,-9.62782,0xa956192aacb896098ba00419b1d29100006d4d932806e7eeabc15d60f16d340e,57091607736,True,0.176172,952089217239640,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,"{'liquidatedUser': '0x6a571666f799007fd41227b735ec6bed79caf13e', 'markPx': '3351.0', 'method': 'market'}",
PENGU,0.02747,2657.0,B,1734715842414,2024-12-21 01:30:42.414,0.0,Open Long,0.0,0x6ff4c0f22b288f1fbceb0419b38b500201d400334654913f24d985595f10dcc1,57143352659,True,0.025545,107128403965295,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,,
PENGU,0.025592,2657.0,A,1737286905589,2025-01-19 19:41:45.589,2657.0,Close Long,-4.989846,0x33533838df6598e0f71c041bd6adaa0000f2378b3b180ffe4140c83fea06a99e,64338348892,True,0.023799,488220125743074,USDC,,0x6a571666f799007fd41227b735ec6bed79caf13e,"{'liquidatedUser': '0x6a571666f799007fd41227b735ec6bed79caf13e', 'markPx': '0.025608', 'method': 'market'}",
