币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
BTC,108055.0,0.00037,B,1760649870848,2025-10-17 05:24:30.848,0.0,Open Long,0.0,0x7fb42534567bbc83812d042d9ce3af02042c0019f17edb55237cd087157f966e,203200555432,True,0.01799,57153175526465,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
BTC,108793.0,0.00037,A,1760676915681,2025-10-17 12:55:15.681,0.00037,Close Long,0.27306,0xf7f1d5dee49610c3f96b042da201b702013600c47f992f969bba8131a399eaae,203573888526,True,0.018114,688146596373378,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
BTC,108000.0,0.00037,B,1760681989202,2025-10-17 14:19:49.202,0.0,Open Long,0.0,0x586ad05c2620d1c459e4042da2f96d0202a90041c123f096fc337baee524abae,203575751980,False,0.005993,758136774980774,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
BTC,106896.0,0.00011,A,1760787181085,2025-10-18 19:33:01.085,0.00037,Close Long,-0.12144,0xa8f130a362782f3eaa6a042db6e3310201e20088fd7b4e104cb9dbf6217c0929,205127089413,True,0.005291,11128142747945,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
BTC,106901.0,0.00026,A,1760787220783,2025-10-18 19:33:40.783,0.00026,Close Long,-0.28574,0x5f2b11e1615ecd6860a4042db6e52b02029e00c6fc51ec3a02f3bd342052a753,205127520693,True,0.012507,753261843886801,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,37.955,1.58,B,1760989985105,2025-10-21 03:53:05.105,0.0,Open Long,0.0,0xe7f1f0ae63d395e1e96b042dddc4970202ea0093fed6b4b38bba9c0122d76fcc,207493768054,True,0.026986,759441192657649,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,39.105,1.53,B,1761211519920,2025-10-23 17:25:19.920,1.58,Open Long,0.0,0xd4003c4963660cc3d579042e0841d10208a9002efe692b9577c8e79c2269e6ae,210211872847,True,0.026923,641704693431735,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,38.769,3.11,A,1761220022004,2025-10-23 19:47:02.004,3.11,Close Long,0.772213,0x4efe7e345fb47f1c5078042e09e62b0208740019fab79deef2c729871eb85906,210212135729,True,0.054257,490783725988462,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,39.289,1.52,B,1761243295240,2025-10-24 02:14:55.240,0.0,Open Long,0.0,0x93f679bd46b20f779570042e0e62590202fe00a2e1b52e4937bf251005b5e962,210610684985,True,0.026873,464103423565222,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,47.685816,1.25,B,1761483025203,2025-10-26 20:50:25.203,1.52,Open Long,0.0,0xdc08c0388e9fde4ddd82042e3ca4d8020371001e2992fd1f7fd16b8b4d93b838,212972974160,True,0.026822,1023108015061047,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,48.0,2.77,A,1761519455395,2025-10-27 06:57:35.395,2.77,Close Long,13.633663,0x879675c605c048fd8910042e43b65102013f00aba0c367cf2b5f2118c4c422e8,213326128465,True,0.059832,483163918050650,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,44.0,1.36,B,1761845749800,2025-10-31 01:35:49.800,0.0,Open Long,0.0,0x025d1505f82c370e03d6042e82a28502055100eb932f55e0a625c058b72010f8,213331422139,False,0.008976,996148816367184,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,,
HYPE,36.0,1.66,B,1762287447273,2025-11-05 04:17:27.273,1.36,Open Long,0.0,0xe7e8ed9ff93c61cde962042ed80abb020afc0085943f809f8bb198f2b8303bb8,213331740797,False,0.008964,789424054337992,USDC,,0x6b776957b1f6df67c77183656919b633bb260c5a,"{'liquidatedUser': '0x194604e7c329eca5ef88df77e947129cc2ca0c18', 'markPx': '36.047', 'method': 'market'}",
