币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
XRP,2.378563188,50000.0,A,1742096555430,2025-03-16 11:42:35.430,0.0,Open Short,0.0,0x071b841f8fab9302eef6041fa40e07019700398cea716d23a7b6803f6a2666f0,80084797802,True,41.624846,917121319159152,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.318245398,50000.0,B,1742148696899,2025-03-17 02:11:36.899,-50000.0,Close Short,3015.8801,0x2a65045c2cdc9c8b14f6041fadf49c0202e800d78f5fc0ffba8171cbbcd577a1,80203806477,True,40.569285,597690559437723,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.2995333222,30028.0,A,1742162678755,2025-03-17 06:04:38.755,0.0,Open Short,0.0,0x3a4c4f8a10cd40eeee41041fb0a0c40198000dba6a7d8c9a08d04af684ef54a0,80233435154,True,24.167627,211727271951265,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.29845496,5000.0,A,1742162733880,2025-03-17 06:05:33.880,-30028.0,Open Short,0.0,0xaf6ed3fb6032c342d519041fb0a31201c2009e4d51dac10390defebb385597be,80233539360,True,4.022295,1104297460130686,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.2964,2728.0,A,1742162746846,2025-03-17 06:05:46.846,-35028.0,Open Short,0.0,0x678be81dab148f5d167f041fb0a399015900846ea13d3b860946be85b218c0aa,80233570019,True,2.192602,962348534179829,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.2848971951,4706.0,A,1742162985472,2025-03-17 06:09:45.472,-37756.0,Open Short,0.0,0x0aa9e372456a0ac31301041fb0af2d01c400c812159a491781d031105d2cf9f7,80234150556,True,3.763451,447084993826047,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.2964203005,42462.0,B,1742167066734,2025-03-17 07:17:46.734,-42462.0,Close Short,49.328084,0x8d202c787438c0e8d27d041fb1767d0201320013b823d2a3713c8bb016999b8d,80242718800,True,34.128696,1118824606649732,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.2903621538,30040.0,A,1742167598261,2025-03-17 07:26:38.261,0.0,Open Short,0.0,0xebd6d00d4fc9adabc007041fb1903e01dd00572818a76998fa6d7d9f8617d650,80243884395,True,24.080862,328726999844065,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.299869717,30040.0,B,1742168163540,2025-03-17 07:36:03.540,-30040.0,Close Short,-285.61182,0x59226ad5bfc6b36eb527041fb1abda02029900ddb2b3da72335669627b5de8c5,80245119406,True,24.180823,517720488093225,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.37,24154.0,A,1742236891069,2025-03-18 02:41:31.069,0.0,Open Short,0.0,0xe1672370c41365668f15041fbec37b010100f76cd8f55bdb529fa8a996db3256,80203846125,False,5.724498,459143136042473,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.37,444.0,A,1742236891164,2025-03-18 02:41:31.164,-24154.0,Open Short,0.0,0x0f6bd7c7063b612755b6041fbec37c0201f5009f0f36dae9858ce9df249ef7f7,80203846125,False,0.105228,701397924978014,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.37,395.0,A,1742236892224,2025-03-18 02:41:32.224,-24598.0,Open Short,0.0,0xb2e18affcc3ebfd09297041fbec38d01b3005d97d975137ae4747828373692bd,80203846125,False,0.093615,463588067774881,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.37,7.0,A,1742236893573,2025-03-18 02:41:33.573,-24993.0,Open Short,0.0,0x976260e956831242c369041fbec3a101d90062e976459150ea5ae603d174de25,80203846125,False,0.001659,188985091252287,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.34296608,12500.0,A,1742250512641,2025-03-18 06:28:32.641,-25000.0,Open Short,0.0,0x238639cb327d11a37aa2041fc15b850133002f771a6c77088016956c8b11a7e1,80432417150,True,10.250472,594475073177991,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
XRP,2.335836952,12500.0,A,1742254190705,2025-03-18 07:29:50.705,-37500.0,Open Short,0.0,0xf66cb99f08c4c0484c08041fc20bcf016e0063acf12509f988cdcb5f3a0f7e48,80437127232,True,10.219282,135756552082700,USDC,,0x6beb133d80746fae297514d4c1005f7b77aabc23,,
