币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
PNUT,0.70445567,11093.5,B,1735831209345,2025-01-02 23:20:09.345,0.0,Open Long,0.0,0xb2a8587ffc3075685af1041a7b809202013900545ddbb003a89a65fa6c28f2a1,60245461495,True,2.735206,219813588853873,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,22.5,83.08,B,1735851568678,2025-01-03 04:59:28.678,0.0,Open Long,0.0,0xaf2b9206cc4d958af84e041a8064ae017b00b07e07329b14a935e5d7d70740f7,60280838858,False,0.18693,603386254236400,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,22.5,647.51,B,1735851570124,2025-01-03 04:59:30.124,83.08,Open Long,0.0,0x49afd1f6bf08ae785343041a8064c4010200534225171d84c3c734dd7b398083,60280838858,False,1.456897,139956485294324,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,"{'liquidatedUser': '0x27aa2977358bf397dac512509e611d50a950d86f', 'markPx': '22.678', 'method': 'market'}",
HYPE,22.5,214.46,B,1735851574606,2025-01-03 04:59:34.606,730.59,Open Long,0.0,0x9a5f5c971ef825db7689041a80650b02014000e9e436b32f837634028ad0cea8,60280838858,False,0.482535,1018214808144571,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
PENGU,0.034449,855666.0,B,1735893005774,2025-01-03 16:30:05.774,0.0,Open Long,0.0,0x37fbc262dbbffa5ce803041a8a52600000c60a94c4175e168df73e97d1d7c537,60284822598,False,2.947683,651843160870868,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,"{'liquidatedUser': '0x2260b619dfb869b1a5b7e97b00bf3aad3d1c9583', 'markPx': '0.035636', 'method': 'market'}",
ZEREBRO,0.61836937,52047.0,B,1735898684140,2025-01-03 18:04:44.140,0.0,Open Long,0.0,0xb6e2c4b572be65eac6ea041a8baf5702017d0054802f872791ff913e75df2bea,60390848972,True,11.264488,561544889530619,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,24.2,142.18,A,1735916887328,2025-01-03 23:08:07.328,945.05,Close Long,241.706,0x8b6b86d294b04db08d2c041a900dbc0202e70011ce464c9fbe1c9fa74af4df83,60444507902,True,1.204264,228351522907769,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,24.2,20.0,A,1735916887928,2025-01-03 23:08:07.928,802.87,Close Long,34.0,0x7570656f730db4919f4e041a900dc502016500b0531c43076b92a48f81a91496,60444507902,False,0.0484,446629936972736,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,24.2,782.87,A,1735916888441,2025-01-03 23:08:08.441,782.87,Close Long,1330.879,0xa3be25e64740a9138c3b041a900dcd02016f002e5e4e45869dc84aaf910ab031,60444507902,False,1.894543,755209856307097,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,24.406,636.05,B,1735916991871,2025-01-03 23:09:51.871,0.0,Open Long,0.0,0x65c27108aecbd7f5f8fa041a9014380201a9007c2bb279017b22101d9db71b52,60444893302,True,5.433202,740325891543077,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
BIO,0.81558606,29148.0,B,1735917210934,2025-01-03 23:13:30.934,0.0,Open Long,0.0,0xb2d0276a26d8aeca7d4a041a9021a80201ee00a4d77de039d0814bb3efe4ba91,60445971179,True,8.320438,1062608059099136,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,23.75,497.32,B,1735928042665,2025-01-04 02:14:02.665,636.05,Open Long,0.0,0x043b8df18cab46779d4a041a92bb0b01c7002afe2d5799ee95796c8502a78c0a,60445186379,False,1.181135,107502835481792,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
PNUT,0.75962094,11093.5,A,1735939166601,2025-01-04 05:19:26.601,11093.5,Close Long,612.038869,0x088a56dd5f2736f69f20041a95673f015b00c992b68e3c891cd5d0071beb4f9f,60508492016,True,2.949396,109242656098159,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
ZEREBRO,0.58023129,52047.0,A,1735939204416,2025-01-04 05:20:04.416,52047.0,Close Long,-1984.953503,0x0316a6281886d31beb64041a95699400001bfb78b94a614557aee92448761ece,60489250345,True,10.569741,349913488018132,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
BIO,0.75065974,29148.0,A,1735959763627,2025-01-04 11:02:43.627,29148.0,Close Long,-1892.470568,0x3411804def0ed49c7250041a9a5952010100e462093c0faa2392374103e4f6ec,60448388579,True,7.658076,563702948153373,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
PENGU,0.03747478,855666.0,A,1735976549778,2025-01-04 15:42:29.778,855666.0,Close Long,2589.055022,0x2c7462b367fc5903f4c0041a9e611e01b500db079d89ccdb0cd24d9f76809cf2,60582056456,True,11.223054,229032397280949,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
HYPE,23.51790646,1133.37,A,1735976552852,2025-01-04 15:42:32.852,1133.37,Close Long,-680.241357,0xbcb33bc6e6e9a1d2486a041a9e614f0201df009170b42c6be3edc4ffa05fae9d,60582063177,True,9.32906,957938833575485,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
TURBO,0.01030258,3883806.0,B,1735976856222,2025-01-04 15:47:36.222,0.0,Open Long,0.0,0x4b452575b5e69bb6f6b0041a9e73f901700037aa92527e68a8b2410fdb67d6bb,60582673557,True,14.004623,355074514163157,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
BIO,0.76919606,46646.0,B,1735977708780,2025-01-04 16:01:48.780,0.0,Open Long,0.0,0x2f34206eb50aade9f0e3041a9ea86b017a00970ef684483410165418c4f8377d,60584255188,True,12.557963,117187042977406,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
BIO,0.74739968,46646.0,A,1735979907651,2025-01-04 16:38:27.651,46646.0,Close Long,-1016.711076,0x60d92e5d50733a48b460041a9f30190201a100c6ab0dd3f8e5d01d7684a2e48d,60589082924,True,12.202119,928797083627341,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
TURBO,0.0101218,3883806.0,A,1735979912344,2025-01-04 16:38:32.344,3883806.0,Close Long,-699.861015,0xc6b450a1725d6343002e041a9f30620196005839ca85b7754534eadd4c0fdc05,60589090365,True,13.758882,215828092177077,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
kBONK,0.03561,487989.0,B,1736002958194,2025-01-04 23:02:38.194,0.0,Open Long,0.0,0xcfe1b9e665130910f4ff041aa4bccd01e500a60a476e0ecfc11e96589761e26f,60635933079,True,6.08205,666917472263395,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
kBONK,0.03557109,487989.0,A,1736003213772,2025-01-04 23:06:53.772,487989.0,Close Long,-18.98652,0x6993002b06e713e97c4f041aa4cc9c01ae008852fc15865a0e66f30ecfb4acec,60636503560,True,6.075402,734957847392806,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
AI16Z,2.0196,6320.8,B,1736004476358,2025-01-04 23:27:56.358,0.0,Open Long,0.0,0xbf862501d34c87d8d131041aa51a930201b400952c5a26562f3b0ca0276c3d39,60636335726,False,1.276543,531452143593211,USDC,,0x6f2c8ce5b63ce8d36c341855d44d1a412a93a0b4,,
