币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ONDO,0.23277,21407.0,B,1707752584090,2024-02-12 23:43:04.090,0.0,Open Long,0.0,0xc4bee60589ffc862996404079691ae0202f5005230438379c410045b23c9c506,9467701555,True,1.245726,450073324139248,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
ONDO,0.23271,16010.0,B,1707752591534,2024-02-12 23:43:11.534,21407.0,Open Long,0.0,0x51a4f9b78628db61a3a004079691c302015800c2b5dcca5851951d294874fb4a,9467714511,True,0.931421,761309644671195,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31224044,4165.0,B,1707752989631,2024-02-12 23:49:49.631,198.0,Open Long,0.0,0x3988b639e8a853ca699404079695f80201ee001af88d0f2f3c267594c0cfc9cd,9468443529,True,0.325119,834932214436351,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31204,1932.0,B,1707753038071,2024-02-12 23:50:38.071,4561.0,Open Long,0.0,0x2ef84c1d8757141233010407969687011c00b044e25862232e49a5f17e9fe694,9468459481,False,-0.012056,441709185479450,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31204,453.0,B,1707753038685,2024-02-12 23:50:38.685,6493.0,Open Long,0.0,0xaffa97ba3a664709254e04079696890201160040fe32c06d278d95a5141edeca,9468459481,False,-0.002827,730062991431587,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31204,369.0,B,1707753039291,2024-02-12 23:50:39.291,6946.0,Open Long,0.0,0x5cfe7f1bcfd97e2f322c040796968b011300ef9b28bb9c572f527dcc96212f2f,9468459481,False,-0.002302,250124916215715,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31204,384.0,B,1707753040501,2024-02-12 23:50:40.501,7513.0,Open Long,0.0,0x7ae8262325fa50ff5524040796968f011d000bbe17ec31ca744b6155acb59928,9468459481,False,-0.002396,350705364367563,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.31204,1027.0,B,1707753040608,2024-02-12 23:50:40.608,7897.0,Open Long,0.0,0x8d67230d60295bfc0ac3040796969001ad00a45fcdb4e780f184f0e86071b87e,9468459481,False,-0.006409,409950830333104,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
INJ,35.80069912,45.2,A,1707759851378,2024-02-13 01:44:11.378,45.2,Close Long,17.818252,0x76200d8ada6114d1ddc7040796e0e30150009bddea2d879d4f258cb7dcbb43be,9477948663,True,0.404547,788752446113659,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.32103878,13088.0,A,1707759854386,2024-02-13 01:44:14.386,13088.0,Close Long,107.397256,0x0c2584a99d86c570f923040796e0ed02010300acddae78b7f0e302e9bf06bde6,9477952450,True,1.050438,220442358671999,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
ONDO,0.23841931,37417.0,A,1707759856000,2024-02-13 01:44:16.000,37417.0,Close Long,212.353192,0x6dc0e84e5482f8340693040796e0f201fa0038ec146ccc24e9ab27eddb3ab1fa,9477954164,True,2.230233,890526576059388,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.46080259,20399.0,B,1707924921246,2024-02-14 23:35:21.246,35170.0,Open Long,0.0,0xa374ac279e4220c310e104079e0c5502029300a1d06f6d4de023f2d36d039062,9649225756,True,2.349977,525389777797015,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45771447,15435.0,B,1707925457922,2024-02-14 23:44:17.922,67256.0,Open Long,0.0,0xe134f5542f0addb430c304079e122c02021e008ca410b0c1c084ae090554c1b6,9649846417,True,1.766205,648769179862147,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45752017,12411.0,B,1707925462693,2024-02-14 23:44:22.693,82691.0,Open Long,0.0,0xc04003d9ece7d633eaad04079e123c012d001b8a3ef5a43d977e386f18dd57c2,9649851025,True,1.419568,640882039548358,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45758053,100496.0,A,1707925972064,2024-02-14 23:52:52.064,100496.0,Close Long,1988.065452,0x1ca174925a99922b6d6104079e17a90201d200b98c93c1b2bc1f6c1da713aaf1,9650492789,True,11.49625,13353960914897,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.46158546,73537.0,B,1707926441143,2024-02-15 00:00:41.143,0.0,Open Long,0.0,0x4d07907e74009278b55b04079e1cd00201ff0011a1ed9b4993a0cc06b1e1e822,9651052787,True,8.485897,403804143571283,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.46220379,16827.0,B,1707926447692,2024-02-15 00:00:47.692,73537.0,Open Long,0.0,0xac219127ab32d3b54fd704079e1ce201140025d237e19fc7a9fbd5bbfa5a013d,9651060079,True,1.944374,1103569838923334,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45604663,90364.0,A,1707943258080,2024-02-15 04:40:58.080,90364.0,Close Long,-510.86128,0x19ce1a0f79dd242b8b8104079ed8f901500069f383f99c68d363fbc2e4e3a58d,9667903812,True,10.302544,1089337355204827,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45723,41148.0,B,1707943268686,2024-02-15 04:41:08.686,0.0,Open Long,0.0,0xd814aa48019497efc96204079ed913020174008a36e1aa650de95277f82a991f,9667911871,False,-0.376282,271689118101715,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45723,21874.0,B,1707943273076,2024-02-15 04:41:13.076,41148.0,Open Long,0.0,0xabcb21ef03b07141661204079ed91e010100bcbad86c8655d46bea16734f1a4c,9667911871,False,-0.200028,869811976006140,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45723,237.0,B,1707943274918,2024-02-15 04:41:14.918,63022.0,Open Long,0.0,0x7315b26e52d5c88e057a04079ed9220148007cf15eaec5e74d957991ee410d4e,9667911871,False,-0.002167,103076074266659,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
WIF,0.45723,234.0,B,1707943275060,2024-02-15 04:41:15.060,63259.0,Open Long,0.0,0x7483750be6237d715a9004079ed92302012600832b49102f7fde8a6693132bcb,9667911871,False,-0.002139,662225455404438,USDC,,0x71959b54ba31f50ae672a634ebe0f5557bd13e89,,
