币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
FET,1.699,9.0,B,1734411334488,2024-12-17 12:55:34.488,0.0,Open Long,0.0,0x77239668ecd60830cdcb04196dd60101080026b71a198cfba760c2238526f7b8,55938094594,False,0.001529,1013283508569345,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
RENDER,8.8444,82.3,B,1734411365621,2024-12-17 12:56:05.621,0.0,Open Long,0.0,0x9ad1e0f2c0d33eff498404196dd7e6017f0094456a0a570c6e038a9476ea687b,55938221117,True,0.254762,715742035926942,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
FET,1.699,9.0,B,1734411426256,2024-12-17 12:57:06.256,9.0,Open Long,0.0,0xb722c06f08733208a96804196ddb9f01d200b5d0c91f5b7b27b3c148ff141da0,55938094594,False,0.001529,682243856197801,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
FET,1.699,440.0,B,1734411483479,2024-12-17 12:58:03.479,18.0,Open Long,0.0,0x02a4cd489a711153b90004196ddf1e016a00e9e338d07bb7058f92bff36ce923,55938094594,False,0.074756,803090758607949,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
FET,1.699,424.0,B,1734411483947,2024-12-17 12:58:03.947,458.0,Open Long,0.0,0x8de99ec730ddd83c24ba04196ddf2602010101032fb635bd3d4780650a07893e,55938094594,False,0.072037,892369678958320,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
FET,1.684,582.0,B,1734430977133,2024-12-17 18:22:57.133,882.0,Open Long,0.0,0xc964a118cc163d2e09550419728621015d000c5f9594090900d6986d633d1202,55981242668,True,0.34303,160438734196049,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
FET,1.5758,1464.0,A,1734495982111,2024-12-18 12:26:22.111,1464.0,Close Long,-171.633504,0xd8c5840a5a3c39b10f33041981f1a10000e2eecbf33a948c90b1aefb39263686,56178557456,True,0.807439,405709543512190,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '1.5757', 'method': 'market'}",
RENDER,8.3379,82.3,A,1734495982111,2024-12-18 12:26:22.111,82.3,Close Long,-41.68495,0xd8c5840a5a3c39b10f33041981f1a10000e2eecbf33a948c90b1aefb39263686,56178557457,True,0.240173,31948150448191,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '8.3379', 'method': 'market'}",
PENGU,0.029962,14628.0,B,1734496733597,2024-12-18 12:38:53.597,0.0,Open Long,0.0,0xd4c62b0b43cdde2e97d30419821f68020183009bcd22dca8cd8c6bd2e60a43f9,56182253106,False,0.043828,350442905256175,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
HYPE,24.703,11.58,B,1734496827258,2024-12-18 12:40:27.258,0.0,Open Long,0.0,0x02d2c64a6997d6d22110041982251c02016700eb9bdc1f26e674af5a2669c716,56183076035,True,0.10012,39076549340531,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
BTC,104890.0,0.01635,B,1734521499528,2024-12-18 19:31:39.528,0.0,Open Long,0.0,0x51c7514a2a9c9320f4e2041988043701d900b520463c92396cc456fe96b9052f,56244806606,True,0.600233,9142692419710,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
BTC,99560.0,0.01635,A,1734574074356,2024-12-19 10:07:54.356,0.01635,Close Long,-87.1455,0xcb4c57d1a9992199050704199482760000f006e71be278d923d6e8027dbb4564,56475038968,True,0.569732,19893064607514,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '99560.0', 'method': 'market'}",
HYPE,22.449,11.58,A,1734574074356,2024-12-19 10:07:54.356,11.58,Close Long,-26.10132,0xcb4c57d1a9992199050704199482760000f006e71be278d923d6e8027dbb4564,56475038969,True,0.090985,918176319015236,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '22.47', 'method': 'market'}",
PENGU,0.032905,14628.0,A,1734574074356,2024-12-19 10:07:54.356,14628.0,Close Long,43.050204,0xcb4c57d1a9992199050704199482760000f006e71be278d923d6e8027dbb4564,56475038970,True,0.168467,348101452349006,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '0.032927', 'method': 'market'}",
BTC,101141.0,0.02913,B,1734583079922,2024-12-19 12:37:59.922,0.0,Open Long,0.0,0x65f305e9d30c0a3bcbb5041996a629017c008c9b93f2bd5ea87a2326832042ee,56519324258,True,1.031183,286174639197394,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,,
BTC,98422.0,0.02913,A,1734630592840,2024-12-20 01:49:52.840,0.02913,Close Long,-79.20447,0x2428ca61bb814869b3990419a1ed57000078bf3d82eb41a1b773bef6bdbbd240,56685619001,True,1.003461,228321304448245,USDC,,0x73d8b7f888518736a3c857d209d1c0b34ab01758,"{'liquidatedUser': '0x73d8b7f888518736a3c857d209d1c0b34ab01758', 'markPx': '98483.0', 'method': 'market'}",
