币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
PYTH,0.50718,985.0,B,1707527652115,2024-02-10 09:14:12.115,0.0,Open Long,0.0,0x5f3139381a1ce993264804078c9a8501d4002a15416a320c56f9f293e952dbbf,9252783869,True,0.124893,1074064908620869,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
ZETA,1.4104,48.2,B,1707527779968,2024-02-10 09:16:19.968,0.0,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,9252863689,False,-0.001359,913926180850448,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
ZETA,1.4104,286.5,B,1707527802321,2024-02-10 09:16:42.321,48.2,Open Long,0.0,0x4f45b1da06fc151a61a104078c9c1d01b70102cdfef6020f60c5272c25a8818e,9252863689,False,-0.008081,625922700312782,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
ZETA,1.4313,334.7,A,1707533200226,2024-02-10 10:46:40.226,334.7,Close Long,6.99523,0x629c5880ab24018a59f504078cda7d01e100b35998a05b0291e2193809079c59,9258365341,True,0.119764,1027218794607290,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,33.0,B,1707533241380,2024-02-10 10:47:21.380,985.0,Open Long,0.0,0x6e86dc600a67afedeed104078cdb02014e00422bb0c0147a8c4131c098d467c9,9258393286,False,-0.000344,108617660674733,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,100.0,B,1707533245797,2024-02-10 10:47:25.797,1018.0,Open Long,0.0,0x09ab2cc6bfe5c6cf0e1404078cdb10010a0002e3e34a8023f7447cd759c10b66,9258393286,False,-0.001043,686063713946139,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,100.0,B,1707533266521,2024-02-10 10:47:46.521,1118.0,Open Long,0.0,0x1f2f68196379f2c5e22704078cdb59014400232a377844e70534260a4bbdfff6,9258393286,False,-0.001043,136317523725052,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,100.0,B,1707533284195,2024-02-10 10:48:04.195,1218.0,Open Long,0.0,0x1ce3228ec1d5a92335dd04078cdb89014300d4730c2d2e259631b251d550d335,9258393286,False,-0.001043,677679446575154,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,100.0,B,1707533289242,2024-02-10 10:48:09.242,1318.0,Open Long,0.0,0x415359aee6f726a0f3ad04078cdb9901b900e4a7230f3af84e0196db4b4f6edf,9258393286,False,-0.001043,541968293176929,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,100.0,B,1707533294133,2024-02-10 10:48:14.133,1418.0,Open Long,0.0,0x505357433964d3d1524c04078cdba6010700f8698329c4c73e26dfd7b2463f4e,9258393286,False,-0.001043,34207649993965,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.52155,789.0,B,1707533294590,2024-02-10 10:48:14.590,1518.0,Open Long,0.0,0xbb4cec76ed544d6a59aa04078cdba70142008f25f267382a9ca1382e1f79abfa,9258393286,False,-0.00823,909348104264408,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
PYTH,0.50512,2307.0,A,1707562217550,2024-02-10 18:50:17.550,2307.0,Close Long,-23.748258,0x00919cb225ffb51b33e004078e28080167003c961a6f8027a572715df0e5f6e7,9286751925,False,-0.023306,917585029396137,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
SUI,1.7547,69.6,B,1707577897273,2024-02-10 23:11:37.273,0.0,Open Long,0.0,0x3fa4d6c9ba097d58244d04078edb8f01350084c602e59daeda2f38dae14090c8,9302013424,False,-0.002442,238719920510744,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
SUI,1.7547,503.9,B,1707577916363,2024-02-10 23:11:56.363,69.6,Open Long,0.0,0x53325b12e23e3365d2c304078edbc10163001db16d030880a0f15a93a926b918,9302013424,False,-0.017683,383424494752873,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
SUI,1.7338,573.5,A,1707645694769,2024-02-11 18:01:34.769,573.5,Close Long,-11.98615,0x5d9df29de359503d9d48040791e142011a000b3b47137745922cb941f9f01cde,9359543327,True,0.248583,560009669779735,USDC,,0x77a2bd60f3345d0cb1456e409f4eb0c14bec1300,,
