币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2504.1,5.9899,A,1705287207819,2024-01-15 10:53:27.819,0.0,Open Short,0.0,0x1d98b925ebd979c8684b0407280b45010d002fcb86ced82d3a4f68518ba1162d,7158182478,True,3.749827,747223502142187,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
BTC,42403.0,0.35078,B,1705287227922,2024-01-15 10:53:47.922,0.0,Open Long,0.0,0xfcb141796fdb2ab3ea920407280b7d02012400f6e99f9b465cb7c9b1c6f01df1,7158194212,True,3.718531,751285211780261,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
ETH,2513.5,5.9899,B,1705296940050,2024-01-15 13:35:40.050,-5.9899,Close Short,-56.30506,0xab847f5a2c92552df1ba0407287e3601a800b8245a1f1e4179d615c350ee1f57,7166137647,True,3.763903,676896172389542,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
BNB,317.51,33.171,B,1705296969510,2024-01-15 13:36:09.510,0.0,Open Long,0.0,0xd76a12287f544659a1ae0407287e8c02015200b32be9e76a9c77102d1d6ba615,7166167193,True,2.63303,1094025030837441,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
BTC,42674.70089515,0.35078,A,1705297625885,2024-01-15 13:47:05.885,0.35078,Close Long,95.32243,0xc0f1ee0dc748a6490a0c04072886360201160064923a1ca40569900460901731,7166653836,True,3.742356,137077641833662,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
BNB,312.6,33.171,A,1705306650175,2024-01-15 16:17:30.175,33.171,Close Long,-162.86961,0x0c16580bf9b2521f10a8040728f16a010800a7d002ada68f034de401f4ee4b11,7174098176,True,2.592313,889353633427118,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
TIA,19.81695386,854.0,B,1705306972056,2024-01-15 16:22:52.056,0.0,Open Long,0.0,0x1103782056efa86a31f5040728f56101b900eb531439ae57e1e1c9500eccfb39,7174336838,True,4.230918,1050830755983643,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
TIA,19.819,854.0,A,1705307383610,2024-01-15 16:29:43.610,854.0,Close Long,1.7507,0x50adcda9847301f7f496040728fa78013e007617abdd7e45c4b780c5e91e9de4,7174649488,True,4.231355,445132848364549,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
WIF,0.37349069,6778.0,B,1705307416348,2024-01-15 16:30:16.348,0.0,Open Long,0.0,0x34322f5cbcc87f230b13040728fad9018300172f0c2c5d6c809b57dfc22641d0,7174675380,True,0.632878,462618056470301,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
WIF,0.37309,6356.0,B,1705307695179,2024-01-15 16:34:55.179,6778.0,Open Long,0.0,0xf40c2403bf8ab6fc0913040728fe1a016900e2c1e549d783e101d8a84cef91d6,7174894358,True,0.592839,603454570015001,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
WIF,0.37209262,13134.0,A,1705309299217,2024-01-15 17:01:39.217,13134.0,Close Long,-15.805224,0x202695c42b65f62b110904072910f301b200cf2a48575b065a87ed45ec42552e,7176255077,True,1.221765,283310811053226,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
TIA,19.882,814.1,B,1705309315510,2024-01-15 17:01:55.510,0.0,Open Long,0.0,0x653ad7b196e161dfdd81040729111f01ac00068855f7c4ca847b903533aa95f1,7176266212,True,4.046483,551566753360271,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
TIA,19.954,814.1,A,1705311263903,2024-01-15 17:34:23.903,814.1,Close Long,58.6152,0x33d8b0bfb479f654423f04072927e201ad00958663b6185b7bc185fcc0d76c3c,7178014084,True,4.061137,698494801025796,USDC,,0x79d14ff95b27b8df451478a64b10dc4e8b14ea7f,,
