币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2622.608541,3.8122,A,1730182232983,2024-10-29 14:10:32.983,0.0,Open Short,0.0,0x596cd5c61618bd353e5b0415744ec6015800bc29edb21b8508e39c77358e25cf,43774625156,True,3.499267,322969181879959,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
DOGE,0.16574702,60344.0,B,1730182239871,2024-10-29 14:10:39.871,0.0,Open Long,0.0,0x1b2880f7e77a1932d0300415744f330187000bb8d98bdc29ab3ebdc1845b5be1,43774633037,True,3.500641,60454571352994,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
DOGE,0.16467675,60344.0,A,1730183518534,2024-10-29 14:31:58.534,60344.0,Close Long,-64.583188,0xb4d6d0ea1147854eb1080415749e7a0109004d68b58b106a9b8fc58eedec4221,43776121746,True,3.478038,213551971512112,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
BTC,71199.0,0.14045,B,1730183602046,2024-10-29 14:33:22.046,0.0,Open Long,0.0,0x2f0be66bc0be339ebb69041574a3aa0145002d2104b1cb22e1702c11742a74c9,43776248326,True,3.499964,843383469089435,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
WLD,2.0846,1199.1,A,1730184185022,2024-10-29 14:43:05.022,0.0,Open Short,0.0,0x0647de7f547c2f917be2041574c7cd011a001059d753592713044a0732ce73d6,43776935327,True,0.874875,753959827865139,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
DOGE,0.1645,15198.0,B,1730184202170,2024-10-29 14:43:22.170,0.0,Open Long,0.0,0x318ea573d96e0cee23ba041574c8e00150000c928cb9f20d230251fae8d23547,43776949930,True,0.875024,828230235723159,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
DOGE,0.16439,15198.0,A,1730184231236,2024-10-29 14:43:51.236,15198.0,Close Long,-1.67178,0x197ea75eda3c4ae3c3b9041574caad013c00bbeb3d7fc8774fb0ece83967e1e6,43776984561,True,0.874439,560078324841485,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
WLD,2.084,1199.5,A,1730184244083,2024-10-29 14:44:04.083,-1199.1,Open Short,0.0,0x99f019938d861a9c57d7041574cb74015b00129fbdff92b28af31615c31afaec,43776997261,True,0.874915,770428251732684,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
SOL,180.28,27.73,B,1730184316432,2024-10-29 14:45:16.432,0.0,Open Long,0.0,0x7671672e7205ed9d7740041574cfed01690075017b1d5abfd464691c879a5734,43777070041,True,1.749707,738484765470797,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
SOL,180.47,27.73,A,1730184537955,2024-10-29 14:48:57.955,27.73,Close Long,5.2687,0x8a008ef74ae9df6e4481041574dda5016a002da0976e805e1dd9dcbe974f5c28,43777418388,True,1.751551,331206040795822,USDC,,0x7a4e832f014a2ae6bc3e3fc5a67b3710f5e523ee,,
