币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SEI,0.85282,2000.0,B,1708626270965,2024-02-23 02:24:30.965,0.0,Open Long,0.0,0x81ed2d8932cc75e438a60407bc721901a90099413125e68828fda57efadba545,10541728942,True,0.42641,45218558638096,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
SEI,0.89658,2000.0,B,1709075957013,2024-02-28 07:19:17.013,3000.0,Open Long,0.0,0x72571de1751aab3672410407cfab3d020126003a7cc068568ac3c4a9b76cf2ee,11156601659,True,0.44829,793167220607816,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
ETH,3340.5,8.4159,B,1709126423398,2024-02-28 21:20:23.398,0.0,Open Long,0.0,0xa3d63b47000528bda6e30407d1d23c012200819d6a4ef0842f948c06a574fdad,11241353334,True,7.028328,18025972764512,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
LINK,20.49214834,1013.9,B,1709129102818,2024-02-28 22:05:02.818,0.0,Open Long,0.0,0xee102560af022d3d568f0407d1edba01210082b932afc5329e530c435dc23a90,11248536530,True,5.194245,395294908026526,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
LINK,20.03569264,506.9,B,1709129245425,2024-02-28 22:07:25.425,1013.9,Open Long,0.0,0xa3a4fc33f62e315b29330407d1ef4801a3003883b8c05ba0500c73128a31f071,11248884508,True,2.539022,42799041456186,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
LINK,20.013,445.3,B,1709129991676,2024-02-28 22:19:51.676,1520.8,Open Long,0.0,0xf33652ad55648e096caf0407d1f6e701b7008d4f4d6da2ac77fef977e39ca12f,11250775597,True,2.227946,1060917555028630,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
LINK,19.64115498,1966.1,A,1709130104244,2024-02-28 22:21:44.244,1966.1,Close Long,-1228.389834,0x7940ab3d02c0c4d4e9670407d1f805010f0077b8fd7b6813e8f3df90af06395f,11251040034,True,9.654115,1030216776455803,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
ETH,3338.83525232,8.4159,A,1709130399816,2024-02-28 22:26:39.816,8.4159,Close Long,-14.01035,0xc6600f56572e7d9ddc0c0407d1fb01019200fd35474031a68e248c44fdbe930b,11251887798,True,7.024823,800222438917215,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
ETH,3363.55212632,9.8668,B,1709132235705,2024-02-28 22:57:15.705,0.0,Open Long,0.0,0x11f13eb71bd8b8e5e4b30407d20e03020305004c77971e0a9d258625e5193dd6,11256594764,True,8.296872,592096744364198,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
ETH,3391.3,9.8668,A,1709138378047,2024-02-29 00:39:38.047,9.8668,Close Long,273.8037,0xc9617d0a412ceb5294940407d24e21019c005218347cc80b1dfd97d4e3b36959,11270904305,True,8.365319,702613093173555,USDC,,0x7bf80ae2f2f094e2988a6c02327e47533d1056e4,,
