币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
MELANIA,8.6981,1.7,A,1737378442018,2025-01-20 21:07:22.018,0.0,Open Short,0.0,0x5685dbeeaafa2518ee31041beccd6e0201280025ec58e5fafdb270f023d8e0a2,64848407700,True,0.005175,49644806000429,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,8.3181,1.7,B,1737378821407,2025-01-20 21:13:41.407,-1.7,Close Short,0.646,0x261bf18804c4cf47f04f041bece51c020196002c5bc4b111639d2e28755f9f92,64850483395,True,0.004949,1105246193915470,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,8.3729,2.3,A,1737378846363,2025-01-20 21:14:06.363,0.0,Open Short,0.0,0xc3c30693dc482b3dcd28041bece69f0202b700319f883b8ca1ecc1cc9c403b12,64850654205,True,0.00674,944022072880308,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,7.948,2.3,B,1737379738195,2025-01-20 21:28:58.195,-2.3,Close Short,0.97727,0xb3c4657ecc791f03f880041bed1e8002012b00c841a06f040deb99ad5c691dc7,64856160736,True,0.006398,196931052341944,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,7.4635,1.7,A,1737380826452,2025-01-20 21:47:06.452,0.0,Open Short,0.0,0x549f6925e7dc4851139a041bed62990202aa00afdc93056b47375dc5e5f40390,64863747491,True,0.00444,149307168807167,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,7.78,1.6,A,1737381004414,2025-01-20 21:50:04.414,-1.7,Open Short,0.0,0xff8b7f542c77b802b1f2041bed6da602027f0095f2f794092c3d224f9336c4aa,64864702780,True,0.004356,188248939783903,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,7.8734,1.6,A,1737381150348,2025-01-20 21:52:30.348,-3.3,Open Short,0.0,0x34898c39e46940febd48041bed76d202030e00aea9d700e982252b2ed0a9fa79,64865450204,True,0.004409,165332839742618,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,8.0613,1.6,A,1737381659491,2025-01-20 22:00:59.491,-4.9,Open Short,0.0,0xb11b258cf83b742eeb1c041bed96b50168002a0f9d4f3ccb37a416f67b72b657,64867846515,True,0.004514,493880363739398,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
MELANIA,8.4304,1.5,A,1737382506188,2025-01-20 22:15:06.188,-6.5,Open Short,0.0,0x719864b5d37538b7b8c1041bedcba401c9004d6e7d9dc8c0fabd87e34a360df1,64872402743,True,0.004425,780154845590478,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
SPX,1.6151,12.3,A,1737382916515,2025-01-20 22:21:56.515,0.0,Open Short,0.0,0x1d6dd353458986b78580041bede55301c3009c1f31498303a2e51fcee0741629,64874460443,True,0.006953,1081221118272627,USDC,,0x7ffd8fef547c5141aafd022dc98394024c4e7c94,,
