币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
ETH,2228.1,5.7955,B,1704317631558,2024-01-04 05:33:51.558,0.0,Open Long,0.0,0x75ff75b1b3641a7585a70406f754570180008779edd1a4cb0557a015dae95c43,6114586923,True,3.228238,22305006153023,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2226.7,3.9204,B,1704317659794,2024-01-04 05:34:19.794,5.7955,Open Long,0.0,0xa11b7ae969bfc40f00140406f754b501ce00c47c83fbdcd58a5248669e9461da,6114615329,True,2.182388,104256540483204,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2226.98915513,0.9682,B,1704317943105,2024-01-04 05:39:03.105,9.7159,Open Long,0.0,0x78383915fc45123bc8380406f7590d01bc00b2db9ea5e246cc86ca1ef422975d,6114889618,True,0.539041,106990704103715,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
NEAR,3.9156,1337.8,B,1704318093876,2024-01-04 05:41:33.876,0.0,Open Long,0.0,0xcc81d2e720689b4274470406f75b3502012f00aad9aef3244b100527d2b9d03e,6115016164,True,1.309571,566074928615533,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2228.27542984,10.6841,A,1704318294170,2024-01-04 05:44:54.170,10.6841,Close Long,8.498452,0x44c89a8058f2537ef25f0406f75e2e012000a88da23b424699b05c6cbeac67d9,6115168100,True,5.951774,75785817618100,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2213.7,9.6505,B,1704321262968,2024-01-04 06:34:22.968,0.0,Open Long,0.0,0xdc4829870e057e5d45990406f788b7010e0050586d738a7a58d94f2acd008ab3,6117822396,True,5.340827,326830867057228,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2211.2,4.3621,B,1704321508888,2024-01-04 06:38:28.888,9.6505,Open Long,0.0,0x7d03cbed5b704ba13eef0406f78c6d019a00a61fabf3ea386fe237e738382cc9,6117961920,True,2.411368,209358437668637,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
NEAR,3.81,200.7,B,1704322867781,2024-01-04 07:01:07.781,1337.8,Open Long,0.0,0x23ff3d5287c2ebcc4fcb0406f7a12b014001018f4cbf5d768b304e7348124d1e,6115097182,False,-0.015293,373174888952831,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
SEI,0.7915,2581.0,B,1704327217390,2024-01-04 08:13:37.390,0.0,Open Long,0.0,0xf97fc844986fb70b80db0406f7e0d40163005755e82a51fd33920ffc871051e7,6122577604,True,0.510715,412140080676694,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
NEAR,3.69019772,1538.5,A,1704331033958,2024-01-04 09:17:13.958,1538.5,Close Long,-325.58088,0x85b233f00fa0c989908b0406f8178301b600cf4f35134603481fa08f2d0c9c58,6126046261,True,1.419341,333295996372747,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2204.59989509,4.7661,B,1704331566443,2024-01-04 09:26:06.443,14.0126,Open Long,0.0,0x66534e90a9f1b47629ae0406f81ed40201360003c80e662051c4d0b830936ef4,6126826451,True,2.626834,1113651495390936,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2205.6,5.4912,B,1704331599852,2024-01-04 09:26:39.852,18.7787,Open Long,0.0,0x89a06b45d6e09d21030e0406f81f480120007cba5c52ceded14244968cccb17d,6126880932,True,3.027847,1108292167869687,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2230.3,24.2699,A,1704336453497,2024-01-04 10:47:33.497,24.2699,Close Long,501.658833,0xd5199cb4c58fdbab26cf0406f8647401ca00ef9a9fcd8facf0422b7a5a631df9,6131633866,True,13.532289,395543252069082,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
SEI,0.80747,2581.0,A,1704341749339,2024-01-04 12:15:49.339,2581.0,Close Long,41.21857,0x512017970ce434bbe80f0406f8b18b013c00468b8ebabf5b3e9c94e1f0b18870,6136477105,True,0.52102,1087198040060291,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2233.89986177,10.8513,B,1704341906498,2024-01-04 12:18:26.498,0.0,Open Long,0.0,0xd11a8f657a49daac83900406f8b3a601340054b9b9edb4fecdda19ddd0e83362,6136619572,True,6.060179,737615845060741,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2239.0,10.8513,A,1704342588290,2024-01-04 12:29:48.290,10.8513,Close Long,55.450143,0x6b65e272898ec90175c00406f8bd5e012800cef64e0f2df5a5369e8099ec7f5b,6137217994,True,6.074015,559017644664290,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2235.7,4.6098,B,1704346384988,2024-01-04 13:33:04.988,0.0,Open Long,0.0,0xbc48ef47610d38eccd7b0406f8f390018e006490f3e90fefb2fcfa17cc1c285a,6140451974,True,2.576532,596403553145643,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2242.9,4.6098,A,1704346921929,2024-01-04 13:42:01.929,4.6098,Close Long,33.19056,0x04992e4de6b64167169f0406f8fb200127000357b905ca20e1dfdc900c952acb,6141001059,True,2.584829,950269213568509,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2263.36541159,3.5509,B,1704386726109,2024-01-05 00:45:26.109,0.0,Open Long,0.0,0x78089a025297929a72820406fb289a019a007619ad33cc0a3ba79fa008da9b62,6184704466,True,2.009245,627981002228308,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2276.51319947,3.5509,A,1704388120848,2024-01-05 01:08:40.848,3.5509,Close Long,46.705696,0xd4509d510063e91698b10406fb3c0a01d100bbefc00f87999cfa3a59703d0c0c,6186124689,True,2.020914,494186666608661,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2282.3,5.6913,B,1704389485069,2024-01-05 01:31:25.069,0.0,Open Long,0.0,0x458f9dff7bd88d1f82e30406fb4f6b01de00542ec5b1b15b946def801e359de2,6187583373,True,3.247313,567503329165756,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
ETH,2272.97074784,3.8257,B,1704390202133,2024-01-05 01:43:22.133,5.6913,Open Long,0.0,0x5d8ec86a7d106485cf980406fb599d01440086126f7b11acb44b2bc5f9a8a436,6188295594,True,2.173924,1084025039393428,USDC,,0x80ab56fff57999b965b414f5c7eaf50f6a95c49f,,
