币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,129.19,0.3,A,1726658051414,2024-09-18 19:14:11.414,0.0,Open Short,0.0,0x3804b161932daf7f7a8d041222ed9e015100e591422624983c22d9c0130ed090,38249497169,False,0.003875,254987493867603,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,129.19,3.85,A,1726658088968,2024-09-18 19:14:48.968,-0.3,Open Short,0.0,0xa2c9081554b56b0f21dc041222efeb016b000cd084316f4748574f685538e514,38249497169,False,0.049736,460736989420437,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,129.19,0.52,A,1726658089046,2024-09-18 19:14:49.046,-4.15,Open Short,0.0,0x19ece620478158b6753a041222efec0133008be016b2257edde0d96a99c95233,38249497169,False,0.006717,1111726380293004,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,129.19,7.43,A,1726658101396,2024-09-18 19:15:01.396,-4.67,Open Short,0.0,0x1b5e9e555fdf5b803050041222f0aa02012400b0a658a534033a02aa0ebf3bba,38249497169,False,0.095987,978391514190485,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SUI,1.177,1624.4,A,1726673315088,2024-09-18 23:28:35.088,0.0,Open Short,0.0,0x846c3f1182d815ebf47a0412269148015d00435a3cae52905f35d56e7e7ad4d0,38268611720,True,0.669171,398659380018040,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SUI,1.1748,1624.4,B,1726673972389,2024-09-18 23:39:32.389,-1624.4,Close Short,3.57368,0x6d7bc103f955a12727d1041226b94e02013e004e1284dce9742bcb21d1bd18be,38269510695,False,0.190834,236464005320263,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
ZETA,0.59069802,1575.8,B,1726676135842,2024-09-19 00:15:35.842,0.0,Open Long,0.0,0x909c37fa58242497b0160412273d1a0201210007e05964a487db3fd20750b43d,38273828063,True,0.325786,57161655241061,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
ZETA,0.5915,688.5,A,1726676404609,2024-09-19 00:20:04.609,1575.8,Close Long,0.557685,0x766b97386a6820ced4700412274d6b01b5005431cc6026548ff2b6a190f86ffe,38273872995,False,0.040724,896030831139169,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
ZETA,0.5915,686.4,A,1726676404789,2024-09-19 00:20:04.789,887.3,Close Long,0.555984,0xbee4550d44789cff3fb50412274d6e00003a4624e6ae11daae7671a7c143464a,38273872995,False,0.0406,1039058797102282,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
ZETA,0.5915,194.4,A,1726676406228,2024-09-19 00:20:06.228,200.9,Close Long,0.157464,0x5739a4f7b7d7f0996f190412274d8302011200db0fe63e19dbc42a3d0125f667,38273872995,False,0.011498,77926339881129,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
ZETA,0.5915,6.5,A,1726676406339,2024-09-19 00:20:06.339,6.5,Close Long,0.005265,0xadb6ba88df5549bdeb070412274d8501e600360c4c10acd3bf3240b555af459e,38273872995,False,0.000384,968848397477719,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,128.46,12.1,B,1726677511201,2024-09-19 00:38:31.201,-12.1,Close Short,8.833,0x3ce925d81a1b65d0f42c04122790f1015a0061be6368b7bcebfebe33f036c5cf,38275975139,True,0.544028,663638442202595,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,128.89,7.08,A,1726678791007,2024-09-19 00:59:51.007,0.0,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,38277770013,False,0.091254,1052299709608343,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SOL,129.6,21.8,A,1726681963018,2024-09-19 01:52:43.018,-7.08,Open Short,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,38276041662,False,0.282528,473520569247024,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
SUI,1.1969,2326.8,A,1726683062310,2024-09-19 02:11:02.310,0.0,Open Short,0.0,0x45ed114fb3f7fec40178041228e30d02018600bf2e07b972f0659554c585dd61,38286966383,False,0.278494,86028665305581,USDC,,0x86d1ff1fa188013c4ee2f9e6c23e20ca904558d8,,
