币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
SOL,147.8515625,0.32,B,1741375572297,2025-03-08 03:26:12.297,0.0,Open Long,0.0,0x3b53aa32a9a5894afa7d041f19ff0e02028f00b4a511c54d3ae100438162fdd3,78034557056,True,0.016558,771503492862136,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
XRP,2.4927,19.0,B,1741375573684,2025-03-08 03:26:13.684,0.0,Open Long,0.0,0xe1e76f6c932ed965593c041f19ff1f0202f700db61bbde2328a63de3093252d3,78034563013,True,0.016576,856213653852785,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
HYPE,15.827,2.99,B,1741375575085,2025-03-08 03:26:15.085,0.0,Open Long,0.0,0x19cc9ec544a22a235209041f19ff330201d6006a8ee6dd89e73acf2a5eb9d863,78034568506,True,0.016562,507317575504738,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
SUI,2.7249,17.4,B,1741375576600,2025-03-08 03:26:16.600,0.0,Open Long,0.0,0xf6a95bd67bdeae7fc388041f19ff4602021100b4fdd9d745013ef38a8378b169,78034572918,True,0.016594,139578036692386,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
ADA,0.85567,55.0,B,1741375578042,2025-03-08 03:26:18.042,0.0,Open Long,0.0,0x4f2e8ed9be39aa48c853041f19ff580202c400c4488c8f6fdd6880ab52d2b6ad,78034581419,True,0.016471,656601873158376,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
ENA,0.43746,108.0,B,1741375579913,2025-03-08 03:26:19.913,0.0,Open Long,0.0,0x8b52d086591e0062bca3041f19ff6d02023e00722084b1f784d5294ea6eafc6d,78034590406,True,0.016535,68739642400750,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
FARTCOIN,0.28797,164.7,B,1741375581753,2025-03-08 03:26:21.753,0.0,Open Long,0.0,0xde12d4c890276f3f3c85041f19ff8402031600e0bc54f89de9c0002a8910c4a2,78034600580,True,0.0166,661170636744507,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
kPEPE,0.00725,6549.0,B,1741375583362,2025-03-08 03:26:23.362,0.0,Open Long,0.0,0xa5ad53f6f5664c86ab07041f19ff9a02026400adb94a169eb207d101aff56ed3,78034608037,True,0.016618,837610917647473,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
AAVE,205.22,0.23,B,1741375584778,2025-03-08 03:26:24.778,0.0,Open Long,0.0,0xf99b206e2f8a5bd7bd95041f19ffab0201a4003b6437aff003f728558d70e87e,78034614792,True,0.01652,357887891919383,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
LINK,16.762,2.8,B,1741375586272,2025-03-08 03:26:26.272,0.0,Open Long,0.0,0x2f150e7cc6df28989f2e041f19ffbf0201fc00e78614152683be63f5bdf295b1,78034622838,True,0.016426,800737255290645,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
DOGE,0.20615,230.0,B,1741375587700,2025-03-08 03:26:27.700,0.0,Open Long,0.0,0x0dc918d24cbd12b77ed1041f19ffd302015200ffe4caa4e91f84a5ad7faa4774,78034627306,True,0.016595,112341283129872,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
TRUMP,13.045,3.6,B,1741375589271,2025-03-08 03:26:29.271,0.0,Open Long,0.0,0xffbc750b2853d9ad0f52041f19ffe902021d00862220ed119ed5bc1b5df1e22c,78034630960,True,0.016436,755661496823480,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
ONDO,1.0227,46.0,B,1741375590897,2025-03-08 03:26:30.897,0.0,Open Long,0.0,0x4c6eb5fbf0c0973bf6c6041f19fff9020227000ad26b0572fca237f5633daad8,78034638342,True,0.016465,181009399640945,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
BNB,602.14,0.078,B,1741375592305,2025-03-08 03:26:32.305,0.0,Open Long,0.0,0xe07b078e9dd6bb5836ea041f1a000b020117003f7a2f30eb58a16ed79340fc5a,78034643510,True,0.016438,1004899968344754,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
AVAX,20.895,2.27,B,1741375593814,2025-03-08 03:26:33.814,0.0,Open Long,0.0,0x47d34415fc7da4d46114041f1a001c02012e005c1a3afa7fcbf0bb388f715823,78034648273,True,0.016601,643900178027960,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
JUP,0.60608,78.0,B,1741375595377,2025-03-08 03:26:35.377,0.0,Open Long,0.0,0x92bba923730e33da458a041f1a003102031d00d9b1bafd6e8d60c18805cd7b59,78034653284,True,0.016545,622173219121057,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
MKR,1287.0,0.0368,B,1741375596984,2025-03-08 03:26:36.984,0.0,Open Long,0.0,0xc4311d979f7b54cdeb92041f1a00490202060007fe4a9b97ab1d0e6b3dbf2a94,78034656717,True,0.016576,199112632056485,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
REZ,0.0265,1790.0,B,1741375598408,2025-03-08 03:26:38.408,0.0,Open Long,0.0,0xb18d1176b8349b4a46b0041f1a005e020220000e175a44b40b27cd712e8b7ed0,78034659838,True,0.016602,464506728255701,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
MKR,1337.4,0.0368,A,1741450666451,2025-03-09 00:17:46.451,0.0368,Close Long,1.85472,0xad2f0457858d916beed8041f2842ad01600009ac374ac2f16b028e01bc6c3296,78227507016,True,0.017225,426646715475010,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
REZ,0.0241957179,1790.0,A,1741450668166,2025-03-09 00:17:48.166,1790.0,Close Long,-4.12349,0x348c1007462976fa5a4d041f2842c002017100aa47ae01e90e28f63f9df4a62f,78227509891,True,0.015157,444772944387973,USDC,,0x8d811340a7999c6e56500d65b8cbcfe031df09ad,,
